GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Standard of living index,Standard of living state rank,Health index,Health state rank,Education index,Education state rank,HDI,HDI state rank
ballur,1976.0,1976.0,0.2591,283.0,1.0,1.0,0.6406,3724.0,0.5495,447.0
bannerugatta,4193.0,4193.0,0.226,601.0,1.0,1.0,0.6855,2246.0,0.5371,612.0
byagadadenahalli,1219.0,1219.0,0.2672,226.0,1.0,1.0,0.6665,2899.0,0.5626,303.0
dommasandra,2677.0,2677.0,0.2755,188.0,1.0,1.0,0.7272,798.0,0.5851,160.0
handenahalli,976.0,976.0,0.2437,429.0,1.0,1.0,0.7182,1095.0,0.5594,333.0
haragadde,3496.0,3496.0,0.2932,130.0,0.951,4134.0,0.6977,1799.0,0.5794,200.0
hulimangala,2043.0,2043.0,0.3068,106.0,1.0,1.0,0.7275,792.0,0.6066,105.0
huskur,1243.0,1243.0,0.2647,244.0,1.0,1.0,0.7263,823.0,0.5771,209.0
indlavadi,1831.0,1831.0,0.237,485.0,1.0,1.0,0.7015,1650.0,0.5499,443.0
kallubalu,1820.0,1820.0,0.3074,102.0,1.0,1.0,0.684,2303.0,0.5947,121.0
karpur,1483.0,1483.0,0.2547,317.0,1.0,1.0,0.6665,2898.0,0.5537,397.0
mantapa,2125.0,2125.0,0.2822,158.0,1.0,1.0,0.8928,1.0,0.6316,48.0
marasur,1385.0,1385.0,0.2952,125.0,1.0,1.0,0.6647,2954.0,0.5811,183.0
mayasandra,1518.0,1518.0,0.2954,124.0,1.0,1.0,0.7161,1154.0,0.5958,120.0
mugaluru,2102.0,2102.0,0.275,189.0,0.9758,2796.0,0.7052,1524.0,0.5741,223.0
muttanalluru,2021.0,2021.0,0.254,327.0,0.9758,2796.0,0.6674,2872.0,0.5489,452.0
neraluru,4585.0,4585.0,0.2838,153.0,1.0,1.0,0.7149,1192.0,0.5876,152.0
neriga,1652.0,1652.0,0.2722,201.0,1.0,1.0,0.716,1155.0,0.5798,197.0
ragihalli,702.0,702.0,0.2402,458.0,1.0,1.0,0.7112,1320.0,0.5549,387.0
samandur,2174.0,2174.0,0.2769,185.0,1.0,1.0,0.6835,2323.0,0.5741,224.0
suragajakkanahalli,1380.0,1380.0,0.2813,160.0,0.9758,2796.0,0.698,1783.0,0.5765,215.0
vanakanahalli,1501.0,1501.0,0.2841,151.0,1.0,1.0,0.7583,207.0,0.5994,115.0
yamare,2979.0,2979.0,0.2479,385.0,1.0,1.0,0.7013,1658.0,0.5581,348.0
alur,804.0,804.0,0.1727,1612.0,1.0,1.0,0.7876,44.0,0.5143,964.0
arekere,1736.0,1736.0,0.4285,3.0,0.9758,2796.0,0.7055,1511.0,0.6657,7.0
bagalur,2045.0,2045.0,0.355,48.0,1.0,1.0,0.7457,389.0,0.6421,33.0
bandikodagehalli,1545.0,1545.0,0.4032,13.0,0.9255,4748.0,0.6943,1921.0,0.6375,42.0
bettahalasooru,1800.0,1800.0,0.3767,32.0,1.0,1.0,0.7208,1011.0,0.6476,23.0
chikkajala,1749.0,1749.0,0.1917,1177.0,1.0,1.0,0.5974,4681.0,0.4856,1540.0
dasanapura,2162.0,2162.0,0.3739,34.0,1.0,1.0,0.6696,2801.0,0.6303,52.0
doddajala,1040.0,1040.0,0.3923,23.0,1.0,1.0,0.6786,2490.0,0.6433,30.0
