StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
Karnataka,BAGALKOT,BADAMI,ADAGAL,1345,667
Karnataka,BAGALKOT,BADAMI,ANAWAL,1241,488
Karnataka,BAGALKOT,BADAMI,BELUR,1841,940
Karnataka,BAGALKOT,BADAMI,CHOLACHAGUD,1801,715
Karnataka,BAGALKOT,BADAMI,FAKIRBHUDIHAL,1054,580
Karnataka,BAGALKOT,BADAMI,HALDUR,1320,980
Karnataka,BAGALKOT,BADAMI,HALKURKI,1298,509
Karnataka,BAGALKOT,BADAMI,HANSANUR,832,591
Karnataka,BAGALKOT,BADAMI,HEBBALI,1700,762
Karnataka,BAGALKOT,BADAMI,HOSUR,1237,534
Karnataka,BAGALKOT,BADAMI,HULIGERI,1630,626
Karnataka,BAGALKOT,BADAMI,HULLIKERI,1193,465
Karnataka,BAGALKOT,BADAMI,JALIHAL,1301,821
Karnataka,BAGALKOT,BADAMI,JAMANKATTI,743,381
Karnataka,BAGALKOT,BADAMI,KAKNUR,1550,829
Karnataka,BAGALKOT,BADAMI,KATAGERI,899,524
Karnataka,BAGALKOT,BADAMI,KATARAKI,1704,963
Karnataka,BAGALKOT,BADAMI,KELAVADI,1303,741
Karnataka,BAGALKOT,BADAMI,"KHANAPUR S.K.",1423,792
Karnataka,BAGALKOT,BADAMI,KITTALI,793,513
Karnataka,BAGALKOT,BADAMI,KOTIKAL,1104,441
Karnataka,BAGALKOT,BADAMI,LAYADGUNDI,1192,420
Karnataka,BAGALKOT,BADAMI,MAMTAGERI,1672,772
Karnataka,BAGALKOT,BADAMI,MANGALORE,1292,639
Karnataka,BAGALKOT,BADAMI,MUSTIGERI,759,274
Karnataka,BAGALKOT,BADAMI,MUTALGERI,1498,879
Karnataka,BAGALKOT,BADAMI,"NAGARAL S.P.",516,441
Karnataka,BAGALKOT,BADAMI,NANDIKESHWAR,1035,824
Karnataka,BAGALKOT,BADAMI,NEELGUND,854,410
Karnataka,BAGALKOT,BADAMI,NEERALKERI,644,281
Karnataka,BAGALKOT,BADAMI,NEERBHUDIHAL,762,516
Karnataka,BAGALKOT,BADAMI,PARVATI,1057,352
Karnataka,BAGALKOT,BADAMI,PATTADKAL,1070,609
Karnataka,BAGALKOT,BADAMI,SULIKERI,1919,904
