StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
Karnataka,"BANGALORE URBAN",ANEKAL,BALLUR,1976,1976
Karnataka,"BANGALORE URBAN",ANEKAL,BANNERUGATTA,4193,4193
Karnataka,"BANGALORE URBAN",ANEKAL,BIDARAKUPPE,1418,1418
Karnataka,"BANGALORE URBAN",ANEKAL,BYAGADADENAHALLI,1219,1219
Karnataka,"BANGALORE URBAN",ANEKAL,DOMMASANDRA,2677,2677
Karnataka,"BANGALORE URBAN",ANEKAL,HANDENAHALLI,976,976
Karnataka,"BANGALORE URBAN",ANEKAL,HARAGADDE,3496,3496
Karnataka,"BANGALORE URBAN",ANEKAL,HENNAGARA,3779,3779
Karnataka,"BANGALORE URBAN",ANEKAL,HULIMANGALA,2043,2043
Karnataka,"BANGALORE URBAN",ANEKAL,HUSKUR,1243,1243
Karnataka,"BANGALORE URBAN",ANEKAL,INDLAVADI,1831,1831
Karnataka,"BANGALORE URBAN",ANEKAL,KALLUBALU,1820,1820
Karnataka,"BANGALORE URBAN",ANEKAL,KARPUR,1483,1483
Karnataka,"BANGALORE URBAN",ANEKAL,KUDLU,1788,1788
Karnataka,"BANGALORE URBAN",ANEKAL,MANTAPA,2125,2125
Karnataka,"BANGALORE URBAN",ANEKAL,MARASUR,1385,1385
Karnataka,"BANGALORE URBAN",ANEKAL,MAYASANDRA,1518,1518
Karnataka,"BANGALORE URBAN",ANEKAL,MUGALURU,2102,2102
Karnataka,"BANGALORE URBAN",ANEKAL,MUTTANALLURU,2021,2021
Karnataka,"BANGALORE URBAN",ANEKAL,NERALURU,4585,4585
Karnataka,"BANGALORE URBAN",ANEKAL,NERIGA,1652,1652
Karnataka,"BANGALORE URBAN",ANEKAL,RAGIHALLI,702,702
Karnataka,"BANGALORE URBAN",ANEKAL,SAMANDUR,2174,2174
Karnataka,"BANGALORE URBAN",ANEKAL,SARJAPURA,2903,2903
Karnataka,"BANGALORE URBAN",ANEKAL,SURAGAJAKKANAHALLI,1380,1380
Karnataka,"BANGALORE URBAN",ANEKAL,VANAKANAHALLI,1501,1501
Karnataka,"BANGALORE URBAN",ANEKAL,YAMARE,2979,2979
Karnataka,"BANGALORE URBAN","BANGALORE NORTH",ABBIGERE,2305,2305
Karnataka,"BANGALORE URBAN","BANGALORE NORTH",ALUR,804,804
Karnataka,"BANGALORE URBAN","BANGALORE NORTH",AREKERE,1736,1736
Karnataka,"BANGALORE URBAN","BANGALORE NORTH",BAGALUR,2045,2045
Karnataka,"BANGALORE URBAN","BANGALORE NORTH",BANDIKODAGEHALLI,1545,1545
Karnataka,"BANGALORE URBAN","BANGALORE NORTH",BETTAHALASOORU,1800,1800
Karnataka,"BANGALORE URBAN","BANGALORE NORTH",CHIKKABANAVARA,2137,2137
Karnataka,"BANGALORE URBAN","BANGALORE NORTH",CHIKKAJALA,1749,1749
Karnataka,"BANGALORE URBAN","BANGALORE NORTH",DASANAPURA,2162,2162
Karnataka,"BANGALORE URBAN","BANGALORE NORTH",VADERAHALLI,885,885
Karnataka,"BANGALORE URBAN","BANGALORE NORTH",DODDAJALA,1040,1040
