StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
Karnataka,BELLARY,BELLARY,AMARAPURA,1459,626
Karnataka,BELLARY,BELLARY,B.D.HALLI,1375,764
Karnataka,BELLARY,BELLARY,BADANAHATTI,1344,653
Karnataka,BELLARY,BELLARY,BASARAKOD,795,370
Karnataka,BELLARY,BELLARY,BELAGALLU,1567,783
Karnataka,BELLARY,BELLARY,CHALAGURKI,1172,526
Karnataka,BELLARY,BELLARY,DAMMURU,904,416
Karnataka,BELLARY,BELLARY,GANAKIHAL,1564,715
Karnataka,BELLARY,BELLARY,H.VEERAPURA,1145,531
Karnataka,BELLARY,BELLARY,HALAKUNDI,1233,450
Karnataka,BELLARY,BELLARY,HANDIHAL,877,488
Karnataka,BELLARY,BELLARY,KALLUKAMBA,1626,688
Karnataka,BELLARY,BELLARY,KAPPAGAL,1218,661
Karnataka,BELLARY,BELLARY,KAREKAL,1173,368
Karnataka,BELLARY,BELLARY,KOLAGALLU,1183,1183
Karnataka,BELLARY,BELLARY,KOLUR,1289,584
Karnataka,BELLARY,BELLARY,KORALGUNDHI,1310,1232
Karnataka,BELLARY,BELLARY,M.GONAL,1630,675
Karnataka,BELLARY,BELLARY,MOKA,2054,633
Karnataka,BELLARY,BELLARY,NELLUDI,1438,805
Karnataka,BELLARY,BELLARY,ORVAI,1421,718
Karnataka,BELLARY,BELLARY,P.D.HALLI,1166,574
Karnataka,BELLARY,BELLARY,RUPANAGUDI,923,467
Karnataka,BELLARY,BELLARY,SANGANAKAL,1653,723
Karnataka,BELLARY,BELLARY,SANJEEVARAYANAKOTE,1508,702
Karnataka,BELLARY,BELLARY,SHANKARABANDA,1209,349
Karnataka,BELLARY,BELLARY,SIDDAMMANAHALLI,1138,689
Karnataka,BELLARY,BELLARY,SIDIGINAMOLA,1369,558
Karnataka,BELLARY,BELLARY,SINDHIGERI,1469,437
Karnataka,BELLARY,BELLARY,SIRIVAR,1093,747
Karnataka,BELLARY,BELLARY,SOMASAMUDRA,1502,823
Karnataka,BELLARY,BELLARY,SRIDHARAGADDA,983,536
Karnataka,BELLARY,BELLARY,VANENOOR,1417,484
Karnataka,BELLARY,BELLARY,YATHENABUDIHAL,1422,370
Karnataka,BELLARY,BELLARY,YELABENCHI,1230,475
Karnataka,BELLARY,BELLARY,YEMMIGANUR,2214,645
Karnataka,BELLARY,BELLARY,YERANGALIGI,2055,690
Karnataka,BELLARY,BELLARY,YERRAGUDI,1933,528
Karnataka,BELLARY,HADAGALLI,DASANAHALLI,976,609
Karnataka,BELLARY,HADAGALLI,DEVAGONDANAHALLI,1179,481
Karnataka,BELLARY,HADAGALLI,HAGARANUR,1364,895
Karnataka,BELLARY,HADAGALLI,"HIRE HADAGALI",1982,666
Karnataka,BELLARY,HADAGALLI,HIREMALLANAKERI,1267,455
Karnataka,BELLARY,HADAGALLI,HOLAGUNDI,1473,648
Karnataka,BELLARY,HADAGALLI,HOLALU,2375,1134
Karnataka,BELLARY,HADAGALLI,HYARADA,1255,429
Karnataka,BELLARY,HADAGALLI,ITTIGI,1466,684
Karnataka,BELLARY,HADAGALLI,KALVI,1646,1569
Karnataka,BELLARY,HADAGALLI,KATTEBENNUR,1477,435
Karnataka,BELLARY,HADAGALLI,KOMBALI,1429,433
Karnataka,BELLARY,HADAGALLI,KURUVATTHI,1717,754
Karnataka,BELLARY,HADAGALLI,MAGALA,1262,567
Karnataka,BELLARY,HADAGALLI,MAHAJANADAHALLI,2315,541
Karnataka,BELLARY,HADAGALLI,MAKARABBI,1074,275
Karnataka,BELLARY,HADAGALLI,MANYARAMASALAVADA,1059,436
Karnataka,BELLARY,HADAGALLI,MYLARA,1133,432
Karnataka,BELLARY,HADAGALLI,"NAGATI BASAPURA",1639,902
Karnataka,BELLARY,HADAGALLI,NANDIHALLI,1272,379
Karnataka,BELLARY,HADAGALLI,NAVALI,1041,568
Karnataka,BELLARY,HADAGALLI,SOGI,1435,626
Karnataka,BELLARY,HADAGALLI,SOVENAHALLI,1037,385
Karnataka,BELLARY,HADAGALLI,UTTANGI,1151,877
Karnataka,BELLARY,HAGARIBOMMANAHALLI,ALABUR,616,325
Karnataka,BELLARY,HAGARIBOMMANAHALLI,AMBALI,792,347
Karnataka,BELLARY,HAGARIBOMMANAHALLI,BACHIGUNDANAHALLI,1599,763
Karnataka,BELLARY,HAGARIBOMMANAHALLI,BANNIGOLA,1995,915
Karnataka,BELLARY,HAGARIBOMMANAHALLI,BANNIKALLU,931,264
Karnataka,BELLARY,HAGARIBOMMANAHALLI,BASIGIDERI,2035,1132
