StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",ALAMATTI,982,334
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",ARASHANAGI,530,92
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",BEERALADINNI,1219,200
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",BYAKOD,763,414
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",CHIMMALAGI,865,216
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",DINDAWAR,1435,283
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",DONUR,855,177
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",GOLASANGI,1244,267
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",H.HIPPARAGI,1077,210
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",HANAMAPUR,1212,398
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",HEBBAL,1114,186
Karnataka,BIJAPUR,"BASAVANA BAGEWADI","HUNSHYAL.  PB",1190,140
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",INGALESHWAR,1093,127
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",ITAGI,1189,212
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",K.SALAWADAGI,1714,478
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",KANAKAL,1298,238
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",KUDAGI,1313,304
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",MALAGHAN,1132,332
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",MANNUR,957,144
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",MARKABBINAHALLI,1208,246
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",MASABINAL,1394,203
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",MASUTI,1132,199
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",MULAWAD,2082,361
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",MUTTAGI,1527,370
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",NARASALAGI,1686,180
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",RONIHAL,1342,170
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",SASANUR,1198,185
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",SATHIHAL,1363,445
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",TALEWAD,1307,187
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",TELAGI,903,243
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",UKKALI,2217,693
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",VADAVADAGI,932,249
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",VANDAL,1046,305
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",YALAWAR,1141,312
Karnataka,BIJAPUR,"BASAVANA BAGEWADI",YARANAL,1520,405
Karnataka,BIJAPUR,BIJAPUR,AHERI,1536,272
Karnataka,BIJAPUR,BIJAPUR,AINAPUR,1131,423
Karnataka,BIJAPUR,BIJAPUR,ALIYABAD,2031,303
Karnataka,BIJAPUR,"BASAVANA BAGEWADI","BENALA R.C",659,173
Karnataka,BIJAPUR,"BASAVANA BAGEWADI","GANI R.C",697,288
Karnataka,BIJAPUR,"BASAVANA BAGEWADI","SIDDANATHA R.C",671,183
Karnataka,BIJAPUR,BIJAPUR,ARAKERI,2765,570
Karnataka,BIJAPUR,BIJAPUR,ARJUNGI,1704,284
Karnataka,BIJAPUR,BIJAPUR,BABALESHWAR,1950,602
Karnataka,BIJAPUR,BIJAPUR,BABANAGAR,893,210
Karnataka,BIJAPUR,BIJAPUR,BARATAGI,1836,528
Karnataka,BIJAPUR,BIJAPUR,BIJJARAGI,1376,310
Karnataka,BIJAPUR,BIJAPUR,BOLACHIKKALAKI,888,184
