StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
Karnataka,CHICKMAGALUR,CHICKMAGALUR,ALDUR,1970,1970
Karnataka,CHICKMAGALUR,CHICKMAGALUR,ALLAMPURA,1054,1054
Karnataka,CHICKMAGALUR,CHICKMAGALUR,AMBLE,880,880
Karnataka,CHICKMAGALUR,CHICKMAGALUR,ANOORU,1153,1153
Karnataka,CHICKMAGALUR,CHICKMAGALUR,AVUTHI,478,478
Karnataka,CHICKMAGALUR,CHICKMAGALUR,BASARAVALLI,601,601
Karnataka,CHICKMAGALUR,CHICKMAGALUR,BASKAL,692,692
Karnataka,CHICKMAGALUR,CHICKMAGALUR,BEEKANAHALLI,648,648
Karnataka,CHICKMAGALUR,CHICKMAGALUR,BELAVADI,1087,1087
Karnataka,CHICKMAGALUR,CHICKMAGALUR,BIDARE,583,583
Karnataka,CHICKMAGALUR,CHICKMAGALUR,BILEKALLAHALLI,1015,1015
Karnataka,CHICKMAGALUR,CHICKMAGALUR,"BYARAVALLI (MALLANDURU)",862,862
Karnataka,CHICKMAGALUR,CHICKMAGALUR,BYGURU,724,724
Karnataka,CHICKMAGALUR,CHICKMAGALUR,DASARAHALLI,371,371
Karnataka,CHICKMAGALUR,CHICKMAGALUR,DEVADANA,1212,1212
Karnataka,CHICKMAGALUR,CHICKMAGALUR,DODDAMAGARAVALLI,695,695
Karnataka,CHICKMAGALUR,CHICKMAGALUR,"ENAM DATTATHREYAPEETA",268,268
Karnataka,CHICKMAGALUR,CHICKMAGALUR,ESWARAHALLI,860,860
Karnataka,CHICKMAGALUR,CHICKMAGALUR,HARIHARADAHALLI,670,670
Karnataka,CHICKMAGALUR,CHICKMAGALUR,HIREGOUJA,897,897
Karnataka,CHICKMAGALUR,CHICKMAGALUR,HIREKOLALE,629,629
Karnataka,CHICKMAGALUR,CHICKMAGALUR,HUYIGERE,721,721
Karnataka,CHICKMAGALUR,CHICKMAGALUR,INDAVARA,563,563
Karnataka,CHICKMAGALUR,CHICKMAGALUR,"K.R.PETE (BIGGANAHALLIDAKALE)",547,547
Karnataka,CHICKMAGALUR,CHICKMAGALUR,KADAVANTHI,381,381
Karnataka,CHICKMAGALUR,CHICKMAGALUR,KALASAPURA,985,985
Karnataka,CHICKMAGALUR,CHICKMAGALUR,KARTIKERE,1111,1111
Karnataka,CHICKMAGALUR,CHICKMAGALUR,KELAGOORU,688,688
Karnataka,CHICKMAGALUR,CHICKMAGALUR,KUDUVALLI,694,694
Karnataka,CHICKMAGALUR,CHICKMAGALUR,KURUBARABUDIHALU,511,511
Karnataka,CHICKMAGALUR,CHICKMAGALUR,LAKKAMMANAHALLI,932,932
Karnataka,CHICKMAGALUR,CHICKMAGALUR,LAKYA,1067,1067
Karnataka,CHICKMAGALUR,CHICKMAGALUR,MACHENAHALLI,771,771
Karnataka,CHICKMAGALUR,CHICKMAGALUR,MAILIMANE,841,841
Karnataka,CHICKMAGALUR,CHICKMAGALUR,MALALOOR,182,182
Karnataka,CHICKMAGALUR,CHICKMAGALUR,"MALLENAHALLI (BINDIGA)",1075,1075
Karnataka,CHICKMAGALUR,CHICKMAGALUR,MARLE,1498,1498
Karnataka,CHICKMAGALUR,CHICKMAGALUR,"MELINA HULUVATTHI",270,270
Karnataka,CHICKMAGALUR,CHICKMAGALUR,MOOGTHIHALLI,996,996
Karnataka,CHICKMAGALUR,CHICKMAGALUR,MUGULAVALLI,726,726
Karnataka,CHICKMAGALUR,CHICKMAGALUR,SATTHIHALLI,1642,1642
Karnataka,CHICKMAGALUR,CHICKMAGALUR,SHIRAVASE,759,759
Karnataka,CHICKMAGALUR,CHICKMAGALUR,SINDIGERE,801,801
Karnataka,CHICKMAGALUR,CHICKMAGALUR,THALIHALLA,659,659
Karnataka,CHICKMAGALUR,CHICKMAGALUR,THEGUR,706,706
Karnataka,CHICKMAGALUR,CHICKMAGALUR,THOGARIHUNKAL,1026,1026
Karnataka,CHICKMAGALUR,CHICKMAGALUR,VASTHARE,1000,1000
Karnataka,CHICKMAGALUR,KADUR,ANNEGERE,634,600
Karnataka,CHICKMAGALUR,KADUR,ANTHARAGATTA,730,663
Karnataka,CHICKMAGALUR,KADUR,ASANDI,613,576
Karnataka,CHICKMAGALUR,KADUR,BALLEKERE,333,318
