StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
Karnataka,CHIKBALLAPUR,BAGEPALLI,BILLUR,1695,789
Karnataka,CHIKBALLAPUR,BAGEPALLI,CHAKAVELU,1277,757
Karnataka,CHIKBALLAPUR,BAGEPALLI,CHELUR,1807,1213
Karnataka,CHIKBALLAPUR,BAGEPALLI,DEVARAGUDIPALLY,1338,1156
Karnataka,CHIKBALLAPUR,BAGEPALLI,GHANTAMVARIPALLI,2242,1422
Karnataka,CHIKBALLAPUR,BAGEPALLI,GORTAPALLY,1294,647
Karnataka,CHIKBALLAPUR,BAGEPALLI,GULUR,1236,877
Karnataka,CHIKBALLAPUR,BAGEPALLI,JOOLAPALYA,1772,487
Karnataka,CHIKBALLAPUR,BAGEPALLI,"KANAGAMAKALA PALLY",1352,948
Karnataka,CHIKBALLAPUR,BAGEPALLI,KOTTAKOTE,1444,923
Karnataka,CHIKBALLAPUR,BAGEPALLI,MARGANUKUNTE,1271,914
Karnataka,CHIKBALLAPUR,BAGEPALLI,MITTEMARI,1376,964
Karnataka,CHIKBALLAPUR,BAGEPALLI,NALLAGUTTALAPALLI,1677,921
Karnataka,CHIKBALLAPUR,BAGEPALLI,"NALLAPPAREDDY PALLI",1221,903
Karnataka,CHIKBALLAPUR,BAGEPALLI,NAREMADDEPALLI,1885,964
Karnataka,CHIKBALLAPUR,BAGEPALLI,PALYAKERE,1672,1394
Karnataka,CHIKBALLAPUR,BAGEPALLI,PARAGODU,1410,873
Karnataka,CHIKBALLAPUR,BAGEPALLI,PATHAPALYA,1498,1316
Karnataka,CHIKBALLAPUR,BAGEPALLI,PULIGAL,1248,782
Karnataka,CHIKBALLAPUR,BAGEPALLI,RASHCHARAVU,1712,559
Karnataka,CHIKBALLAPUR,BAGEPALLI,SOMANATHAPURA,1872,996
Karnataka,CHIKBALLAPUR,BAGEPALLI,THIMMAMPALLI,1623,868
Karnataka,CHIKBALLAPUR,BAGEPALLI,THOLIPALLY,1381,915
Karnataka,CHIKBALLAPUR,BAGEPALLI,YELLAMPALLY,919,883
Karnataka,CHIKBALLAPUR,CHIKBALLAPUR,AGALAGURKI,1234,1095
Karnataka,CHIKBALLAPUR,CHIKBALLAPUR,"AJJA VARA",1512,1201
