StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
Karnataka,CHITRADURGA,CHALLAKERE,ABBENAHALLI,924,646
Karnataka,CHITRADURGA,CHALLAKERE,BEDAREDDIHALLI,579,274
Karnataka,CHITRADURGA,CHALLAKERE,BELAGERE,2501,631
Karnataka,CHITRADURGA,CHALLAKERE,BUDNAHATTI,1997,321
Karnataka,CHITRADURGA,CHALLAKERE,CHENNAMANAGATHIHALLI,1367,281
Karnataka,CHITRADURGA,CHALLAKERE,CHOWLUR,1186,459
Karnataka,CHITRADURGA,CHALLAKERE,DEVARAMARIKUNTE,1739,406
Karnataka,CHITRADURGA,CHALLAKERE,DEVAREDDIHALLI,1282,293
Karnataka,CHITRADURGA,CHALLAKERE,DODDACHELLUR,1860,1426
Karnataka,CHITRADURGA,CHALLAKERE,DODDAULLARTHI,1286,309
Karnataka,CHITRADURGA,CHALLAKERE,DODDERI,2230,330
Karnataka,CHITRADURGA,CHALLAKERE,GHATAPARTHI,1333,413
Karnataka,CHITRADURGA,CHALLAKERE,GOPANAHALLI,1465,450
Karnataka,CHITRADURGA,CHALLAKERE,GOWDAGERE,1244,307
Karnataka,CHITRADURGA,CHALLAKERE,GOWRASAMUDRA,1857,428
Karnataka,CHITRADURGA,CHALLAKERE,HIREHALLI,1393,173
Karnataka,CHITRADURGA,CHALLAKERE,JAJUR,976,358
Karnataka,CHITRADURGA,CHALLAKERE,MAILANAHALLI,871,297
Karnataka,CHITRADURGA,CHALLAKERE,MALLURAHALLI,1404,453
Karnataka,CHITRADURGA,CHALLAKERE,MANNEKOTE,787,269
Karnataka,CHITRADURGA,CHALLAKERE,MEERASAABIHALLI,1751,590
Karnataka,CHITRADURGA,CHALLAKERE,N.MAHADEVAPURA,1099,324
Karnataka,CHITRADURGA,CHALLAKERE,NAGARAMGERE,1401,492
Karnataka,CHITRADURGA,CHALLAKERE,NANNIVALA,1780,576
Karnataka,CHITRADURGA,CHALLAKERE,NELAGETHANAHATTI,1467,254
Karnataka,CHITRADURGA,CHALLAKERE,NERALAGUNTE,1460,392
Karnataka,CHITRADURGA,CHALLAKERE,OBALAPURA,1914,311
Karnataka,CHITRADURGA,CHALLAKERE,P.MAHADEVAPURA,2075,554
Karnataka,CHITRADURGA,CHALLAKERE,PAGADALABANDE,1443,344
Karnataka,CHITRADURGA,CHALLAKERE,PARASHURAMAPURA,1529,919
Karnataka,CHITRADURGA,CHALLAKERE,RAMAJOGIHALLI,1288,545
Karnataka,CHITRADURGA,CHALLAKERE,RENUKAPURA,1736,290
Karnataka,CHITRADURGA,CHALLAKERE,SANIKERE,1866,297
Karnataka,CHITRADURGA,CHALLAKERE,SIDDESHVARANADURGA,1296,349
Karnataka,CHITRADURGA,CHALLAKERE,SOMAGUDDU,1509,420
Karnataka,CHITRADURGA,CHALLAKERE,T.N.KOTE,1746,436
Karnataka,CHITRADURGA,CHALLAKERE,TALAKU,1769,626
Karnataka,CHITRADURGA,CHALLAKERE,THIMMAPPAIYANAHALLI,1657,541
Karnataka,CHITRADURGA,CHITRADURGA,ALAGAVADI,2469,989
Karnataka,CHITRADURGA,CHITRADURGA,ALAGHATTA,1274,496
Karnataka,CHITRADURGA,CHITRADURGA,ANNEHAL,1260,343
Karnataka,CHITRADURGA,CHITRADURGA,BELAGHATTA,608,278
Karnataka,CHITRADURGA,CHITRADURGA,BHARAMASAGARA,1577,861
Karnataka,CHITRADURGA,CHITRADURGA,BHEEMASAMUDRA,1530,1155
Karnataka,CHITRADURGA,CHITRADURGA,BOMMENAHALLI,1520,561
Karnataka,CHITRADURGA,CHITRADURGA,CHIKKABENNUR,1388,432
Karnataka,CHITRADURGA,CHITRADURGA,CHIKKAGONDANAHALLI,1205,556
Karnataka,CHITRADURGA,CHITRADURGA,CHOLAGHATTA,1391,1203
Karnataka,CHITRADURGA,CHITRADURGA,DODDASIDDAVVANAHALLI,2141,934
Karnataka,CHITRADURGA,CHITRADURGA,DYAMAVVANAHALLI,459,371
Karnataka,CHITRADURGA,CHITRADURGA,GONUR,1605,329
Karnataka,CHITRADURGA,CHITRADURGA,GUDDADARANGAVVANAHALLI,1193,1108
Karnataka,CHITRADURGA,CHITRADURGA,HIREGUNTANUR,2507,378
Karnataka,CHITRADURGA,CHITRADURGA,HULLUR,1652,1484
Karnataka,CHITRADURGA,CHITRADURGA,INGALADALU,1034,123
Karnataka,CHITRADURGA,CHITRADURGA,ISSAMUDRA,1080,333
Karnataka,CHITRADURGA,CHITRADURGA,IYYANAHALLI,1904,465
