StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
Karnataka,DAVANGERE,HARIHARA,BANUVALLI,1585,1206
Karnataka,DAVANGERE,HARIHARA,BELLUDI,1889,1355
Karnataka,DAVANGERE,HARIHARA,DEVARABELAKERE,1357,827
Karnataka,DAVANGERE,HARIHARA,GUTTUR,2863,2314
Karnataka,DAVANGERE,HARIHARA,HALIVANA,1341,1107
Karnataka,DAVANGERE,HARIHARA,HANAGAVADI,1864,1708
Karnataka,DAVANGERE,HARIHARA,HARALAHALLI,1404,1015
Karnataka,DAVANGERE,HARIHARA,HOLESIRIGERE,958,920
Karnataka,DAVANGERE,HARIHARA,JIGALI,1384,1251
Karnataka,DAVANGERE,HARIHARA,"K BEVENAHALLI",784,560
Karnataka,DAVANGERE,HARIHARA,KADARANAYAKANAHALLI,1085,1048
Karnataka,DAVANGERE,HARIHARA,KOKKANUR,1748,997
Karnataka,DAVANGERE,HARIHARA,KONDAJJI,1138,862
Karnataka,DAVANGERE,HARIHARA,KUMBALUR,1564,1011
Karnataka,DAVANGERE,HARIHARA,KUNIBELEKERE,1643,1294
Karnataka,DAVANGERE,HARIHARA,NANDIGAVI,1114,666
Karnataka,DAVANGERE,HARIHARA,RAJANAHALLI,1459,865
Karnataka,DAVANGERE,HARIHARA,SALKATTE,794,775
Karnataka,DAVANGERE,HARIHARA,SARATI,1166,673
Karnataka,DAVANGERE,HARIHARA,VASANA,1067,894
Karnataka,DAVANGERE,HARIHARA,YELAVATTI,983,851
Karnataka,DAVANGERE,HARIHARA,YELEHOLE,912,538
Karnataka,DAVANGERE,HONNALI,ARABHAGATTA,1299,944
Karnataka,DAVANGERE,HONNALI,ARAKERE,684,526
Karnataka,DAVANGERE,HONNALI,BANNIKODU,689,677
Karnataka,DAVANGERE,HONNALI,BASAVANAHALLI,536,423
Karnataka,DAVANGERE,HONNALI,BELAGUTTI,822,763
Karnataka,DAVANGERE,HONNALI,BELIMALLURU,299,241
Karnataka,DAVANGERE,HONNALI,BENAKANAHALLI,884,884
Karnataka,DAVANGERE,HONNALI,BIRAGONDANAHALLI,713,701
Karnataka,DAVANGERE,HONNALI,CHATNIHALLI,610,610
Karnataka,DAVANGERE,HONNALI,"CHI. KADADAKATTE",838,838
Karnataka,DAVANGERE,HONNALI,CHILURU,1140,1131
Karnataka,DAVANGERE,HONNALI,CHINNIKATTE,1380,1169
Karnataka,DAVANGERE,HONNALI,GANGANAKOTE,676,484
Karnataka,DAVANGERE,HONNALI,GOPAGONDANAHALLI,513,390
Karnataka,DAVANGERE,HONNALI,GOVINAKOVI,991,817
Karnataka,DAVANGERE,HONNALI,GUDDEHALLI,401,342
Karnataka,DAVANGERE,HONNALI,H.GOPAGUNDANAHALLI,1006,817
Karnataka,DAVANGERE,HONNALI,H.KADADAKATTE,1178,1166
Karnataka,DAVANGERE,HONNALI,HANUMASAGARA,1045,943
Karnataka,DAVANGERE,HONNALI,HARALAHALLI,732,726
Karnataka,DAVANGERE,HONNALI,HATHUR,675,505
Karnataka,DAVANGERE,HONNALI,HIREGONIGERE,1257,1238
Karnataka,DAVANGERE,HONNALI,HOSAHALLI,973,961
Karnataka,DAVANGERE,HONNALI,HUNSAGATTA,962,788
Karnataka,DAVANGERE,HONNALI,KAMMARAGATTA,804,606
Karnataka,DAVANGERE,HONNALI,KATHIGE,1257,1046
Karnataka,DAVANGERE,HONNALI,KENCHIKOPPA,831,798
Karnataka,DAVANGERE,HONNALI,KESANAKERE,688,512
Karnataka,DAVANGERE,HONNALI,KOLAGHATTE,941,848
Karnataka,DAVANGERE,HONNALI,KULAMBI,803,791
Karnataka,DAVANGERE,HONNALI,KUMBALUR,1048,857
Karnataka,DAVANGERE,HONNALI,KUNDURU,1163,1163
Karnataka,DAVANGERE,HONNALI,KUNKOVA,877,786
Karnataka,DAVANGERE,HONNALI,LINGAPURA,966,893
Karnataka,DAVANGERE,HONNALI,MASADI,943,937
Karnataka,DAVANGERE,HONNALI,MUKTHENHALLI,875,834
Karnataka,DAVANGERE,HONNALI,NYAMATHI,2055,1585
Karnataka,DAVANGERE,HONNALI,PALAVANAHALLI,807,611
Karnataka,DAVANGERE,HONNALI,RAMPUR,757,757
Karnataka,DAVANGERE,HONNALI,SASVEHALLI,1516,1508
Karnataka,DAVANGERE,HONNALI,SAVALANGA,1084,963
Karnataka,DAVANGERE,HONNALI,SURAHONNE,1130,1130
Karnataka,DAVANGERE,HONNALI,SURATURU,883,709
Karnataka,DAVANGERE,HONNALI,THIMMALAPUR,1205,1050
Karnataka,DAVANGERE,HONNALI,VADERAHATHURU,777,679
Karnataka,DAVANGERE,HONNALI,YAKKANAHALLI,676,676
Karnataka,DAVANGERE,HONNALI,YARAGANAHAL,731,651
Karnataka,DAVANGERE,JAGALUR,ANABUR,1514,733
Karnataka,DAVANGERE,JAGALUR,ASAGODU,1118,766
Karnataka,DAVANGERE,JAGALUR,BASAVANAKOTE,1101,714
Karnataka,DAVANGERE,JAGALUR,BIDERAKERE,1281,733
Karnataka,DAVANGERE,JAGALUR,BILICHODU,1201,1044
Karnataka,DAVANGERE,JAGALUR,BISTUVALLI,1326,528
Karnataka,DAVANGERE,JAGALUR,DEVIKERE,1204,758
Karnataka,DAVANGERE,JAGALUR,DIDDIGE,1391,664
Karnataka,DAVANGERE,JAGALUR,DONNEHALLI,1645,601
Karnataka,DAVANGERE,JAGALUR,GURUSIDDAPURA,929,281
Karnataka,DAVANGERE,JAGALUR,GUTTIDURGA,1407,1035
