StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
Karnataka,DHARWAD,DHARWAD,AMMINBHAVI,1399,1261
Karnataka,DHARWAD,DHARWAD,ARWATAGI,1058,754
Karnataka,DHARWAD,DHARWAD,BELUR,991,811
Karnataka,DHARWAD,DHARWAD,BENACHI,788,617
Karnataka,DHARWAD,DHARWAD,DEVARHUBBALI,772,581
Karnataka,DHARWAD,DHARWAD,GARAG,1668,1668
Karnataka,DHARWAD,DHARWAD,HALLIGERI,984,546
Karnataka,DHARWAD,DHARWAD,HANGARKI,836,512
Karnataka,DHARWAD,DHARWAD,HAROBELAWADI,920,751
Karnataka,DHARWAD,DHARWAD,HEBBALLI,2841,2841
Karnataka,DHARWAD,DHARWAD,HONNAPUR,507,493
Karnataka,DHARWAD,DHARWAD,KADABAGATTI,723,595
Karnataka,DHARWAD,DHARWAD,KALAKERI,609,549
Karnataka,DHARWAD,DHARWAD,KANAKUR,1194,980
Karnataka,DHARWAD,DHARWAD,KARADIGUDDA,788,550
Karnataka,DHARWAD,DHARWAD,KOTABAGI,686,537
Karnataka,DHARWAD,DHARWAD,KOTUR,1783,1760
Karnataka,DHARWAD,DHARWAD,KURBAGATTI,1240,712
Karnataka,DHARWAD,DHARWAD,KYARAKOPPA,715,439
Karnataka,DHARWAD,DHARWAD,LOKUR,642,634
Karnataka,DHARWAD,DHARWAD,MADHANBHAVI,1039,508
Karnataka,DHARWAD,DHARWAD,MANAGUNDI,883,554
Karnataka,DHARWAD,DHARWAD,MANDIHAL,505,466
Karnataka,DHARWAD,DHARWAD,MARADAGI,1289,898
Karnataka,DHARWAD,DHARWAD,MAREWAD,507,384
Karnataka,DHARWAD,DHARWAD,MUGAD,953,789
Karnataka,DHARWAD,DHARWAD,MUMMIGATTI,1072,1068
Karnataka,DHARWAD,DHARWAD,NARENDRA,1850,1699
Karnataka,DHARWAD,DHARWAD,NIGADI,963,678
Karnataka,DHARWAD,DHARWAD,PUDKALAKATTI,556,314
Karnataka,DHARWAD,DHARWAD,RAMAPUR,933,574
Karnataka,DHARWAD,DHARWAD,SHIVALLI,669,489
Karnataka,DHARWAD,DHARWAD,TADAKODA,1042,762
Karnataka,DHARWAD,DHARWAD,TEGUR,1552,954
Karnataka,DHARWAD,DHARWAD,"UPPIN BETAGERI",1493,1009
Karnataka,DHARWAD,DHARWAD,YADAWAD,1310,1005
Karnataka,DHARWAD,DHARWAD,YERIKOPPA,702,458
Karnataka,DHARWAD,HUBLI,ADARGUNCHI,2196,1619
Karnataka,DHARWAD,HUBLI,ANCHATGERI,895,455
Karnataka,DHARWAD,HUBLI,B.ARALIKATTI,950,844
Karnataka,DHARWAD,HUBLI,BELAGALI,1345,861
Karnataka,DHARWAD,HUBLI,BYAHATTI,1925,1201
