StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
Karnataka,GADAG,GADAG,ADAVISOMAPUR,1641,1641
Karnataka,GADAG,GADAG,ANTUR,1108,1108
Karnataka,GADAG,GADAG,ASUNDI,1569,1540
Karnataka,GADAG,GADAG,BALAGANUR,700,469
Karnataka,GADAG,GADAG,BELADHADI,752,752
Karnataka,GADAG,GADAG,BELAHOODA,1236,1076
Karnataka,GADAG,GADAG,BINKADAKATTI,1230,1230
Karnataka,GADAG,GADAG,CHIKKAHANDIGOL,1457,1457
Karnataka,GADAG,GADAG,CHINCHALI,1871,1486
Karnataka,GADAG,GADAG,HARALAPUR,1162,1162
Karnataka,GADAG,GADAG,HARTI,1415,1166
Karnataka,GADAG,GADAG,HATALAGERI,1383,1009
Karnataka,GADAG,GADAG,HOMBALA,1924,1339
Karnataka,GADAG,GADAG,HULAKOTI,2733,2733
Karnataka,GADAG,GADAG,HUYELAGOLA,1322,838
Karnataka,GADAG,GADAG,KADHADI,999,569
Karnataka,GADAG,GADAG,KANAGINAHAL,892,233
Karnataka,GADAG,GADAG,KOTAMACHAGI,1410,667
Karnataka,GADAG,GADAG,KURTAKOTI,2274,2274
Karnataka,GADAG,GADAG,LAKKUNDI,2612,1877
Karnataka,GADAG,GADAG,LINGADAL,691,656
Karnataka,GADAG,GADAG,NAGAVI,1700,1438
Karnataka,GADAG,GADAG,NEERALAGI,675,649
Karnataka,GADAG,GADAG,SORATUR,1543,994
Karnataka,GADAG,GADAG,YELISHIRUR,705,610
Karnataka,GADAG,MUNDARAGI,ALUR,994,292
Karnataka,GADAG,MUNDARAGI,BAGEWADI,1429,1154
Karnataka,GADAG,MUNDARAGI,BIDARHALLI,565,565
Karnataka,GADAG,MUNDARAGI,DAMBAL,1992,1473
Karnataka,GADAG,MUNDARAGI,DONI,1357,716
Karnataka,GADAG,MUNDARAGI,HALLIKERI,1302,852
Karnataka,GADAG,MUNDARAGI,HAMMAGI,12,12
Karnataka,GADAG,MUNDARAGI,HAROGERI,1360,1102
Karnataka,GADAG,MUNDARAGI,HESARUR,1220,666
Karnataka,GADAG,MUNDARAGI,HIREWADDATTI,1711,641
Karnataka,GADAG,MUNDARAGI,KALKERI,1328,1328
Karnataka,GADAG,MUNDARAGI,KORLAHALLI,846,416
