StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
Karnataka,GULBARGA,JEVARGI,SONN,933,146
Karnataka,GULBARGA,JEVARGI,WADGERA,1040,194
Karnataka,GULBARGA,JEVARGI,YADRAMI,498,418
Karnataka,GULBARGA,JEVARGI,YALGOD,484,269
Karnataka,GULBARGA,JEVARGI,YALVAR,1917,369
Karnataka,GULBARGA,SEDAM,ADAKI,1234,333
Karnataka,GULBARGA,SEDAM,BATGERA.B.,262,209
Karnataka,GULBARGA,SEDAM,DUGNOOR,1461,213
Karnataka,GULBARGA,SEDAM,HANDARKI,314,137
Karnataka,GULBARGA,SEDAM,ITKAL,761,291
Karnataka,GULBARGA,SEDAM,JAKANPALLI,1188,105
Karnataka,GULBARGA,SEDAM,KANAGADDA,1055,172
Karnataka,GULBARGA,SEDAM,KODLA,291,175
Karnataka,GULBARGA,SEDAM,KOLKUNDA,1150,258
Karnataka,GULBARGA,SEDAM,KUKKUNDA,844,179
Karnataka,GULBARGA,SEDAM,KURKUNTA,192,173
Karnataka,GULBARGA,SEDAM,LINGAMPALLI,1483,342
Karnataka,GULBARGA,SEDAM,MADANA,1407,655
Karnataka,GULBARGA,SEDAM,MADKAL,1120,117
Karnataka,GULBARGA,SEDAM,MALKHED,1907,441
Karnataka,GULBARGA,SEDAM,MEDAK,706,333
Karnataka,GULBARGA,SEDAM,MOTAKPALLI,1132,238
Karnataka,GULBARGA,SEDAM,MUDHOL,1603,339
Karnataka,GULBARGA,SEDAM,NEELHALLI,1510,263
Karnataka,GULBARGA,SEDAM,RANJOL,716,235
Karnataka,GULBARGA,SEDAM,RIBBANPALLI,963,310
Karnataka,GULBARGA,SEDAM,TELKUR,560,285
Karnataka,GULBARGA,SEDAM,UOODGI,1658,163
Karnataka,GULBARGA,SEDAM,BENAKANAHALLI,514,121
Karnataka,GULBARGA,SEDAM,CHANDAPUR,321,130
Karnataka,GULBARGA,SEDAM,SINDANMADU,378,152
Karnataka,GULBARGA,SEDAM,YADAGA,703,140
Karnataka,GULBARGA,JEVARGI,KALLAHANGARAGA,867,290
Karnataka,GULBARGA,JEVARGI,SATHKHED,888,144
Karnataka,GULBARGA,JEVARGI,KACHAPURA,723,151
Karnataka,GULBARGA,JEVARGI,SUMBAD,446,186
Karnataka,GULBARGA,JEVARGI,RANJANGI,518,97
Karnataka,GULBARGA,JEVARGI,HULLURA,571,110
Karnataka,GULBARGA,JEVARGI,NEDALAGI,391,310
Karnataka,GULBARGA,JEVARGI,MADARI,929,132
Karnataka,GULBARGA,JEVARGI,KARKIHALLI,835,365
Karnataka,GULBARGA,AFZALPUR,"ALLAGI B",345,203
Karnataka,GULBARGA,AFZALPUR,ANOOR,231,117
Karnataka,GULBARGA,AFZALPUR,ATANOOR,908,492
Karnataka,GULBARGA,AFZALPUR,BADADAL,964,111
Karnataka,GULBARGA,AFZALPUR,BALOORGI,459,171
Karnataka,GULBARGA,AFZALPUR,BANDARWADA,1059,246
Karnataka,GULBARGA,AFZALPUR,BHIRAMADGI,1884,348
Karnataka,GULBARGA,AFZALPUR,BIDANOOR,677,111
Karnataka,GULBARGA,AFZALPUR,CHOWDAPUR,569,393
