StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
Karnataka,HASSAN,ALUR,ABBANA,787,787
Karnataka,HASSAN,ALUR,BYARAPURA,1373,1373
Karnataka,HASSAN,ALUR,"DODDA KANAGAL",1005,1005
Karnataka,HASSAN,ALUR,GANJIGERE,926,926
Karnataka,HASSAN,ALUR,HANCHUR,1340,1340
Karnataka,HASSAN,ALUR,HUNASAVALLI,1048,1048
Karnataka,HASSAN,ALUR,KADALU,1216,1216
Karnataka,HASSAN,ALUR,KANATHUR,1164,1164
Karnataka,HASSAN,ALUR,KARAGODU,1409,1409
Karnataka,HASSAN,ALUR,KUNDURU,631,631
Karnataka,HASSAN,ALUR,MADABALU,1687,1687
Karnataka,HASSAN,ALUR,MAGGE,1606,1606
Karnataka,HASSAN,ALUR,MALLAPURA,1440,1440
Karnataka,HASSAN,ALUR,PALYA,1973,1974
Karnataka,HASSAN,ALUR,TALURU,1799,1799
Karnataka,HASSAN,ARKALGUD,AGRAHARA,1172,906
Karnataka,HASSAN,ARKALGUD,BANNUR,865,844
Karnataka,HASSAN,ARKALGUD,BASAVAPATNA,1410,1337
Karnataka,HASSAN,ARKALGUD,BELAVADI,1565,1319
Karnataka,HASSAN,ARKALGUD,BYCHANAHALLI,1189,1085
Karnataka,HASSAN,ARKALGUD,CHIKKANAHALLI,1223,850
Karnataka,HASSAN,ARKALGUD,"DODDA BEMMATHI",1177,831
Karnataka,HASSAN,ARKALGUD,"DODDA MAGGE",1044,967
Karnataka,HASSAN,ARKALGUD,GANGOOR,931,634
Karnataka,HASSAN,ARKALGUD,GANJALAGODU,1129,979
Karnataka,HASSAN,ARKALGUD,HANDRANGI,1699,1429
Karnataka,HASSAN,ARKALGUD,HEBBALE,1004,775
Karnataka,HASSAN,ARKALGUD,HOLALAGODU,1115,1068
Karnataka,HASSAN,ARKALGUD,HONNAVALLI,1094,963
Karnataka,HASSAN,ARKALGUD,HULIKALLU,1095,1046
Karnataka,HASSAN,ARKALGUD,KALENAHALLI,1288,1164
Karnataka,HASSAN,ARKALGUD,KATTEPURA,1242,1023
Karnataka,HASSAN,ARKALGUD,"KATTI MALLENAHALLI",1191,1154
Karnataka,HASSAN,ARKALGUD,KERALAPURA,1086,1052
Karnataka,HASSAN,ARKALGUD,KONANUR,1364,1214
Karnataka,HASSAN,ARKALGUD,LAKKUR,1245,945
Karnataka,HASSAN,ARKALGUD,MALLIPATNA,1044,991
Karnataka,HASSAN,ARKALGUD,RAMANATHAPURA,1157,916
Karnataka,HASSAN,ARKALGUD,RUDRAPATNA,1149,1121
Karnataka,HASSAN,ARKALGUD,SANTHEMARUR,1105,864
Karnataka,HASSAN,ARKALGUD,SARAGOOR,948,848
Karnataka,HASSAN,ARKALGUD,VADDARAHALLI,1058,837
Karnataka,HASSAN,ARKALGUD,"VIJAPURA FOREST",1304,1128
Karnataka,HASSAN,ARKALGUD,YALAGATHAVALLI,1231,1171
Karnataka,HASSAN,ARSIKERE,AGGUNDA,1447,631
Karnataka,HASSAN,ARSIKERE,ARAKERE,624,567
Karnataka,HASSAN,ARSIKERE,BAGESHPURA,1424,783
Karnataka,HASSAN,ARSIKERE,BAGIVALU,1038,915
Karnataka,HASSAN,ARSIKERE,BANAVARA,1697,1531
Karnataka,HASSAN,ARSIKERE,BANDUR,1269,704
Karnataka,HASSAN,ARSIKERE,BELAGUMBA,1965,1235
Karnataka,HASSAN,ARSIKERE,BENDEKERE,1488,752
Karnataka,HASSAN,ARSIKERE,CHOGACHAGERE,1136,816
Karnataka,HASSAN,ARSIKERE,DODDAMETIKURKE,1049,556
Karnataka,HASSAN,ARSIKERE,DUMMENAHALLI,1884,626
Karnataka,HASSAN,ARSIKERE,GANDASI,892,636
Karnataka,HASSAN,ARSIKERE,GEEJIHALLI,744,453
Karnataka,HASSAN,ARSIKERE,HABBANAGHATTA,1367,745
Karnataka,HASSAN,ARSIKERE,HANDRALU,1413,674
Karnataka,HASSAN,ARSIKERE,HARNAHALLI,1282,1037
Karnataka,HASSAN,ARSIKERE,HEGGATTA,857,406
Karnataka,HASSAN,ARSIKERE,HIRIYUR,2030,1456
Karnataka,HASSAN,ARSIKERE,JAJUR,1161,784
Karnataka,HASSAN,ARSIKERE,JAVAGAL,1482,1479
Karnataka,HASSAN,ARSIKERE,JAYACHAMARAJAPURA,1384,629
Karnataka,HASSAN,ARSIKERE,KACHIGHATTA,1518,1059
Karnataka,HASSAN,ARSIKERE,KALLUGUNDI,1356,943
Karnataka,HASSAN,ARSIKERE,KALYADI,1053,890
Karnataka,HASSAN,ARSIKERE,KAMASAMUDRA,1287,491
Karnataka,HASSAN,ARSIKERE,KANAKATTE,1433,1187
Karnataka,HASSAN,ARSIKERE,KARAGUNDA,1107,693
Karnataka,HASSAN,ARSIKERE,KENKERE,1896,1500
Karnataka,HASSAN,ARSIKERE,KOLAGUNDA,1633,810
Karnataka,HASSAN,ARSIKERE,KONDENALU,1003,382
Karnataka,HASSAN,ARSIKERE,KURUVANKA,1532,471
Karnataka,HASSAN,ARSIKERE,LALANAKERE,1160,644
Karnataka,HASSAN,ARSIKERE,MADALU,847,593
Karnataka,HASSAN,ARSIKERE,MUDUDI,1335,503
Karnataka,HASSAN,ARSIKERE,MURUNDI,1373,794
Karnataka,HASSAN,ARSIKERE,NARASIPURA,1237,915
Karnataka,HASSAN,ARSIKERE,NERLIGE,1056,858
Karnataka,HASSAN,ARSIKERE,PURALEHALLI,1281,544
Karnataka,HASSAN,ARSIKERE,RAMPURA,1110,815
Karnataka,HASSAN,ARSIKERE,RANGAPURA,1509,534
Karnataka,HASSAN,ARSIKERE,SHANEGERE,2536,1031
Karnataka,HASSAN,ARSIKERE,SHANKARANAHALLI,1155,613
Karnataka,HASSAN,ARSIKERE,THALALUR,985,785
Karnataka,HASSAN,ARSIKERE,UNDIGANALU,1476,1199
Karnataka,HASSAN,ARSIKERE,YADAVANAHALLI,721,476
Karnataka,HASSAN,BELUR,ADAGOORU,1217,1217
Karnataka,HASSAN,BELUR,ANDALE,678,678
Karnataka,HASSAN,BELUR,ANUGHATTA,515,515
Karnataka,HASSAN,BELUR,AREHALLI,1362,1362
Karnataka,HASSAN,BELUR,BANTENAHALLI,1333,1333
Karnataka,HASSAN,BELUR,BICHODU,952,952
Karnataka,HASSAN,BELUR,CHATCHATNAHALLI,708,708
Karnataka,HASSAN,BELUR,CHEEKANAHALLI,780,780
Karnataka,HASSAN,BELUR,CHIKKAMEDUR,1184,1184
Karnataka,HASSAN,BELUR,DABBE,241,241
Karnataka,HASSAN,BELUR,GANGUR,1021,1021
Karnataka,HASSAN,BELUR,GHATTADAHALLI,1676,1675
Karnataka,HASSAN,BELUR,GONISOMENAHALLI,907,907
Karnataka,HASSAN,BELUR,HAGARE,1072,1073
Karnataka,HASSAN,BELUR,HALEBEEDU,2058,2058
Karnataka,HASSAN,BELUR,HANIKE,1183,1183
Karnataka,HASSAN,BELUR,HEBBALU,1011,1011
Karnataka,HASSAN,BELUR,HULUGUNDI,859,859
Karnataka,HASSAN,BELUR,HUNUGANAHALLI,932,932
Karnataka,HASSAN,BELUR,IBBEDU,809,809
Karnataka,HASSAN,BELUR,KALLERI,1137,1137
Karnataka,HASSAN,BELUR,KESAGODU,669,669
Karnataka,HASSAN,BELUR,KODIHALLI,1284,1284
Karnataka,HASSAN,BELUR,KOGILAMANE,486,486
Karnataka,HASSAN,BELUR,KUSHAVARA,516,516
Karnataka,HASSAN,BELUR,LAKKUNDA,885,885
Karnataka,HASSAN,BELUR,MADAGHATTA,1047,1047
Karnataka,HASSAN,BELUR,MALASAVARA,579,579
Karnataka,HASSAN,BELUR,NARAYANAPURA,1396,1396
Karnataka,HASSAN,BELUR,NARVEPETE,881,881
Karnataka,HASSAN,BELUR,RAJANASIRIYUR,1383,1383
Karnataka,HASSAN,BELUR,SANYASIHALLI,1178,1178
Karnataka,HASSAN,BELUR,SAVASIHALLI,1045,1045
Karnataka,HASSAN,BELUR,THOLALU,1393,1393
Karnataka,HASSAN,BELUR,THUMBUDEVANAHALLI,617,617
Karnataka,HASSAN,BELUR,YALAHANKA,971,971
Karnataka,HASSAN,BELUR,YAMASANDI,664,664
Karnataka,HASSAN,CHANNARAYAPATNA,AKKANAHALLI,1964,718
Karnataka,HASSAN,CHANNARAYAPATNA,ANATHI,1336,753
Karnataka,HASSAN,CHANNARAYAPATNA,ANEKERE,1816,850
Karnataka,HASSAN,CHANNARAYAPATNA,BAGUR,1902,1364
Karnataka,HASSAN,CHANNARAYAPATNA,BALADARE,2152,1431
Karnataka,HASSAN,CHANNARAYAPATNA,BALAGANCHI,1140,977
Karnataka,HASSAN,CHANNARAYAPATNA,BARAGUR,1715,1340
Karnataka,HASSAN,CHANNARAYAPATNA,BEKKA,1685,1013
Karnataka,HASSAN,CHANNARAYAPATNA,BELAGIHALLLI,1183,751
Karnataka,HASSAN,CHANNARAYAPATNA,BYADARAHALLI,1369,964
Karnataka,HASSAN,CHANNARAYAPATNA,D.KALENAHALLI,1094,950
Karnataka,HASSAN,CHANNARAYAPATNA,DAMMANINAGALA,720,660
Karnataka,HASSAN,CHANNARAYAPATNA,DIDAGA,1854,1452
Karnataka,HASSAN,CHANNARAYAPATNA,DINDAGUR,1573,998
Karnataka,HASSAN,CHANNARAYAPATNA,GOWDAGERE,1879,1194
Karnataka,HASSAN,CHANNARAYAPATNA,GULASINDA,1745,1035
Karnataka,HASSAN,CHANNARAYAPATNA,HIRISAVE,2636,2299
Karnataka,HASSAN,CHANNARAYAPATNA,JAMBUR,1660,907
Karnataka,HASSAN,CHANNARAYAPATNA,JANIVARA,1497,1078
Karnataka,HASSAN,CHANNARAYAPATNA,JINNENAHALLI,1705,1196
Karnataka,HASSAN,CHANNARAYAPATNA,JUTTANAHALLI,1933,982
Karnataka,HASSAN,CHANNARAYAPATNA,KABBALI,1662,1134
Karnataka,HASSAN,CHANNARAYAPATNA,KALKERE,2008,1055
Karnataka,HASSAN,CHANNARAYAPATNA,KANTHARAJAPURA,1834,1362
Karnataka,HASSAN,CHANNARAYAPATNA,KAREHALLI,1349,700
Karnataka,HASSAN,CHANNARAYAPATNA,KEMBALU,1117,735
Karnataka,HASSAN,CHANNARAYAPATNA,KUMBENAHALLI,1465,925
Karnataka,HASSAN,CHANNARAYAPATNA,KUNDUR,1423,1129
Karnataka,HASSAN,CHANNARAYAPATNA,M.SHIVARA,1368,542
Karnataka,HASSAN,CHANNARAYAPATNA,MATHIGATTA,1342,971
Karnataka,HASSAN,CHANNARAYAPATNA,MATTANAVILE,1783,951
Karnataka,HASSAN,CHANNARAYAPATNA,NALLUR,1606,1382
Karnataka,HASSAN,CHANNARAYAPATNA,NAVILE,1330,709
Karnataka,HASSAN,CHANNARAYAPATNA,NORANAKKI,1096,1084
Karnataka,HASSAN,CHANNARAYAPATNA,NUGGEHALLI,1084,826
Karnataka,HASSAN,CHANNARAYAPATNA,S.SHIVARA,1552,833
Karnataka,HASSAN,CHANNARAYAPATNA,SATHENAHALLI,1592,598
Karnataka,HASSAN,CHANNARAYAPATNA,SRAVANABELAGOLA,776,711
Karnataka,HASSAN,CHANNARAYAPATNA,SUNDAHALLI,1298,587
Karnataka,HASSAN,CHANNARAYAPATNA,TAGADUR,1197,828
Karnataka,HASSAN,HASSAN,A.HOSAHALLI,790,790
Karnataka,HASSAN,HASSAN,AMBUGA,632,632
Karnataka,HASSAN,HASSAN,ANKAPURA,1306,1306
Karnataka,HASSAN,HASSAN,B.KATIHALLI,1370,1370
Karnataka,HASSAN,HASSAN,BASAVAGATTA,1346,1324
Karnataka,HASSAN,HASSAN,BOOVANAHALLI,1480,1480
Karnataka,HASSAN,HASSAN,BYLAHALLI,1224,1224
Karnataka,HASSAN,HASSAN,CHANNANGIHALLI,873,873
Karnataka,HASSAN,HASSAN,DODDAGENIGERE,1505,1505
Karnataka,HASSAN,HASSAN,DUDDA,1168,1168
Karnataka,HASSAN,HASSAN,GORUR,856,856
Karnataka,HASSAN,HASSAN,HANDINAKERE,900,900
Karnataka,HASSAN,HASSAN,HANUMANTHAPURA,1711,1711
Karnataka,HASSAN,HASSAN,HARALAHALLI,1854,1854
Karnataka,HASSAN,HASSAN,HERAGU,1194,1194
Karnataka,HASSAN,HASSAN,HONNAVARA,1440,1440
Karnataka,HASSAN,HASSAN,"HUVINAHALLI KAVAL",1404,1406
Karnataka,HASSAN,HASSAN,JAGARAVALLI,1061,1061
Karnataka,HASSAN,HASSAN,KABBALI,991,991
Karnataka,HASSAN,HASSAN,KANDALI,1083,1083
Karnataka,HASSAN,HASSAN,KARLE,1488,1488
Karnataka,HASSAN,HASSAN,KATTAYA,1500,1500
Karnataka,HASSAN,HASSAN,KORAVANGALA,985,985
Karnataka,HASSAN,HASSAN,KOWSIKA,1048,1048
Karnataka,HASSAN,HASSAN,KUDURAGUNDI,1354,1354
Karnataka,HASSAN,HASSAN,MADENUR,1240,1240
Karnataka,HASSAN,HASSAN,MARKULI,1393,1393
Karnataka,HASSAN,HASSAN,MELAGODU,1182,1182
Karnataka,HASSAN,HASSAN,MOSALEHOSAHALLI,1747,1745
Karnataka,HASSAN,HASSAN,NITTUR,1414,1414
Karnataka,HASSAN,HASSAN,SALAGAME,1721,1721
Karnataka,HASSAN,HASSAN,SATHYAMANGALA,1349,1349
Karnataka,HASSAN,HASSAN,SEEGE,2029,2029
Karnataka,HASSAN,HASSAN,SHANKARANAHALLI,1340,1340
Karnataka,HASSAN,HASSAN,SHANTIGRAMA,1529,1529
Karnataka,HASSAN,HASSAN,SHETTIHALLI,1525,1525
Karnataka,HASSAN,HASSAN,TEJUR,1528,1528
Karnataka,HASSAN,HASSAN,THATTEKERE,860,864
Karnataka,HASSAN,HASSAN,UGANE,538,538
Karnataka,HASSAN,HASSAN,YALAGUNDA,870,870
Karnataka,HASSAN,HOLENARSIPUR,ANEKANNAMBADI,853,576
Karnataka,HASSAN,HOLENARSIPUR,BAGIVALU,2092,1313
Karnataka,HASSAN,HOLENARSIPUR,BIDARAKKA,1527,1116
Karnataka,HASSAN,HOLENARSIPUR,DODDABYAGATHAVALLI,891,799
Karnataka,HASSAN,HOLENARSIPUR,DODDAHALLI,1085,648
Karnataka,HASSAN,HOLENARSIPUR,DODDAKADANUR,1915,1594
Karnataka,HASSAN,HOLENARSIPUR,DODDAKUNCHE,1460,1316
Karnataka,HASSAN,HOLENARSIPUR,HALEKOTE,987,877
Karnataka,HASSAN,HOLENARSIPUR,"HALLI MYSORE",1176,1000
Karnataka,HASSAN,HOLENARSIPUR,HANGARAHALLI,964,909
Karnataka,HASSAN,HOLENARSIPUR,HARIHARAPURA,983,839
Karnataka,HASSAN,HOLENARSIPUR,ICHANAHALLI,1262,893
Karnataka,HASSAN,HOLENARSIPUR,KATTEBELAGULI,1230,1186
Karnataka,HASSAN,HOLENARSIPUR,KERAGODU,1427,944
Karnataka,HASSAN,HOLENARSIPUR,KODIHALLI,1500,1030
Karnataka,HASSAN,HOLENARSIPUR,KYATHANAHALLI,1284,984
Karnataka,HASSAN,HOLENARSIPUR,MALALI,1374,1208
Karnataka,HASSAN,HOLENARSIPUR,MALLAPPANAHALLI,1053,572
Karnataka,HASSAN,HOLENARSIPUR,MARAGOWDANAHALLI,1119,1017
Karnataka,HASSAN,HOLENARSIPUR,MOODALAHIPPE,1395,1234
Karnataka,HASSAN,HOLENARSIPUR,NAGARANAHALLI,1345,594
Karnataka,HASSAN,HOLENARSIPUR,NIDUVANI,765,662
Karnataka,HASSAN,HOLENARSIPUR,ODANAHALLI,1081,721
Karnataka,HASSAN,HOLENARSIPUR,SANKANAHALLI,905,734
Karnataka,HASSAN,HOLENARSIPUR,SRAVANUR,1569,1400
Karnataka,HASSAN,HOLENARSIPUR,THATHANAHALLI,961,808
Karnataka,HASSAN,SAKALESHPUR,ANEMAHAL,633,633
Karnataka,HASSAN,SAKALESHPUR,BAGE,1205,1205
Karnataka,HASSAN,SAKALESHPUR,BALLU,1473,1473
Karnataka,HASSAN,SAKALESHPUR,BELAGODU,1135,1135
Karnataka,HASSAN,SAKALESHPUR,BIRADAHALLI,941,941
Karnataka,HASSAN,SAKALESHPUR,BYAKARAVALLI,937,937
Karnataka,HASSAN,SAKALESHPUR,CHANGADIHALLI,799,799
Karnataka,HASSAN,SAKALESHPUR,DEVALADAKERE,795,796
Karnataka,HASSAN,SAKALESHPUR,HALASULIGE,669,669
Karnataka,HASSAN,SAKALESHPUR,HANBAL,969,969
Karnataka,HASSAN,SAKALESHPUR,HEBBASALE,1156,1156
Karnataka,HASSAN,SAKALESHPUR,HEGGADDE,716,716
Karnataka,HASSAN,SAKALESHPUR,HETHUR,1099,1099
Karnataka,HASSAN,SAKALESHPUR,HONGADAHALLA,678,678
Karnataka,HASSAN,SAKALESHPUR,HOSUR,1046,1046
Karnataka,HASSAN,SAKALESHPUR,IGOOR,790,790
Karnataka,HASSAN,SAKALESHPUR,KUNIGANAHALLI,1029,1029
Karnataka,HASSAN,SAKALESHPUR,KURUBATHUR,1001,1001
Karnataka,HASSAN,SAKALESHPUR,KYAMANAHALLI,531,531
Karnataka,HASSAN,SAKALESHPUR,KYANAHALLI,785,785
Karnataka,HASSAN,SAKALESHPUR,MALALI,1407,1407
Karnataka,HASSAN,SAKALESHPUR,UCHANGI,699,699
Karnataka,HASSAN,SAKALESHPUR,UDEVARA,938,938
Karnataka,HASSAN,SAKALESHPUR,VALALAHALLI,1030,1030
Karnataka,HASSAN,SAKALESHPUR,VANAGOOR,1251,1251
Karnataka,HASSAN,SAKALESHPUR,YESLUR,863,863
Karnataka,HASSAN,ARKALGUD,ALADAHALLI,477,477
Karnataka,HASSAN,ARKALGUD,HANYALU,398,294
Karnataka,HASSAN,ARKALGUD,HEGGADIHALLY,489,454
Karnataka,HASSAN,ARKALGUD,KADUVINAHOSAHALLI,1038,890
Karnataka,HASSAN,ARKALGUD,KORATIKERE,284,249
Karnataka,HASSAN,ARKALGUD,MOKALI,5,5
Karnataka,HASSAN,ARKALGUD,TARIGALALE,38,36
Karnataka,HASSAN,HASSAN,GADENAHALLI,384,384
Karnataka,HASSAN,CHANNARAYAPATNA,KABBALU,524,441
