StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
Karnataka,HAVERI,BYADGI,BANNIHATTI,779,632
Karnataka,HAVERI,BYADGI,BISALAHALLI,1161,774
Karnataka,HAVERI,BYADGI,BUDAPANAHALLI,1145,624
Karnataka,HAVERI,BYADGI,CHIKKABASUR,1055,1038
Karnataka,HAVERI,BYADGI,GHALAPOOJI,985,985
Karnataka,HAVERI,BYADGI,GUNDENAHALLI,927,499
Karnataka,HAVERI,BYADGI,HEDIKONDA,740,693
Karnataka,HAVERI,BYADGI,HIREANAJI,778,778
Karnataka,HAVERI,BYADGI,HIREHALLI,888,814
Karnataka,HAVERI,BYADGI,KADARAMANDALAGI,1279,896
Karnataka,HAVERI,BYADGI,KAGINELE,1385,1347
Karnataka,HAVERI,BYADGI,KALLEDEVARA,1265,559
Karnataka,HAVERI,BYADGI,KERAVADI,1437,886
Karnataka,HAVERI,BYADGI,KUMMUR,885,835
Karnataka,HAVERI,BYADGI,MALLUR,1353,1104
Karnataka,HAVERI,BYADGI,MASANAGI,1135,966
Karnataka,HAVERI,BYADGI,MOTEBENNUR,1375,843
Karnataka,HAVERI,BYADGI,SHIDENUR,1287,985
Karnataka,HAVERI,BYADGI,SUDAMBI,912,703
Karnataka,HAVERI,BYADGI,TADASA,711,492
Karnataka,HAVERI,HANAGAL,ADUR,927,927
Karnataka,HAVERI,HANAGAL,AKKIALUR,1817,1722
Karnataka,HAVERI,HANAGAL,ARALESWARA,945,801
Karnataka,HAVERI,HANAGAL,BAICHAVALLI,865,754
Karnataka,HAVERI,HANAGAL,BALABEEDA,778,515
Karnataka,HAVERI,HANAGAL,BAMMANAHALLI,1023,873
Karnataka,HAVERI,HANAGAL,BELAGALAPETE,380,380
Karnataka,HAVERI,HANAGAL,CHIKKANSHIHOSUR,975,680
Karnataka,HAVERI,HANAGAL,GEJJEHALLI,730,516
Karnataka,HAVERI,HANAGAL,GONDI,1313,1313
Karnataka,HAVERI,HANAGAL,HAVANAGI,714,538
Karnataka,HAVERI,HANAGAL,HERUR,954,653
Karnataka,HAVERI,HANAGAL,HIREHULLALA,778,317
Karnataka,HAVERI,HANAGAL,HIREKANAGI,1201,602
Karnataka,HAVERI,HANAGAL,HIRUR,949,654
Karnataka,HAVERI,HANAGAL,HONKANA,815,815
Karnataka,HAVERI,HANAGAL,HULLATTI,1257,692
Karnataka,HAVERI,HANAGAL,KALAVARKOPPA,1123,661
Karnataka,HAVERI,HANAGAL,KALLAPURA,323,323
Karnataka,HAVERI,HANAGAL,KANCHINEGALUR,1052,635
Karnataka,HAVERI,HANAGAL,KARGUDARI,1253,844
Karnataka,HAVERI,HANAGAL,KIRAWADI,1067,708
Karnataka,HAVERI,HANAGAL,KOODALA,869,850
Karnataka,HAVERI,HANAGAL,KOOSANUR,1049,855
Karnataka,HAVERI,HANAGAL,KOPPARASIKOPPA,558,384
Karnataka,HAVERI,HANAGAL,MALGUND,536,325
Karnataka,HAVERI,HANAGAL,MANTHAGI,1270,882
Karnataka,HAVERI,HANAGAL,MARANABEEDA,1044,910
Karnataka,HAVERI,HANAGAL,MASANAKATTI,1051,897
Karnataka,HAVERI,HANAGAL,NAREGAL,1233,884
Karnataka,HAVERI,HANAGAL,SAMMASAGI,1102,683
Karnataka,HAVERI,HANAGAL,SANWASAGI,648,627
Karnataka,HAVERI,HANAGAL,SEEGEHALLISINGAPURPLOT,816,586
Karnataka,HAVERI,HANAGAL,SHIRAGODA,1349,670
Karnataka,HAVERI,HANAGAL,SHYADAGUPPI,883,516
Karnataka,HAVERI,HANAGAL,SOMASAGARA,747,465
Karnataka,HAVERI,HANAGAL,SURALESWARA,812,532
Karnataka,HAVERI,HANAGAL,TILAVALLI,1346,1301
Karnataka,HAVERI,HANAGAL,UPPUNASI,974,553
Karnataka,HAVERI,HANAGAL,YALAVATTI,503,458
Karnataka,HAVERI,HAVERI,AGADI,1654,1602
Karnataka,HAVERI,HAVERI,ALADAKATTI,1218,888
Karnataka,HAVERI,HAVERI,BASAPURA,868,257
Karnataka,HAVERI,HAVERI,BELAVIGI,582,396
Karnataka,HAVERI,HAVERI,DEVAGIRI,2065,1389
Karnataka,HAVERI,HAVERI,DEVIHOSUR,1797,1379
Karnataka,HAVERI,HAVERI,HALAGI,709,342
Karnataka,HAVERI,HAVERI,HANDIGANUR,583,475
Karnataka,HAVERI,HAVERI,HANVASI,542,271
Karnataka,HAVERI,HAVERI,HAVANUR,690,317
Karnataka,HAVERI,HAVERI,HOMBARADI,530,219
Karnataka,HAVERI,HAVERI,HOSARITTI,1634,1169
Karnataka,HAVERI,HAVERI,KABBUR,1229,884
Karnataka,HAVERI,HAVERI,KALLIHALA,885,350
Karnataka,HAVERI,HAVERI,KANAKAPURA,847,578
Karnataka,HAVERI,HAVERI,KANAVALLI,977,561
Karnataka,HAVERI,HAVERI,KANCHARAGATTI,844,635
Karnataka,HAVERI,HAVERI,KARJAGI,1673,1449
Karnataka,HAVERI,HAVERI,KATENAHALLI,661,480
Karnataka,HAVERI,HAVERI,KOLUR,933,575
Karnataka,HAVERI,HAVERI,KONANATAMBIGI,882,463
Karnataka,HAVERI,HAVERI,KULENUR,1085,686
Karnataka,HAVERI,HAVERI,KURGUNDA,843,374
Karnataka,HAVERI,HAVERI,KURUBAGONDA,1208,678
Karnataka,HAVERI,HAVERI,MAROLA,544,215
Karnataka,HAVERI,HAVERI,MEUNDI,657,211
Karnataka,HAVERI,HAVERI,NAGANUR,607,386
Karnataka,HAVERI,HAVERI,NEGALUR,917,485
Karnataka,HAVERI,HAVERI,SANGUR,886,609
