StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
Karnataka,KODAGU,MADIKERI,BALLAMAVATTI,1575,1575
Karnataka,KODAGU,MADIKERI,BENGOOR,889,889
Karnataka,KODAGU,MADIKERI,BETTAGERI,1468,1468
Karnataka,KODAGU,MADIKERI,BHAGAMANDALA,1141,1141
Karnataka,KODAGU,MADIKERI,CHEMBU,936,936
Karnataka,KODAGU,MADIKERI,GALIBEEDU,955,955
Karnataka,KODAGU,MADIKERI,HAKATHUR,566,566
Karnataka,KODAGU,MADIKERI,HODDUR,1326,1326
Karnataka,KODAGU,MADIKERI,KADAGADALU,947,947
Karnataka,KODAGU,MADIKERI,"KALAKERI NIDUGANE",651,651
Karnataka,KODAGU,MADIKERI,"KANTHUR MURNAD",1496,1496
Karnataka,KODAGU,MADIKERI,KARIKE,1022,1022
Karnataka,KODAGU,MADIKERI,KONANJAGERI,800,800
Karnataka,KODAGU,MADIKERI,KUNDACHERI,663,663
Karnataka,KODAGU,MADIKERI,KUNJILA,1599,1599
Karnataka,KODAGU,MADIKERI,MADE,1209,1209
Karnataka,KODAGU,MADIKERI,MAKKANDUR,618,618
Karnataka,KODAGU,MADIKERI,MARAGODU,1124,1124
Karnataka,KODAGU,MADIKERI,NAPOKLU,1195,1195
Karnataka,KODAGU,MADIKERI,NARIANDADA,1121,1121
Karnataka,KODAGU,MADIKERI,PERAJE,789,789
Karnataka,KODAGU,MADIKERI,SAMPAJE,661,661
Karnataka,KODAGU,MADIKERI,AIYAMGERI,617,617
Karnataka,KODAGU,MADIKERI,HOSAKERI,597,597
Karnataka,KODAGU,MADIKERI,MEKERI,799,799
Karnataka,KODAGU,MADIKERI,YAMMEMADU,81,81
Karnataka,KODAGU,SOMVARPET,"7TH HOSAKOTE",851,851
Karnataka,KODAGU,SOMVARPET,AIGUR,782,782
Karnataka,KODAGU,SOMVARPET,"ALUR SIDDAPURA",1350,1350
Karnataka,KODAGU,SOMVARPET,BELUR,1511,1511
Karnataka,KODAGU,SOMVARPET,BESSUR,1336,1336
