StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
Karnataka,KOLAR,BANGARAPET,"A.JOTHENA HALLI",1482,863
Karnataka,KOLAR,BANGARAPET,BALAMANDE,1431,792
Karnataka,KOLAR,BANGARAPET,BETHAMANGALA,614,601
Karnataka,KOLAR,BANGARAPET,BUDIKOTE,1440,1397
Karnataka,KOLAR,BANGARAPET,"CHIKKA ANKANDAHALLY",1474,1151
Karnataka,KOLAR,BANGARAPET,"CHINNA KOTA",1551,1551
Karnataka,KOLAR,BANGARAPET,"DESI HALLI",813,340
Karnataka,KOLAR,BANGARAPET,DODDAVALAGAMADI,1050,564
Karnataka,KOLAR,BANGARAPET,"DODDUR KARAPANAHALLY",1646,1205
Karnataka,KOLAR,BANGARAPET,DONIMADAGU,1621,647
Karnataka,KOLAR,BANGARAPET,"GATTA KAMADENA HALLY",765,580
Karnataka,KOLAR,BANGARAPET,"GATTA MADAMANGALA",1648,626
Karnataka,KOLAR,BANGARAPET,GULLAHALLI,1718,703
Karnataka,KOLAR,BANGARAPET,HULIBELE,1427,1414
Karnataka,KOLAR,BANGARAPET,HULKOORU,1399,996
Karnataka,KOLAR,BANGARAPET,HUNKUNDA,1425,579
Karnataka,KOLAR,BANGARAPET,"INORA HOSAHALLI",1686,1139
Karnataka,KOLAR,BANGARAPET,JAKKARASAKUPPA,1247,763
Karnataka,KOLAR,BANGARAPET,KAMASAMUDRA,1086,770
Karnataka,KOLAR,BANGARAPET,KAMMASANDRA,1209,1209
Karnataka,KOLAR,BANGARAPET,KANGANDLAHALLI,1119,556
Karnataka,KOLAR,BANGARAPET,KARAHALLI,1606,1606
Karnataka,KOLAR,BANGARAPET,KETAGANAHALLI,1557,1102
Karnataka,KOLAR,BANGARAPET,KYSAMBALLI,1140,931
Karnataka,KOLAR,BANGARAPET,MAGONDI,1489,665
Karnataka,KOLAR,BANGARAPET,MARIKUPPAM,1691,856
Karnataka,KOLAR,BANGARAPET,"MAVA HALLI",1353,621
Karnataka,KOLAR,BANGARAPET,N.G.HULKOORU,1043,529
Karnataka,KOLAR,BANGARAPET,"PARANDA HALLI",1607,727
Karnataka,KOLAR,BANGARAPET,RAMASAGARA,932,498
Karnataka,KOLAR,BANGARAPET,SOOLIKUNTE,1091,1091
Karnataka,KOLAR,BANGARAPET,"SRINIVASA SANDRA",1446,473
Karnataka,KOLAR,BANGARAPET,SUNDARAPALYA,1414,831
Karnataka,KOLAR,BANGARAPET,"T GOLLAHALLI",1319,709
Karnataka,KOLAR,BANGARAPET,THOPPANAHALLI,1502,958
Karnataka,KOLAR,BANGARAPET,VENGASANDRA,1427,695
Karnataka,KOLAR,BANGARAPET,YELESANDRA,1291,614
Karnataka,KOLAR,KOLAR,AMMANALLUR,1410,1086
Karnataka,KOLAR,KOLAR,ARABILKOTHANUR,1406,1305
Karnataka,KOLAR,KOLAR,ARAHALLI,1689,1127
Karnataka,KOLAR,KOLAR,BEGLIHOSAHALLI,1090,835
Karnataka,KOLAR,KOLAR,BELAMARANAHALLI,929,929
Karnataka,KOLAR,KOLAR,BELLUR,1667,1200
Karnataka,KOLAR,KOLAR,CHANNASANDRA,1510,1510
Karnataka,KOLAR,KOLAR,CHOWDADENAHALLI,1591,1287
Karnataka,KOLAR,KOLAR,DOODAHASALA,1870,1273
Karnataka,KOLAR,KOLAR,GADDEKANNUR,1364,783
Karnataka,KOLAR,KOLAR,HARATI,1780,703
Karnataka,KOLAR,KOLAR,HOLUR,1327,973
Karnataka,KOLAR,KOLAR,HUTTUR,1541,1377
Karnataka,KOLAR,KOLAR,ITHARASANAHALLI,1106,800
Karnataka,KOLAR,KOLAR,"JANNA GHATTA",1049,785
Karnataka,KOLAR,KOLAR,KONDARAJANAHALLI,890,890
Karnataka,KOLAR,KOLAR,KURUGAL,1126,1126
Karnataka,KOLAR,KOLAR,KYALANUR,1336,1336
Karnataka,KOLAR,KOLAR,MADANAHALLI,1241,903
Karnataka,KOLAR,KOLAR,MADDERI,1434,1308
Karnataka,KOLAR,KOLAR,MANIGATTA,1060,963
Karnataka,KOLAR,KOLAR,MARJENAHALLI,1464,897
Karnataka,KOLAR,KOLAR,MUDUVADI,1338,721
Karnataka,KOLAR,KOLAR,MUDUVATHI,1934,1178
Karnataka,KOLAR,KOLAR,NARASAPURA,1194,1194
Karnataka,KOLAR,KOLAR,SEETI,1686,1040
Karnataka,KOLAR,KOLAR,SETTIHALLI,1161,1161
Karnataka,KOLAR,KOLAR,SHAPUR,1341,882
Karnataka,KOLAR,KOLAR,SUGATUR,1473,969
Karnataka,KOLAR,KOLAR,SULUR,1420,728
Karnataka,KOLAR,KOLAR,"THORADEVANDA HALLI",1634,1253
Karnataka,KOLAR,KOLAR,THOTLI,1463,950
Karnataka,KOLAR,KOLAR,URAGILI,1010,826
Karnataka,KOLAR,KOLAR,VADAGUR,1411,800
Karnataka,KOLAR,KOLAR,VEMAGAL,1565,1565
Karnataka,KOLAR,KOLAR,VOKKALERI,1694,1454
Karnataka,KOLAR,MALUR,ABBENAHALLI,906,906
Karnataka,KOLAR,MALUR,ARALERI,1198,1198
Karnataka,KOLAR,MALUR,BALIGANAHALLI,1325,716
Karnataka,KOLAR,MALUR,BANAHALLI,1157,729
Karnataka,KOLAR,MALUR,CHICKKAKUNTUR,1435,1435
Karnataka,KOLAR,MALUR,CHIKKATHIRUPATHI,1821,1821
Karnataka,KOLAR,MALUR,DADINAIKANAHALLIDODDI,1833,1121
Karnataka,KOLAR,MALUR,DINNAHALLI,1786,890
Karnataka,KOLAR,MALUR,DODDASHIVARA,1485,1066
Karnataka,KOLAR,MALUR,HASANDAHALLI,1626,1277
Karnataka,KOLAR,MALUR,HULADENAHALLI,1420,856
Karnataka,KOLAR,MALUR,"HULIMANGALA HOSAKOTE (H.HOSAKOTE)",1257,1257
Karnataka,KOLAR,MALUR,HUNGENAHALLI,1316,1316
Karnataka,KOLAR,MALUR,JAYAMANGALA,1161,1161
Karnataka,KOLAR,MALUR,"KAVALA GIRIYANA HALLI (K.G. HALLI)",1481,1016
Karnataka,KOLAR,MALUR,KONDASETTIHALLI,1433,939
Karnataka,KOLAR,MALUR,KUDIYANUR,985,985
Karnataka,KOLAR,MALUR,LAKKUR,1286,1286
Karnataka,KOLAR,MALUR,MADIVALA,1402,1402
Karnataka,KOLAR,MALUR,MASTHI,1940,1783
Karnataka,KOLAR,MALUR,NOSAGERE,1090,941
Karnataka,KOLAR,MALUR,NUTUVE,1263,626
Karnataka,KOLAR,MALUR,RAJENAHALLI,1538,976
Karnataka,KOLAR,MALUR,SANTEHALLI,1214,927
Karnataka,KOLAR,MALUR,SHIVARAPATNA,1496,1496
Karnataka,KOLAR,MALUR,TEKAL,1543,1543
Karnataka,KOLAR,MALUR,THORNAHALLI,1174,1139
Karnataka,KOLAR,MALUR,THRUNASI,1622,722
Karnataka,KOLAR,MULBAGAL,AGARA,1395,1039
Karnataka,KOLAR,MULBAGAL,ALANGUR,1374,929
Karnataka,KOLAR,MULBAGAL,AMBLIKAL,1735,1612
