StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
Karnataka,KOPPAL,GANGAVATHI,AGOLI,1235,1109
Karnataka,KOPPAL,GANGAVATHI,ANEGUNDI,1759,624
Karnataka,KOPPAL,GANGAVATHI,BASAPATTANA,1647,1265
Karnataka,KOPPAL,GANGAVATHI,BENNUR,1187,978
Karnataka,KOPPAL,GANGAVATHI,BEVINAL,1466,999
Karnataka,KOPPAL,GANGAVATHI,BOODGUMPA,2274,993
Karnataka,KOPPAL,GANGAVATHI,CHALLUR,520,483
Karnataka,KOPPAL,GANGAVATHI,CHIKKABENAKAL,1658,912
Karnataka,KOPPAL,GANGAVATHI,CHIKKADHANAKANAKAL,1026,751
Karnataka,KOPPAL,GANGAVATHI,CHIKKAJANTHAKAL,2290,1012
Karnataka,KOPPAL,GANGAVATHI,CHIKKAMADINAL,1329,1213
Karnataka,KOPPAL,GANGAVATHI,DHANAPUR,1340,646
Karnataka,KOPPAL,GANGAVATHI,GOURIPUR,1001,756
Karnataka,KOPPAL,GANGAVATHI,GUNDUR,1219,1074
Karnataka,KOPPAL,GANGAVATHI,HANAVAL,963,901
Karnataka,KOPPAL,GANGAVATHI,HERUR,1855,1061
Karnataka,KOPPAL,GANGAVATHI,HIREKHEDA,1220,652
Karnataka,KOPPAL,GANGAVATHI,HOSAKERA,1543,918
Karnataka,KOPPAL,GANGAVATHI,HULIHAIDER,1171,1045
Karnataka,KOPPAL,GANGAVATHI,HULKIHAL,1585,1412
Karnataka,KOPPAL,GANGAVATHI,KARADONA,1631,908
Karnataka,KOPPAL,GANGAVATHI,KESARAHATTI,1873,919
Karnataka,KOPPAL,GANGAVATHI,MALLAPUR,1165,508
Karnataka,KOPPAL,GANGAVATHI,MARALI,1853,1099
Karnataka,KOPPAL,GANGAVATHI,MARLANAHALLI,1596,600
Karnataka,KOPPAL,GANGAVATHI,MUSALAPUR,1207,1143
Karnataka,KOPPAL,GANGAVATHI,MUSHTUR,1380,865
Karnataka,KOPPAL,GANGAVATHI,NAVALI,1245,1050
Karnataka,KOPPAL,GANGAVATHI,SANGAPUR,1159,604
Karnataka,KOPPAL,GANGAVATHI,SIDDAPUR,1823,1131
Karnataka,KOPPAL,GANGAVATHI,SRIRAMNAGAR,1788,1762
Karnataka,KOPPAL,GANGAVATHI,SULEKAL,1100,742
Karnataka,KOPPAL,GANGAVATHI,ULENUR,1267,741
Karnataka,KOPPAL,GANGAVATHI,VADDARAHATTI,1343,1236
Karnataka,KOPPAL,GANGAVATHI,VENKATAGIRI,1471,935
Karnataka,KOPPAL,GANGAVATHI,YERADONA,1351,751
Karnataka,KOPPAL,KOPPAL,AGALAKERA,1227,389
Karnataka,KOPPAL,KOPPAL,ALAVANDI,2012,1190
Karnataka,KOPPAL,KOPPAL,BAHADDURBANDI,1632,581
Karnataka,KOPPAL,KOPPAL,BANDIHARLAPUR,1778,1257
Karnataka,KOPPAL,KOPPAL,BETAGERI,1702,983
Karnataka,KOPPAL,KOPPAL,BISARALLI,1588,909
Karnataka,KOPPAL,KOPPAL,BOCHANAHALLI,1109,639
Karnataka,KOPPAL,KOPPAL,BOODAGUMPA,1457,1062
