StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
Karnataka,MANDYA,KRISHNARAJPET,AGHALAYA,1380,1351
Karnataka,MANDYA,KRISHNARAJPET,AGRAHARABACHAHALLI,1512,1501
Karnataka,MANDYA,KRISHNARAJPET,AIKANAHALLI,1132,1059
Karnataka,MANDYA,KRISHNARAJPET,AKKIHEBBALU,1717,1648
Karnataka,MANDYA,KRISHNARAJPET,"ALAMBADI KAVAL",1088,1042
Karnataka,MANDYA,KRISHNARAJPET,ANAGOLA,1234,1189
Karnataka,MANDYA,KRISHNARAJPET,BALLEKERE,1446,1445
Karnataka,MANDYA,KRISHNARAJPET,BALLENAHALLI,1531,1509
Karnataka,MANDYA,KRISHNARAJPET,BANDIHOLE,1034,986
Karnataka,MANDYA,KRISHNARAJPET,BEERUVALLI,1088,1084
Karnataka,MANDYA,KRISHNARAJPET,BHARATHIPURACROSS,1531,1483
Karnataka,MANDYA,KRISHNARAJPET,BOOKANAKERE,1451,1451
Karnataka,MANDYA,KRISHNARAJPET,CHOWDENAHALLI,1188,1166
Karnataka,MANDYA,KRISHNARAJPET,DABBEGATTA,1064,1028
Karnataka,MANDYA,KRISHNARAJPET,GANJIGERE,1537,1526
Karnataka,MANDYA,KRISHNARAJPET,HARALAHALLI,1240,1223
Karnataka,MANDYA,KRISHNARAJPET,HARIHARAPURA,1649,1620
Karnataka,MANDYA,KRISHNARAJPET,HIRIKALALE,1273,1247
Karnataka,MANDYA,KRISHNARAJPET,ICHANAHALLI,1308,1304
Karnataka,MANDYA,KRISHNARAJPET,KIKKERI,1442,1425
Karnataka,MANDYA,KRISHNARAJPET,"LAKSHMI PURA",1337,1325
Karnataka,MANDYA,KRISHNARAJPET,MADAPURA,1327,1324
Karnataka,MANDYA,KRISHNARAJPET,"MADUVINA KODI",1505,1470
Karnataka,MANDYA,KRISHNARAJPET,MAKAVALLI,1483,1483
Karnataka,MANDYA,KRISHNARAJPET,MANDAGERE,1728,1728
Karnataka,MANDYA,KRISHNARAJPET,MURUKANAHALLI,1539,1514
Karnataka,MANDYA,KRISHNARAJPET,"RANGANATHAPURA CROSS",1432,1412
Karnataka,MANDYA,KRISHNARAJPET,SANTHEBACHAHALLI,1296,1296
Karnataka,MANDYA,KRISHNARAJPET,SARANGI,1312,1250
Karnataka,MANDYA,KRISHNARAJPET,SHILANERE,1723,1692
Karnataka,MANDYA,KRISHNARAJPET,SINDHAGATTA,1173,1117
Karnataka,MANDYA,KRISHNARAJPET,SOMANAHALLI,1284,1271
Karnataka,MANDYA,KRISHNARAJPET,TENDEKERE,1310,1244
Karnataka,MANDYA,KRISHNARAJPET,VITALAPURA,1388,1358
Karnataka,MANDYA,MADDUR,ABALAVADI,1642,1634
Karnataka,MANDYA,MADDUR,ALURU,1780,1765
Karnataka,MANDYA,MADDUR,ANNURU,1518,1495
Karnataka,MANDYA,MADDUR,ATHAGURU,1353,1353
Karnataka,MANDYA,MADDUR,BEKKALALE,2063,2020
Karnataka,MANDYA,MADDUR,BESAGARAHALLI,2295,2293
Karnataka,MANDYA,MADDUR,BHARATHINAGAR,2336,2337
Karnataka,MANDYA,MADDUR,BIDARAHALLI,1005,1005
Karnataka,MANDYA,MADDUR,BIDHARAKOTE,1754,1737
Karnataka,MANDYA,MADDUR,CHAMANAHALLI,1513,1493
Karnataka,MANDYA,MADDUR,CHIKKARASINAKERE,1193,1160
Karnataka,MANDYA,MADDUR,DODDARASINAKARE,1593,1593
Karnataka,MANDYA,MADDUR,GEJJALAGERE,864,851
