StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,ALIKE,844,844
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,AMTADI,1280,1280
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,ANATHADI,278,278
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,BADAGABELLURU,911,911
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,BADAKAJEKARU,930,930
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,BALEPUNI,1495,1495
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,BALTHILA,1144,1144
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,CHENNAITHODI,1785,1785
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,GOLTHAMAJALU,1569,1569
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,IDKIDU,1344,1344
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,IRA,1010,1010
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,KADESHWALYA,812,812
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,KANYANA,1414,1414
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,KARIANGALA,948,948
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,KAROPADI,1150,1150
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,KAVALAMUDURU,854,854
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,KAVALAPADURU,1424,1424
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,KEDILA,1078,1078
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,KEPU,1202,1202
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,KOLANDU,2080,2080
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,KUKKIPADI,954,954
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,KURNADU,663,663
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,MANCHI,1285,1285
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,MANI,835,835
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,MERAMAJALU,991,991
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,NARIKOMBU,1317,1317
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,NARINGANA,1100,1100
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,NAVOORU,1176,1176
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,PAJIRU,1365,1365
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,PANJIKALLU,924,924
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,PERNE,1069,1069
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,PERUVAI,541,541
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,PILATHABETTU,689,689
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,PUDU,1191,1191
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,PUNACHA,1416,1416
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,RAYEE,579,579
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,SAJIPAMOODA,1316,1316
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,SAJIPAMUNNURU,1221,1221
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,SAJIPANADU,1326,1326
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,SANGABETTU,1126,1126
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,SARAPADI,885,885
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,THUMBE,8,8
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,ULI,775,775
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,VEERAKAMBHA,708,708
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,VITLAMUDNURU,917,917
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BANTVAL,VITLAPADNURU,1118,1118
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BELTANGADI,ALADANGADI,1079,1080
Karnataka,"MANGALORE(DAKSHINA KANNADA)",BELTANGADI,ANDINJE,961,961
