StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
Karnataka,MYSORE,HEGGADADEVANKOTE,ALANAHALLI,1937,1601
Karnataka,MYSORE,HEGGADADEVANKOTE,ANNUR,1325,1016
Karnataka,MYSORE,HEGGADADEVANKOTE,ANTHARASANTHE,1344,746
Karnataka,MYSORE,HEGGADADEVANKOTE,B.MATAKERE,2198,1868
Karnataka,MYSORE,HEGGADADEVANKOTE,BEECHANAHALLI,2176,1843
Karnataka,MYSORE,HEGGADADEVANKOTE,BHEEMANAHALLI,1276,1218
Karnataka,MYSORE,HEGGADADEVANKOTE,BIDARAHALLI,2808,2432
Karnataka,MYSORE,HEGGADADEVANKOTE,CHAKKODANAHALLI,2365,1874
Karnataka,MYSORE,HEGGADADEVANKOTE,CHIKKEREYURU,1772,1261
Karnataka,MYSORE,HEGGADADEVANKOTE,D.B.KUPPE,1516,1034
Karnataka,MYSORE,HEGGADADEVANKOTE,G.B.SARAGUR,1703,1134
Karnataka,MYSORE,HEGGADADEVANKOTE,HAMPAPURA,1635,1391
Karnataka,MYSORE,HEGGADADEVANKOTE,HANCHIPURA,984,832
Karnataka,MYSORE,HEGGADADEVANKOTE,HEBBALAGUPPE,1641,1297
Karnataka,MYSORE,HEGGADADEVANKOTE,HEGGANUR,1444,1137
Karnataka,MYSORE,HEGGADADEVANKOTE,HIREHALLI,1477,1283
Karnataka,MYSORE,HEGGADADEVANKOTE,HYRIGE,1682,1181
Karnataka,MYSORE,HEGGADADEVANKOTE,K.BELTHUR,1445,948
Karnataka,MYSORE,HEGGADADEVANKOTE,KALLAMBALU,1408,740
Karnataka,MYSORE,HEGGADADEVANKOTE,KANCHAMALLI,1503,734
Karnataka,MYSORE,HEGGADADEVANKOTE,KYATHANAHALLI,1471,830
Karnataka,MYSORE,HEGGADADEVANKOTE,M.C.THALALU,1059,613
Karnataka,MYSORE,HEGGADADEVANKOTE,MADAPURA,1256,973
Karnataka,MYSORE,HEGGADADEVANKOTE,MANUGANAHALLI,2029,1085
Karnataka,MYSORE,HEGGADADEVANKOTE,MULLUR,2702,2416
Karnataka,MYSORE,HEGGADADEVANKOTE,N.BEGUR,1696,988
Karnataka,MYSORE,HEGGADADEVANKOTE,N.BELTHUR,1757,919
Karnataka,MYSORE,HEGGADADEVANKOTE,NAGANAHALLI,1930,1662
Karnataka,MYSORE,HEGGADADEVANKOTE,NOORALAKUPPE,1949,1183
Karnataka,MYSORE,HEGGADADEVANKOTE,SAGARE,2469,1889
Karnataka,MYSORE,HEGGADADEVANKOTE,SAVVE,1620,1456
Karnataka,MYSORE,HEGGADADEVANKOTE,THUMBASOGE,1297,836
Karnataka,MYSORE,HUNSUR,ASPATHREKAVAL,2288,2283
Karnataka,MYSORE,HUNSUR,BANNIKUPPE,1434,1398
Karnataka,MYSORE,HUNSUR,BEEJAGANAHALLI,622,599
Karnataka,MYSORE,HUNSUR,BILIKERE,548,540
Karnataka,MYSORE,HUNSUR,BOLANAHALLI,1532,1449
Karnataka,MYSORE,HUNSUR,CHALLAHALLI,1846,1792
Karnataka,MYSORE,HUNSUR,CHILKUNDA,1596,1485
Karnataka,MYSORE,HUNSUR,DHARMAPURA,1396,1391
Karnataka,MYSORE,HUNSUR,"DODDA HEJJUR",1511,1183
Karnataka,MYSORE,HUNSUR,GAGENAHALLI,438,412
Karnataka,MYSORE,HUNSUR,GAVADAGERE,679,658
Karnataka,MYSORE,HUNSUR,GOVINDANAHALLI,900,846
Karnataka,MYSORE,HUNSUR,HALEBEEDU,1186,1166
Karnataka,MYSORE,HUNSUR,HANAGODU,1404,1357
Karnataka,MYSORE,HUNSUR,HARAVE,1531,1451
Karnataka,MYSORE,HUNSUR,HIRIKYATHANAHALLI,1487,1323
Karnataka,MYSORE,HUNSUR,KALLAHALLI,1980,1891
Karnataka,MYSORE,HUNSUR,KARANAKUPPE,1109,946
