StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
Karnataka,RAICHUR,SINDHANUR,BADARLI,1117,552
Karnataka,RAICHUR,SINDHANUR,BAPPUR,1083,291
Karnataka,RAICHUR,SINDHANUR,"BASSAPUR K.",844,315
Karnataka,RAICHUR,SINDHANUR,BHOOTALADINNI,1268,529
Karnataka,RAICHUR,SINDHANUR,CHENNALLI,1631,635
Karnataka,RAICHUR,SINDHANUR,DEVARAGUDI,1563,470
Karnataka,RAICHUR,SINDHANUR,DHADESUGUR,1525,613
Karnataka,RAICHUR,SINDHANUR,GONAWARA,847,415
Karnataka,RAICHUR,SINDHANUR,GOREBAL,1999,891
Karnataka,RAICHUR,SINDHANUR,GOUDANABHAVI,1802,710
Karnataka,RAICHUR,SINDHANUR,GUDADUR,1874,564
Karnataka,RAICHUR,SINDHANUR,GUNDA,2193,752
Karnataka,RAICHUR,SINDHANUR,GUNJALLI,1596,513
Karnataka,RAICHUR,SINDHANUR,"HOSALLI E.J.",1559,703
Karnataka,RAICHUR,SINDHANUR,JALIHAL,2477,833
Karnataka,RAICHUR,SINDHANUR,JAVALGERA,2870,801
Karnataka,RAICHUR,SINDHANUR,KALMANGI,1299,363
Karnataka,RAICHUR,SINDHANUR,KOLBAL,2628,729
Karnataka,RAICHUR,SINDHANUR,MADASIRWAR,1362,331
Karnataka,RAICHUR,SINDHANUR,MUKKUNDA,1724,560
Karnataka,RAICHUR,SINDHANUR,PAGADADINNI,1519,613
Karnataka,RAICHUR,SINDHANUR,R.H.COLONY,4740,2379
Karnataka,RAICHUR,SINDHANUR,RAGALAPARVI,1464,368
Karnataka,RAICHUR,SINDHANUR,RAMATHNAL,1995,481
Karnataka,RAICHUR,SINDHANUR,ROUDAKUNDA,1393,621
Karnataka,RAICHUR,SINDHANUR,SALAGUNDA,1192,530
Karnataka,RAICHUR,SINDHANUR,SOMALAPUR,1999,343
Karnataka,RAICHUR,SINDHANUR,TIDIGOL,1756,545
Karnataka,RAICHUR,SINDHANUR,"UDBAL (U)",1474,562
Karnataka,RAICHUR,SINDHANUR,UMALOTI,1807,219
Karnataka,RAICHUR,SINDHANUR,VIRUPAPUR,1307,546
Karnataka,RAICHUR,SINDHANUR,GANDINAGAR,1104,289
Karnataka,RAICHUR,SINDHANUR,HEDGINAL,1003,287
Karnataka,RAICHUR,SINDHANUR,"VALA BALLARY",1098,229
Karnataka,RAICHUR,SINDHANUR,YELEKUDLAGI,913,464
Karnataka,RAICHUR,DEVADURGA,ALKOD,901,361
Karnataka,RAICHUR,DEVADURGA,ARKERA,2172,862
Karnataka,RAICHUR,DEVADURGA,B.GANEKAL,791,566
Karnataka,RAICHUR,DEVADURGA,CHINCHODI,1501,545
Karnataka,RAICHUR,DEVADURGA,DONDAMBLI,1209,589
Karnataka,RAICHUR,DEVADURGA,GABBUR,935,600
Karnataka,RAICHUR,DEVADURGA,GALAGA,1359,598
Karnataka,RAICHUR,DEVADURGA,"GANADHAL (DEODURGA)",1052,370
Karnataka,RAICHUR,DEVADURGA,GUGAL,1149,284
