StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
Karnataka,RAMANAGARA,CHANNAPATNA,AKKUR,1245,1019
Karnataka,RAMANAGARA,CHANNAPATNA,B.V.HALLY,1289,1091
Karnataka,RAMANAGARA,CHANNAPATNA,BANAGAHALLY,574,425
Karnataka,RAMANAGARA,CHANNAPATNA,BEVOOR,1517,1109
Karnataka,RAMANAGARA,CHANNAPATNA,BHOOHALLY,876,628
Karnataka,RAMANAGARA,CHANNAPATNA,CHEKKERE,1131,729
Karnataka,RAMANAGARA,CHANNAPATNA,DASAVARA,760,692
Karnataka,RAMANAGARA,CHANNAPATNA,H.BYADARAHALLI,1208,970
Karnataka,RAMANAGARA,CHANNAPATNA,HAROKOPPA,1135,707
Karnataka,RAMANAGARA,CHANNAPATNA,HONGANOOR,1242,1058
Karnataka,RAMANAGARA,CHANNAPATNA,IGGALUR,1834,1794
Karnataka,RAMANAGARA,CHANNAPATNA,J.BYADARAHALLY,1469,904
Karnataka,RAMANAGARA,CHANNAPATNA,KODAMBALLI,967,819
Karnataka,RAMANAGARA,CHANNAPATNA,KUDLUR,1315,1170
Karnataka,RAMANAGARA,CHANNAPATNA,MAKALI,323,323
Karnataka,RAMANAGARA,CHANNAPATNA,MALUR,1303,1303
Karnataka,RAMANAGARA,CHANNAPATNA,MALURPATNA,1184,719
Karnataka,RAMANAGARA,CHANNAPATNA,"MANDYA BOMMANAYAKANAHALLY",1841,1324
Karnataka,RAMANAGARA,CHANNAPATNA,MATHIKERE,867,482
Karnataka,RAMANAGARA,CHANNAPATNA,MUDAGERE,1814,1655
Karnataka,RAMANAGARA,CHANNAPATNA,MYLANAYAKANAHALLY,1515,1424
Karnataka,RAMANAGARA,CHANNAPATNA,NAGAVARA,1306,1112
Karnataka,RAMANAGARA,CHANNAPATNA,NEELASANDRA,1217,1083
Karnataka,RAMANAGARA,CHANNAPATNA,RAMPURA,1467,1162
Karnataka,RAMANAGARA,CHANNAPATNA,SINGARAJAPURA,1333,1112
Karnataka,RAMANAGARA,CHANNAPATNA,SOGALA,601,407
Karnataka,RAMANAGARA,CHANNAPATNA,SULLERI,1062,511
Karnataka,RAMANAGARA,CHANNAPATNA,TAGACHAGERE,1430,982
Karnataka,RAMANAGARA,CHANNAPATNA,THITTAMARANAHALLY,804,716
Karnataka,RAMANAGARA,CHANNAPATNA,VANDARAGUPPE,1720,1720
Karnataka,RAMANAGARA,CHANNAPATNA,VIRUPAKSHIPURA,1676,1489
Karnataka,RAMANAGARA,CHANNAPATNA,YELETHOTADAHALLI,1325,791
Karnataka,RAMANAGARA,KANAKAPURA,ACCHALU,1967,1703
Karnataka,RAMANAGARA,KANAKAPURA,ALLIMARANAHALLI,1616,1270
Karnataka,RAMANAGARA,KANAKAPURA,ARAKERE,1625,1202
Karnataka,RAMANAGARA,KANAKAPURA,AREKATTEDODDI(KACHUVANAHALLI),1453,1236
Karnataka,RAMANAGARA,KANAKAPURA,BANAVASI,624,624
Karnataka,RAMANAGARA,KANAKAPURA,BANNIMUKK0DLU,528,528
Karnataka,RAMANAGARA,KANAKAPURA,BUDIGUPPE,1194,1194
Karnataka,RAMANAGARA,KANAKAPURA,CHAKANAHALLI,1489,1282
Karnataka,RAMANAGARA,KANAKAPURA,CHEELUR,1218,1066
Karnataka,RAMANAGARA,KANAKAPURA,CHIKKAMUDAVADI,1394,1030
Karnataka,RAMANAGARA,KANAKAPURA,CHOODAHALLI,1449,1157
Karnataka,RAMANAGARA,KANAKAPURA,"DODDA MUDAVADI",1201,1201
Karnataka,RAMANAGARA,KANAKAPURA,DODDAALAHALLI,1520,1211
Karnataka,RAMANAGARA,KANAKAPURA,DODDAMARALAVADI,1492,1130
Karnataka,RAMANAGARA,KANAKAPURA,DYAVASNADRA,1351,1140
Karnataka,RAMANAGARA,KANAKAPURA,HAROHALLI,2121,1681
Karnataka,RAMANAGARA,KANAKAPURA,HERANDYAPANAHALLI,1589,1189
Karnataka,RAMANAGARA,KANAKAPURA,HONNIGANAHALLI,1573,1181
Karnataka,RAMANAGARA,KANAKAPURA,HOSADURGA,1226,819
Karnataka,RAMANAGARA,KANAKAPURA,HUKUNDA,1280,1053
Karnataka,RAMANAGARA,KANAKAPURA,HUNASANAHALLI,1096,714
Karnataka,RAMANAGARA,KANAKAPURA,"I. GOLLA HALLI",1159,797
Karnataka,RAMANAGARA,KANAKAPURA,K0DIHALLI,1470,1470
Karnataka,RAMANAGARA,KANAKAPURA,KABBALU,1305,1116
Karnataka,RAMANAGARA,KANAKAPURA,KADAHALLI,1605,1362
Karnataka,RAMANAGARA,KANAKAPURA,KAGGALAHALLI,1802,1802
Karnataka,RAMANAGARA,KANAKAPURA,KALLAHALLI,1173,893
Karnataka,RAMANAGARA,KANAKAPURA,KOLAGONDANAHALLI,1525,1098
Karnataka,RAMANAGARA,KANAKAPURA,KOLLIGANAHALLI,1061,964
Karnataka,RAMANAGARA,KANAKAPURA,KOTTAGALU,1010,819
Karnataka,RAMANAGARA,KANAKAPURA,"MARALE BEKUPPE",957,721
Karnataka,RAMANAGARA,KANAKAPURA,MULLAHALLI,1095,798
Karnataka,RAMANAGARA,KANAKAPURA,NALLAHALLI,885,616
Karnataka,RAMANAGARA,KANAKAPURA,NARAYANAPURA,1543,1027
Karnataka,RAMANAGARA,KANAKAPURA,SATHANUR,1533,1531
Karnataka,RAMANAGARA,KANAKAPURA,SHIVANAHALLI,1517,1517
Karnataka,RAMANAGARA,KANAKAPURA,SOMEDYAPANAHALLI,1318,1011
Karnataka,RAMANAGARA,KANAKAPURA,"T. HOSAHALLI",1393,1076
Karnataka,RAMANAGARA,KANAKAPURA,TBEKKUPPE,1632,1632
Karnataka,RAMANAGARA,KANAKAPURA,THOKASANDRA,1361,1051
Karnataka,RAMANAGARA,KANAKAPURA,TUNGANI,1153,1153
Karnataka,RAMANAGARA,KANAKAPURA,UYYAMBALLI,1900,1626
Karnataka,RAMANAGARA,KANAKAPURA,YALACHAVADI,1334,471
Karnataka,RAMANAGARA,MAGADI,ADARANGI,1153,1134
Karnataka,RAMANAGARA,MAGADI,AGALAKOTE,1182,865
Karnataka,RAMANAGARA,MAGADI,AJJANAHALLI,1002,809
Karnataka,RAMANAGARA,MAGADI,BACHENAHATTI,1469,1160
Karnataka,RAMANAGARA,MAGADI,BANAVADI,1028,758
Karnataka,RAMANAGARA,MAGADI,BELAGUMBA,1324,1102
Karnataka,RAMANAGARA,MAGADI,BISKUR,1124,680
Karnataka,RAMANAGARA,MAGADI,BITTASANDRA,391,370
Karnataka,RAMANAGARA,MAGADI,"CHIKKA MUDIGERE",1725,1373
Karnataka,RAMANAGARA,MAGADI,CHIKKAHALLI,1320,974
Karnataka,RAMANAGARA,MAGADI,GUDEMARANAHALLI,1272,1253
Karnataka,RAMANAGARA,MAGADI,HANCHIKUPPE,1511,1100
Karnataka,RAMANAGARA,MAGADI,HULIKAL.,263,263
Karnataka,RAMANAGARA,MAGADI,HULLENAHALLI,975,762
Karnataka,RAMANAGARA,MAGADI,KALARIKAVAL,1488,1061
Karnataka,RAMANAGARA,MAGADI,KALYA,1259,1013
Karnataka,RAMANAGARA,MAGADI,KANNUR,1031,817
Karnataka,RAMANAGARA,MAGADI,KUDUR,2778,2766
Karnataka,RAMANAGARA,MAGADI,LAKKENAHALLI,979,936
Karnataka,RAMANAGARA,MAGADI,MADABAL,964,748
Karnataka,RAMANAGARA,MAGADI,MADIGONDANAHALLI,1118,825
Karnataka,RAMANAGARA,MAGADI,MATHIKERE,1082,967
Karnataka,RAMANAGARA,MAGADI,MOTAGONDANAHALLLI,1530,1152
Karnataka,RAMANAGARA,MAGADI,NARASANDRA,1602,1293
Karnataka,RAMANAGARA,MAGADI,NETHENAHALLI,1140,1027
Karnataka,RAMANAGARA,MAGADI,SANKIGHATTA,1133,707
Karnataka,RAMANAGARA,MAGADI,SATHANUR,835,731
Karnataka,RAMANAGARA,MAGADI,SEEGEKUPPE,889,852
Karnataka,RAMANAGARA,MAGADI,SOLUR,1391,1237
Karnataka,RAMANAGARA,MAGADI,SRIGIRIPURA,1009,558
Karnataka,RAMANAGARA,MAGADI,THAGGIKUPPE,891,730
Karnataka,RAMANAGARA,MAGADI,THJPPASANDRA,913,655
Karnataka,RAMANAGARA,RAMANAGARAM,AKKUR,924,924
Karnataka,RAMANAGARA,RAMANAGARAM,BANNIKUPPE,2246,2246
Karnataka,RAMANAGARA,RAMANAGARAM,BANNIKUPPE2,1692,1691
Karnataka,RAMANAGARA,RAMANAGARAM,BELUGUMBA,1751,1748
Karnataka,RAMANAGARA,RAMANAGARAM,BYARAMANGAL,2341,2209
Karnataka,RAMANAGARA,RAMANAGARAM,DODDAGANGAVADI,1044,1044
Karnataka,RAMANAGARA,RAMANAGARAM,GOPAHALLI,1922,1824
Karnataka,RAMANAGARA,RAMANAGARAM,HARISANDRA,734,734
Karnataka,RAMANAGARA,RAMANAGARAM,HULIKEREGUNNUR(AVERHALLI),1817,1817
Karnataka,RAMANAGARA,RAMANAGARAM,HUNASANAHALLI,1817,1622
Karnataka,RAMANAGARA,RAMANAGARAM,JALAMAGAL,1253,1235
Karnataka,RAMANAGARA,RAMANAGARAM,KAILANCHA,1279,1279
Karnataka,RAMANAGARA,RAMANAGARAM,KOOTAGAL,1548,1548
Karnataka,RAMANAGARA,RAMANAGARAM,KUNCHUGARANAHALLI,1729,1727
Karnataka,RAMANAGARA,RAMANAGARAM,LAKSHMIPURA,1901,1896
Karnataka,RAMANAGARA,RAMANAGARAM,MANCHANAYAKANAHALLI,2599,2591
Karnataka,RAMANAGARA,RAMANAGARAM,MAYAGANAHALLI,1829,1829
Karnataka,RAMANAGARA,RAMANAGARAM,SHANABOGANAHALLI,1508,1508
Karnataka,RAMANAGARA,RAMANAGARAM,SUGGANAHALLI,1855,1794
Karnataka,RAMANAGARA,RAMANAGARAM,"VIBUTHI KERE",1555,1555
