StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
Karnataka,SHIMOGA,BHADRAVATI,AGARADAHALLI,977,977
Karnataka,SHIMOGA,BHADRAVATI,ANAVERI,1107,1107
Karnataka,SHIMOGA,BHADRAVATI,ANTHARAGANGE,1544,1544
Karnataka,SHIMOGA,BHADRAVATI,ARAHATHOLALU,762,762
Karnataka,SHIMOGA,BHADRAVATI,ARAKERE,676,676
Karnataka,SHIMOGA,BHADRAVATI,ARALAHALLI,692,692
Karnataka,SHIMOGA,BHADRAVATI,ARALIKOPPA,1241,1241
Karnataka,SHIMOGA,BHADRAVATI,AREBILACHI,1084,1084
Karnataka,SHIMOGA,BHADRAVATI,ATTIGUNDA,922,922
Karnataka,SHIMOGA,BHADRAVATI,BARANDURU,1004,1004
Karnataka,SHIMOGA,BHADRAVATI,BILAKI,629,629
Karnataka,SHIMOGA,BHADRAVATI,DASARAKALLAHALLI,1006,1006
Karnataka,SHIMOGA,BHADRAVATI,DODDERI,900,900
Karnataka,SHIMOGA,BHADRAVATI,DONABAGATTA,1507,1507
Karnataka,SHIMOGA,BHADRAVATI,EMMEHATTI,563,563
Karnataka,SHIMOGA,BHADRAVATI,GUDUMAGATTA,541,541
Karnataka,SHIMOGA,BHADRAVATI,HIRIYURU,843,843
Karnataka,SHIMOGA,BHADRAVATI,HOLEHONNURU-I,1655,1655
Karnataka,SHIMOGA,BHADRAVATI,KAGEKODAMAGGI,1391,1391
Karnataka,SHIMOGA,BHADRAVATI,KALLAHAL,595,595
Karnataka,SHIMOGA,BHADRAVATI,KALLAHALLI,935,935
Karnataka,SHIMOGA,BHADRAVATI,"KAMBADALU HOSURU",1139,1139
Karnataka,SHIMOGA,BHADRAVATI,KAREHALLI,746,746
Karnataka,SHIMOGA,BHADRAVATI,KUDLIGERE,1347,1347
Karnataka,SHIMOGA,BHADRAVATI,KUMMARANAHALLI,1205,1205
Karnataka,SHIMOGA,BHADRAVATI,MANGOTE,697,697
Karnataka,SHIMOGA,BHADRAVATI,MARASHETTYHALLI,1148,1148
