StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
Karnataka,TUMKUR,CHIKNAYAKANHALLI,BARAGURU,1547,522
Karnataka,TUMKUR,CHIKNAYAKANHALLI,BARAKANALLU,1629,619
Karnataka,TUMKUR,CHIKNAYAKANHALLI,BELLAGULLA,1702,442
Karnataka,TUMKUR,CHIKNAYAKANHALLI,CHOWLAKATTE,1134,585
Karnataka,TUMKUR,CHIKNAYAKANHALLI,DASODI,1384,455
Karnataka,TUMKUR,CHIKNAYAKANHALLI,DODDABIDRE,1708,435
Karnataka,TUMKUR,CHIKNAYAKANHALLI,DODDAYENEGERE,2546,402
Karnataka,TUMKUR,CHIKNAYAKANHALLI,DUGUDIHALLI,1246,483
Karnataka,TUMKUR,CHIKNAYAKANHALLI,GANADALLU,1249,338
Karnataka,TUMKUR,CHIKNAYAKANHALLI,GODEKERE,1852,709
Karnataka,TUMKUR,CHIKNAYAKANHALLI,HANDANAKERE,1726,995
Karnataka,TUMKUR,CHIKNAYAKANHALLI,HONNEBAGI,1422,555
Karnataka,TUMKUR,CHIKNAYAKANHALLI,HOYSALAKATTE,1625,408
Karnataka,TUMKUR,CHIKNAYAKANHALLI,HULIYUR,3077,2019
Karnataka,TUMKUR,CHIKNAYAKANHALLI,J.C.PURA,836,519
Karnataka,TUMKUR,CHIKNAYAKANHALLI,KANDIKERE,1945,678
Karnataka,TUMKUR,CHIKNAYAKANHALLI,KENKERE,1295,539
Karnataka,TUMKUR,CHIKNAYAKANHALLI,KORAGERE,1857,431
Karnataka,TUMKUR,CHIKNAYAKANHALLI,KUPPUR,2618,519
Karnataka,TUMKUR,CHIKNAYAKANHALLI,MALLIGERE,1746,612
Karnataka,TUMKUR,CHIKNAYAKANHALLI,MATHIGHATTA,1730,825
Karnataka,TUMKUR,CHIKNAYAKANHALLI,MUDDENAHALLI,1115,577
Karnataka,TUMKUR,CHIKNAYAKANHALLI,RAMANAHALLI,1011,696
Karnataka,TUMKUR,CHIKNAYAKANHALLI,SHETTYKERE,1780,574
Karnataka,TUMKUR,CHIKNAYAKANHALLI,TIMMALAAPURA,1739,348
Karnataka,TUMKUR,CHIKNAYAKANHALLI,TIMMANAHALLI,1408,399
Karnataka,TUMKUR,CHIKNAYAKANHALLI,TIRTHAPURA,1348,400
Karnataka,TUMKUR,CHIKNAYAKANHALLI,YALANADU,1237,479
Karnataka,TUMKUR,GUBBI,ADAGUR,2344,1179
Karnataka,TUMKUR,GUBBI,ALLILUGHATTA,1908,376
Karnataka,TUMKUR,GUBBI,AMMANAGHATTA,1225,524
Karnataka,TUMKUR,GUBBI,ANKASANDRA,1693,480
Karnataka,TUMKUR,GUBBI,BELAVATHA,1426,1207
Karnataka,TUMKUR,GUBBI,BIDIRE,2126,652
Karnataka,TUMKUR,GUBBI,CHANDRASHEKARAPURA,2087,1369
Karnataka,TUMKUR,GUBBI,CHELLUR,1568,866
Karnataka,TUMKUR,GUBBI,CHENGAVI,1994,692
Karnataka,TUMKUR,GUBBI,DODDAGUNNI,2028,495
Karnataka,TUMKUR,GUBBI,G.HOSAHALLI,1900,481
Karnataka,TUMKUR,GUBBI,HAGALAVADI,1619,352
Karnataka,TUMKUR,GUBBI,HERUR,1936,966
Karnataka,TUMKUR,GUBBI,HINDSAGERE,1522,436
Karnataka,TUMKUR,GUBBI,HOSAKERE,1668,587
Karnataka,TUMKUR,GUBBI,IDAGUR,1522,499
Karnataka,TUMKUR,GUBBI,IRAKASANDRA,1668,720
Karnataka,TUMKUR,GUBBI,KADABA,1073,881
Karnataka,TUMKUR,GUBBI,KALLUR,1307,551
Karnataka,TUMKUR,GUBBI,KONDLI,1580,564
Karnataka,TUMKUR,GUBBI,KOPPA,1253,629
Karnataka,TUMKUR,GUBBI,KUNNALA,1584,482
Karnataka,TUMKUR,GUBBI,MANCHALADORE,1618,391
Karnataka,TUMKUR,GUBBI,MARASHETTYHALLI,1677,474
Karnataka,TUMKUR,GUBBI,MAVINAHALLI,1138,541
Karnataka,TUMKUR,SIRA,DODDABANAGERE,1124,392
Karnataka,TUMKUR,SIRA,DVARANAKUNTE,1268,398
Karnataka,TUMKUR,SIRA,GOPALADEVARAHALLI,669,206
Karnataka,TUMKUR,SIRA,GOWDAGERE,1232,375
Karnataka,TUMKUR,SIRA,HANDIKUNTE,759,289
Karnataka,TUMKUR,SIRA,HONNAGONDANAHALLI,1007,442
Karnataka,TUMKUR,SIRA,HOSUR,1125,217
Karnataka,TUMKUR,SIRA,HULLIKUNTE,938,486
Karnataka,TUMKUR,SIRA,HUNASIHALLI,1187,486
Karnataka,TUMKUR,SIRA,HUYILDORE,581,433
Karnataka,TUMKUR,SIRA,KALLAMBELLA,1777,812
Karnataka,TUMKUR,SIRA,KOTTA,1209,558
Karnataka,TUMKUR,SIRA,LAKSHMISAGARA,1658,471
Karnataka,TUMKUR,SIRA,MAAGODU,927,317
Karnataka,TUMKUR,SIRA,MADALUR,1207,477
Karnataka,TUMKUR,SIRA,MELUKUNTE,1140,401
Karnataka,TUMKUR,SIRA,NADUR,1536,660
Karnataka,TUMKUR,SIRA,NERALAGUDDA,642,264
Karnataka,TUMKUR,SIRA,RAMALINGAPURA,1603,546
Karnataka,TUMKUR,SIRA,RATNASANDRA,1881,556
Karnataka,TUMKUR,SIRA,SIBI,1049,281
Karnataka,TUMKUR,SIRA,"SIBI AGRAHARA",939,301
Karnataka,TUMKUR,SIRA,TADAKALLUR,336,326
Karnataka,TUMKUR,SIRA,TARUR,710,373
Karnataka,TUMKUR,SIRA,TAVAREKERE,1251,344
Karnataka,TUMKUR,SIRA,"YADALAKUKU (HOSAHALLI)",1078,566
Karnataka,TUMKUR,SIRA,YALIYUR,1488,371
Karnataka,TUMKUR,SIRA,YENDORE,744,368
Karnataka,TUMKUR,TIPTUR,ARALUGUPPE,1257,953
Karnataka,TUMKUR,TIPTUR,BAJAGURU,1083,667
Karnataka,TUMKUR,TIPTUR,BALUVANERALU,1505,1081
Karnataka,TUMKUR,TIPTUR,BILIGERE,1654,1089
Karnataka,TUMKUR,TIPTUR,DASARIGHATTA,1510,963
Karnataka,TUMKUR,TIPTUR,ECHANURU,960,779
Karnataka,TUMKUR,TIPTUR,"GUDIGONDANAHALLI (B.G. KAVAL)",1421,1104
Karnataka,TUMKUR,TIPTUR,GUNGURMALLE,826,369
Karnataka,TUMKUR,TIPTUR,GURUGADAHALLI,890,580
Karnataka,TUMKUR,TIPTUR,GYARAGATTA,1636,850
Karnataka,TUMKUR,TIPTUR,HALUKURIKE,1662,630
Karnataka,TUMKUR,TIPTUR,HINDISKERE,1719,1070
Karnataka,TUMKUR,TIPTUR,HONNAVALLI,1228,673
Karnataka,TUMKUR,TIPTUR,HUCHHAGONDANAHALLI,2350,1149
Karnataka,TUMKUR,TIPTUR,HUNASEGHATTA,1386,483
Karnataka,TUMKUR,TIPTUR,KARADI,1397,710
Karnataka,TUMKUR,TIPTUR,KUPPALLU,907,352
Karnataka,TUMKUR,TIPTUR,MADIHALLI,1161,800
Karnataka,TUMKUR,TIPTUR,MANAKIKERE,1267,782
Karnataka,TUMKUR,TIPTUR,MASAVANAGHATTA,1469,498
Karnataka,TUMKUR,TIPTUR,NAGARAGHATTA,1802,724
Karnataka,TUMKUR,TIPTUR,NALLIGERE,1386,797
Karnataka,TUMKUR,TIPTUR,NONAVINAKERE,1750,1214
Karnataka,TUMKUR,TIPTUR,RANGAPURA,1761,931
Karnataka,TUMKUR,TIPTUR,SARTHAVALLI,1413,762
Karnataka,TUMKUR,GUBBI,MUGANAYANAKOTE,2103,430
Karnataka,TUMKUR,GUBBI,"MUKANAHALLI PATANA",1979,637
Karnataka,TUMKUR,GUBBI,NALLUR,1583,405
Karnataka,TUMKUR,GUBBI,NITTUR,1647,947
Karnataka,TUMKUR,GUBBI,PEDDANAHALLI,1786,732
Karnataka,TUMKUR,GUBBI,S.KODDAGIHALLI,852,589
Karnataka,TUMKUR,GUBBI,SHIVAPURA,1473,327
Karnataka,TUMKUR,GUBBI,THYAGATTUR,1127,471
Karnataka,TUMKUR,KORATAGERE,AGRAHAARA,1452,526
Karnataka,TUMKUR,KORATAGERE,AKKIRAMPURA,1327,609
Karnataka,TUMKUR,KORATAGERE,ARASAPURA,1022,263
Karnataka,TUMKUR,KORATAGERE,BICHAPURA,1685,607
Karnataka,TUMKUR,KORATAGERE,BOMMALADEVIPURA,1352,357
Karnataka,TUMKUR,KORATAGERE,BUDAGAVI,1086,345
Karnataka,TUMKUR,KORATAGERE,BUKKAPATANNA,1536,890
Karnataka,TUMKUR,KORATAGERE,CHINNAHALLI,1391,400
Karnataka,TUMKUR,KORATAGERE,DODDASAAGERE,1162,410
Karnataka,TUMKUR,KORATAGERE,HANCHIHALLI,1000,341
Karnataka,TUMKUR,KORATAGERE,HOLLAVANNAHALLI,764,396
Karnataka,TUMKUR,KORATAGERE,HULLIKUNTE,1297,394
Karnataka,TUMKUR,KORATAGERE,KOLLALA,1458,368
Karnataka,TUMKUR,KORATAGERE,KURAMKOTTE,1449,516
Karnataka,TUMKUR,KORATAGERE,KYAMENAHALLI,1263,219
Karnataka,TUMKUR,KORATAGERE,MAVATHURU,694,172
Karnataka,TUMKUR,KORATAGERE,NILAGONDANAHALLI,1851,885
Karnataka,TUMKUR,KORATAGERE,TEETA,862,425
Karnataka,TUMKUR,KORATAGERE,THOVINAKERE,1751,923
Karnataka,TUMKUR,KORATAGERE,TUMBADI,1334,402
Karnataka,TUMKUR,KORATAGERE,VADDAGERE,1800,781
Karnataka,TUMKUR,KORATAGERE,VAJJANAKURIKE,886,341
Karnataka,TUMKUR,KORATAGERE,YELERAMPURA,1369,724
Karnataka,TUMKUR,KUNIGAL,AMRUTHUR,1319,481
Karnataka,TUMKUR,KUNIGAL,BAAGENAHALLI,1039,603
Karnataka,TUMKUR,KUNIGAL,BAKTHARAHALLI,1436,825
Karnataka,TUMKUR,KUNIGAL,BEGUR,954,954
Karnataka,TUMKUR,KUNIGAL,BILIDEVALAYA,1055,704
Karnataka,TUMKUR,KUNIGAL,CHOWDANAKUPPE,1520,760
Karnataka,TUMKUR,KUNIGAL,D.HOSAHALLI,1429,699
Karnataka,TUMKUR,KUNIGAL,H.DURGA,1567,1149
Karnataka,TUMKUR,KUNIGAL,HALLEVUR,1172,577
Karnataka,TUMKUR,KUNIGAL,HERUR,734,486
Karnataka,TUMKUR,KUNIGAL,HOSAHALLI,1076,563
Karnataka,TUMKUR,KUNIGAL,JANNAGARA,1739,810
Karnataka,TUMKUR,KUNIGAL,JODDIHOSSAHALLI,1759,918
Karnataka,TUMKUR,KUNIGAL,"K.HONAMAACHANA HALLI",485,315
Karnataka,TUMKUR,KUNIGAL,KAGGERE,1111,560
Karnataka,TUMKUR,KUNIGAL,KEMPANAHALLI,1653,949
Karnataka,TUMKUR,KUNIGAL,KITHANAMANGALA,1040,463
Karnataka,TUMKUR,KUNIGAL,KODAVATHI,613,493
Karnataka,TUMKUR,KUNIGAL,KODIGEHALLI,1320,835
Karnataka,TUMKUR,KUNIGAL,KOPPA,1038,525
Karnataka,TUMKUR,KUNIGAL,KOTHAGERE,948,378
Karnataka,TUMKUR,KUNIGAL,MADIKEHALLI,1062,535
Karnataka,TUMKUR,TIPTUR,TADASUR,2060,979
Karnataka,TUMKUR,TUMKUR,ARAKERE,818,818
Karnataka,TUMKUR,TUMKUR,AREGUJJANAHALLI,1259,763
Karnataka,TUMKUR,TUMKUR,ARIYURU,985,766
Karnataka,TUMKUR,TUMKUR,BALLAGERE,1455,1253
Karnataka,TUMKUR,TUMKUR,BELADARA,964,645
Karnataka,TUMKUR,TUMKUR,BELAGUMBA,1701,1534
Karnataka,TUMKUR,TUMKUR,BELLAVI,1768,1473
Karnataka,TUMKUR,TUMKUR,BUGUDANAHALLI,1440,1207
Karnataka,TUMKUR,TUMKUR,CHIKKATOTLAKERE,1015,814
Karnataka,TUMKUR,TUMKUR,DEVALAAPURA,988,789
Karnataka,TUMKUR,TUMKUR,DODDANARAVANGALA,1435,1121
Karnataka,TUMKUR,TUMKUR,GALIGENAHALLI,1279,989
Karnataka,TUMKUR,TUMKUR,GANGONAHALLI,938,938
Karnataka,TUMKUR,TUMKUR,GULUR,1932,1625
Karnataka,TUMKUR,TUMKUR,HARALURU,1342,1128
Karnataka,TUMKUR,TUMKUR,HEBBUR,1790,1586
Karnataka,TUMKUR,TUMKUR,HEGERE,1014,829
Karnataka,TUMKUR,TUMKUR,HETHANAHALLI,1542,1238
Karnataka,TUMKUR,TUMKUR,HIREHALLI,1785,1688
Karnataka,TUMKUR,TUMKUR,HOLAKAL,1804,1584
Karnataka,TUMKUR,TUMKUR,HONASIGERE,1166,968
Karnataka,TUMKUR,TUMKUR,HONNUDIKE,971,764
Karnataka,TUMKUR,TUMKUR,K.PALASANDRA,1268,1268
Karnataka,TUMKUR,TUMKUR,KANAKOPPA,1488,1291
Karnataka,TUMKUR,TUMKUR,KESARAMADU,1511,1398
Karnataka,TUMKUR,TUMKUR,KESTUR,1223,859
Karnataka,TUMKUR,TUMKUR,KORA,1318,984
Karnataka,TUMKUR,TUMKUR,MAIDALA,1475,1126
Karnataka,TUMKUR,TUMKUR,MALASANDRA,1694,1460
Karnataka,TUMKUR,TUMKUR,MASKAL,829,664
Karnataka,TUMKUR,TUMKUR,NAGAVALLI,1480,1480
Karnataka,TUMKUR,TUMKUR,NELAHAL,771,568
Karnataka,TUMKUR,TUMKUR,NIDAVALLALU,1421,1239
Karnataka,TUMKUR,TUMKUR,OBLAPURA,942,858
Karnataka,TUMKUR,TUMKUR,OORKERE,1576,1393
Karnataka,TUMKUR,TUMKUR,SIRAVARA,1162,947
Karnataka,TUMKUR,TUMKUR,SITAKALLU,1539,1307
Karnataka,TUMKUR,TUMKUR,SOREKUNTE,936,718
Karnataka,TUMKUR,TUMKUR,SWANDENAHALLI,1359,1324
Karnataka,TUMKUR,TUMKUR,THIMMARAJANAHALLI,1251,1079
Karnataka,TUMKUR,TUMKUR,URDIGERE,1889,1727
Karnataka,TUMKUR,TURUVEKERE,AMMASANDRA,324,323
Karnataka,TUMKUR,TURUVEKERE,ANEKERE,1422,713
Karnataka,TUMKUR,TURUVEKERE,AREMALLENAHALLI,1148,540
Karnataka,TUMKUR,TURUVEKERE,BANASANDRA,909,583
Karnataka,TUMKUR,TURUVEKERE,BITARAHOSSALLI,1308,570
Karnataka,TUMKUR,TURUVEKERE,DABBEGHATTA,728,658
Karnataka,TUMKUR,TURUVEKERE,DANDINASHIVARA,961,537
Karnataka,TUMKUR,TURUVEKERE,"GONI TUMKUR",1331,426
Karnataka,TUMKUR,TURUVEKERE,HULLEKERE,1424,416
Karnataka,TUMKUR,TURUVEKERE,KANATHUR,1084,229
Karnataka,TUMKUR,TURUVEKERE,KODIGEHALLI,1286,671
Karnataka,TUMKUR,TURUVEKERE,KONDAJJI,1533,550
Karnataka,TUMKUR,TURUVEKERE,LOKAMMANAHALLI,1484,399
Karnataka,TUMKUR,TURUVEKERE,MADIHALLI,1231,621
Karnataka,TUMKUR,TURUVEKERE,MANICHENDUR,1148,452
Karnataka,TUMKUR,TURUVEKERE,MAVINAKERE,1232,528
Karnataka,TUMKUR,TURUVEKERE,MAYASANDRA,495,486
Karnataka,TUMKUR,TURUVEKERE,MUNIYUR,942,554
Karnataka,TUMKUR,TURUVEKERE,MUTHUGADAHALLI,1173,458
Karnataka,TUMKUR,TURUVEKERE,SAMPIGE,1470,357
Karnataka,TUMKUR,TURUVEKERE,"SAMPIGE HOSSAHALLI",1240,486
Karnataka,TUMKUR,TURUVEKERE,SIGEHALLI,1032,265
Karnataka,TUMKUR,TURUVEKERE,SORAVANAHALLI,1362,629
Karnataka,TUMKUR,TURUVEKERE,TALAKERE,1109,253
Karnataka,TUMKUR,TURUVEKERE,TANDAGA,1164,472
Karnataka,TUMKUR,TURUVEKERE,VADAVANAGHATA,1409,447
Karnataka,TUMKUR,SIRA,BANDAKUNTE,884,347
Karnataka,TUMKUR,SIRA,CHANGAVARA,981,202
Karnataka,TUMKUR,SIRA,TALAGUNDA,686,221
Karnataka,TUMKUR,SIRA,YALADABAGI,918,240
Karnataka,TUMKUR,SIRA,KURUBARAHALLI,1124,366
Karnataka,TUMKUR,SIRA,HALENAHALLI,332,266
Karnataka,TUMKUR,TURUVEKERE,HADAVANAHALLI,775,495
Karnataka,TUMKUR,KUNIGAL,MARKONAHALLI,750,472
Karnataka,TUMKUR,KUNIGAL,NADEMAVINAPURA,752,411
Karnataka,TUMKUR,KUNIGAL,NAGASANDRA,1332,625
Karnataka,TUMKUR,KUNIGAL,NIDASALE,735,575
Karnataka,TUMKUR,KUNIGAL,PADUVAGERE,1196,558
Karnataka,TUMKUR,KUNIGAL,SANTEMAVATHUR,964,570
Karnataka,TUMKUR,KUNIGAL,SEENAPPANAHALLI,1266,843
Karnataka,TUMKUR,KUNIGAL,TAREDKUPPA,1208,289
Karnataka,TUMKUR,KUNIGAL,TAVAREKERE,981,441
Karnataka,TUMKUR,KUNIGAL,UJJANNI,450,354
Karnataka,TUMKUR,KUNIGAL,UTHARIDURGA,1509,872
Karnataka,TUMKUR,KUNIGAL,YEDAVANI,1301,580
Karnataka,TUMKUR,KUNIGAL,YEDIYUR,2070,1199
Karnataka,TUMKUR,KUNIGAL,YELEYUR,1486,723
Karnataka,TUMKUR,MADHUGIRI,BADAVANAHALLI,1667,919
Karnataka,TUMKUR,MADHUGIRI,BEDATHURU,908,304
Karnataka,TUMKUR,MADHUGIRI,BIJAVARA,1465,357
Karnataka,TUMKUR,MADHUGIRI,BRAMHASAMUDRA,1235,345
Karnataka,TUMKUR,MADHUGIRI,BYALYA,1878,1063
Karnataka,TUMKUR,MADHUGIRI,CHANDRAGIRI,472,318
Karnataka,TUMKUR,MADHUGIRI,CHANNENAHALLI,1341,487
Karnataka,TUMKUR,MADHUGIRI,CHIKKADAALAVATTA,1128,421
Karnataka,TUMKUR,MADHUGIRI,CHIKKAMAALUR,1077,283
Karnataka,TUMKUR,MADHUGIRI,CHINAKAVAJRA,1240,473
Karnataka,TUMKUR,MADHUGIRI,D.V.HALLI,1466,509
Karnataka,TUMKUR,MADHUGIRI,DABBEGHATTA,1439,339
Karnataka,TUMKUR,MADHUGIRI,DODDAMAALUR,1241,523
Karnataka,TUMKUR,MADHUGIRI,DODDAYALKURU,1465,277
Karnataka,TUMKUR,MADHUGIRI,DODDERI,1653,626
Karnataka,TUMKUR,MADHUGIRI,GANJALAGUNTE,1029,323
Karnataka,TUMKUR,MADHUGIRI,GARANI,1203,336
Karnataka,TUMKUR,MADHUGIRI,GONDIHALLI,1800,348
Karnataka,TUMKUR,MADHUGIRI,HOSAKERE,1404,754
Karnataka,TUMKUR,MADHUGIRI,I.D.HALLI,1517,449
Karnataka,TUMKUR,MADHUGIRI,KADAGATHURU,1341,307
Karnataka,TUMKUR,MADHUGIRI,KALIDEVAPURA,1024,420
Karnataka,TUMKUR,MADHUGIRI,KAVANADALA,1490,551
Karnataka,TUMKUR,MADHUGIRI,KODAGADAALA,1332,259
Karnataka,TUMKUR,MADHUGIRI,KODIGENAHALLI,1565,745
Karnataka,TUMKUR,MADHUGIRI,KODLAPURA,1058,302
Karnataka,TUMKUR,MADHUGIRI,KONDAVAADI,1739,516
Karnataka,TUMKUR,MADHUGIRI,KOTAGARLAHALLI,1099,322
Karnataka,TUMKUR,MADHUGIRI,MARUVEKERE,1147,629
Karnataka,TUMKUR,MADHUGIRI,MIDIGESHI,1321,823
Karnataka,TUMKUR,MADHUGIRI,MUDDENAHALLI,1394,522
Karnataka,TUMKUR,MADHUGIRI,NERELEKERE,492,416
