StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
Karnataka,UDUPI,KARKAL,BAILOOR,1142,1142
Karnataka,UDUPI,KARKAL,BELMAN,2046,2046
Karnataka,UDUPI,KARKAL,BOLA,940,940
Karnataka,UDUPI,KARKAL,DURGA,664,664
Karnataka,UDUPI,KARKAL,ERLAPADI,937,937
Karnataka,UDUPI,KARKAL,HEBRI,1193,1193
Karnataka,UDUPI,KARKAL,HIRGANA,1056,1056
Karnataka,UDUPI,KARKAL,IDU,1350,1350
Karnataka,UDUPI,KARKAL,INNA,806,806
Karnataka,UDUPI,KARKAL,KADTHALA,1127,1127
Karnataka,UDUPI,KARKAL,KANTHAVARA,815,815
Karnataka,UDUPI,KARKAL,KUCHCHURU,943,943
Karnataka,UDUPI,KARKAL,KUKKUNDOOR,2929,2929
Karnataka,UDUPI,KARKAL,MALA,1221,1221
Karnataka,UDUPI,KARKAL,MARNE,2228,2228
Karnataka,UDUPI,KARKAL,MIYARU,1294,1294
Karnataka,UDUPI,KARKAL,MUDARU,1308,1306
Karnataka,UDUPI,KARKAL,MUDRADI,1444,1444
Karnataka,UDUPI,KARKAL,MUNDKOOR,1712,1712
Karnataka,UDUPI,KARKAL,NADPALU,619,619
Karnataka,UDUPI,KARKAL,NALLOOR,1293,1293
Karnataka,UDUPI,KARKAL,NEERE,1286,1286
Karnataka,UDUPI,KARKAL,NITTE,2596,2596
Karnataka,UDUPI,KARKAL,PALLI,1394,1394
Karnataka,UDUPI,KARKAL,RENJALA,797,797
Karnataka,UDUPI,KARKAL,SANOOR,44,44
Karnataka,UDUPI,KARKAL,SHIRLAL,776,776
Karnataka,UDUPI,KARKAL,SHIVAPURA,1002,1002
Karnataka,UDUPI,KARKAL,VARANGA,1405,1405
Karnataka,UDUPI,KUNDAPURA,AJRI,1391,1391
Karnataka,UDUPI,KUNDAPURA,ALURU,1153,1153
Karnataka,UDUPI,KUNDAPURA,AMASBAIL,1533,1533
Karnataka,UDUPI,KUNDAPURA,AMPARU,1069,1069
Karnataka,UDUPI,KUNDAPURA,ANAGALI,806,806
