StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
Karnataka,"UTTAR KANNADA",SUPA,ANSHI,516,516
Karnataka,"UTTAR KANNADA",SUPA,ASU,684,684
Karnataka,"UTTAR KANNADA",SUPA,AVEDA,775,775
Karnataka,"UTTAR KANNADA",SUPA,"BAZAAR KULANG",641,641
Karnataka,"UTTAR KANNADA",SUPA,JAGALBATE,891,891
Karnataka,"UTTAR KANNADA",SUPA,JOIDA,1061,1061
Karnataka,"UTTAR KANNADA",SUPA,KALAMBOLI,412,412
Karnataka,"UTTAR KANNADA",SUPA,KATELI,1124,1124
Karnataka,"UTTAR KANNADA",SUPA,NAGODA,800,800
Karnataka,"UTTAR KANNADA",SUPA,NANDIGADDE,626,626
Karnataka,"UTTAR KANNADA",SUPA,PRADHANI,715,715
Karnataka,"UTTAR KANNADA",SUPA,RAMNAGAR,1784,1784
Karnataka,"UTTAR KANNADA",SUPA,SHINGARAGAON,537,537
Karnataka,"UTTAR KANNADA",SUPA,ULVI,688,688
Karnataka,"UTTAR KANNADA",YELLAPUR,ANGOD,631,631
Karnataka,"UTTAR KANNADA",YELLAPUR,DEHALLI,792,792
Karnataka,"UTTAR KANNADA",YELLAPUR,HASANGI,1073,1073
Karnataka,"UTTAR KANNADA",YELLAPUR,HITHALLI,653,653
Karnataka,"UTTAR KANNADA",YELLAPUR,IDGUNDI,1914,1914
Karnataka,"UTTAR KANNADA",YELLAPUR,KAMPLI,1313,1313
Karnataka,"UTTAR KANNADA",YELLAPUR,KANNIGERI,1010,1010
Karnataka,"UTTAR KANNADA",YELLAPUR,KIRWATTI,2952,2952
Karnataka,"UTTAR KANNADA",YELLAPUR,KUNDARGI,1025,1025
Karnataka,"UTTAR KANNADA",YELLAPUR,MADNUR,1716,1716
Karnataka,"UTTAR KANNADA",YELLAPUR,MAVINMANE,932,932
Karnataka,"UTTAR KANNADA",YELLAPUR,NANDOLLI,782,782
Karnataka,"UTTAR KANNADA",YELLAPUR,UMMACHAGI,1121,1121
Karnataka,"UTTAR KANNADA",YELLAPUR,VAJRALLI,1031,1031
Karnataka,"UTTAR KANNADA",SUPA,GANGODA,393,393
Karnataka,"UTTAR KANNADA",YELLAPUR,CHANDHAGULI,734,734
Karnataka,"UTTAR KANNADA",ANKOLA,ACHVE,1142,1142
Karnataka,"UTTAR KANNADA",ANKOLA,AGRAGONE,926,925
Karnataka,"UTTAR KANNADA",ANKOLA,AGSUR,891,881
Karnataka,"UTTAR KANNADA",ANKOLA,ALAGERI,1526,1510
Karnataka,"UTTAR KANNADA",ANKOLA,AVERSA,1635,1587
Karnataka,"UTTAR KANNADA",ANKOLA,BAVIKERI,1692,1448
Karnataka,"UTTAR KANNADA",ANKOLA,BELAMBAR,1182,986
Karnataka,"UTTAR KANNADA",ANKOLA,BELEKERI,1066,976
Karnataka,"UTTAR KANNADA",ANKOLA,BELSE,1337,1324
Karnataka,"UTTAR KANNADA",ANKOLA,BOBRUWADA,1084,1083
Karnataka,"UTTAR KANNADA",ANKOLA,DONGRI,1102,1102
Karnataka,"UTTAR KANNADA",ANKOLA,HARWADA,895,895
Karnataka,"UTTAR KANNADA",ANKOLA,HATTIKERI,1154,1098
Karnataka,"UTTAR KANNADA",ANKOLA,HILLUR,966,966
Karnataka,"UTTAR KANNADA",ANKOLA,MOGTA,767,636
Karnataka,"UTTAR KANNADA",ANKOLA,SAGADGERI,863,738
Karnataka,"UTTAR KANNADA",ANKOLA,SHETGERI,478,317
Karnataka,"UTTAR KANNADA",ANKOLA,SUNKASAL,953,953
Karnataka,"UTTAR KANNADA",ANKOLA,VANDIGE,1440,1440
Karnataka,"UTTAR KANNADA",BHATKAL,BAILUR,1356,1003
Karnataka,"UTTAR KANNADA",BHATKAL,BELAKE,1376,1273
Karnataka,"UTTAR KANNADA",BHATKAL,BENGRE,1954,1851
Karnataka,"UTTAR KANNADA",BHATKAL,HADAVALLI,679,679
Karnataka,"UTTAR KANNADA",BHATKAL,HEBLE,2212,2140
Karnataka,"UTTAR KANNADA",BHATKAL,KAIKINI,1646,1546
Karnataka,"UTTAR KANNADA",BHATKAL,KONAR,703,703
Karnataka,"UTTAR KANNADA",BHATKAL,KOPPA,720,718
Karnataka,"UTTAR KANNADA",BHATKAL,MARUKERI,605,605
Karnataka,"UTTAR KANNADA",BHATKAL,MAVALLI,3221,3125
Karnataka,"UTTAR KANNADA",BHATKAL,MAVINAKURVE,1247,1174
Karnataka,"UTTAR KANNADA",BHATKAL,MUNDALLI,970,950
Karnataka,"UTTAR KANNADA",BHATKAL,MUTALLI,855,781
Karnataka,"UTTAR KANNADA",BHATKAL,SHIRALI,2232,1871
Karnataka,"UTTAR KANNADA",BHATKAL,YELAVADIKAVOOR,2048,2048
Karnataka,"UTTAR KANNADA",HALIYAL,ALUR,434,434
