StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
Karnataka,YADGIR,SHAHPUR,ANABI,1334,175
Karnataka,YADGIR,SHAHPUR,BENDEBEMBALI,1764,89
Karnataka,YADGIR,SHAHPUR,BILAR,1821,174
Karnataka,YADGIR,SHAHPUR,CHAMNAL,1849,467
Karnataka,YADGIR,SHAHPUR,CHATNALLI,1174,320
Karnataka,YADGIR,SHAHPUR,DORANHALLI,1062,135
Karnataka,YADGIR,SHAHPUR,GOGIKONA,276,183
Karnataka,YADGIR,SHAHPUR,GOGIPETH,1879,537
Karnataka,YADGIR,SHAHPUR,GONAL,1508,146
Karnataka,YADGIR,SHAHPUR,GULSARAM,1322,222
Karnataka,YADGIR,SHAHPUR,HAIYYAL.B.,532,103
Karnataka,YADGIR,SHAHPUR,HALGERA,955,363
Karnataka,YADGIR,SHAHPUR,HATTIGUDUR,1171,388
Karnataka,YADGIR,SHAHPUR,HOSKERA,993,223
Karnataka,YADGIR,SHAHPUR,HOTPET,1925,182
Karnataka,YADGIR,SHAHPUR,IBRAHIMPUR,240,154
Karnataka,YADGIR,SHAHPUR,KADAMGERA,256,65
Karnataka,YADGIR,SHAHPUR,KAKKASGERA,1316,252
Karnataka,YADGIR,SHAHPUR,KANNEKOLLUR,1020,101
Karnataka,YADGIR,SHAHPUR,KHANAPUR,532,309
Karnataka,YADGIR,SHAHPUR,KOLLUR,807,131
Karnataka,YADGIR,SHAHPUR,KONKAL,1372,115
Karnataka,YADGIR,SHAHPUR,KURKUNDA,910,253
Karnataka,YADGIR,SHAHPUR,MUDBOOL,1526,170
Karnataka,YADGIR,SHAHPUR,MUDRIKI,709,121
Karnataka,YADGIR,SHAHPUR,NAGANATAGI,1221,223
Karnataka,YADGIR,SHAHPUR,NAIKAL,1306,304
Karnataka,YADGIR,SHAHPUR,RASTAPUR,541,222
Karnataka,YADGIR,SHAHPUR,SAGAR,1591,217
Karnataka,YADGIR,SHAHPUR,SIRVAL,1344,88
Karnataka,YADGIR,SHAHPUR,T.WADAGERA,1644,344
Karnataka,YADGIR,SHAHPUR,TADABIDI,1327,198
Karnataka,YADGIR,SHAHPUR,UKKINAL,1263,222
Karnataka,YADGIR,SHAHPUR,"ULLE SUGOOR",1117,106
Karnataka,YADGIR,SHAHPUR,VADAGERA,1211,654
Karnataka,YADGIR,SHAHPUR,VANADURG,889,141
Karnataka,YADGIR,SHORAPUR,"AGNI     .",486,101
Karnataka,YADGIR,SHORAPUR,ALDAL,1444,193
Karnataka,YADGIR,SHORAPUR,"ARAKERA J.",642,300
Karnataka,YADGIR,SHORAPUR,ARKERA.K,1332,242
Karnataka,YADGIR,SHORAPUR,BAICHABAL,1363,187
Karnataka,YADGIR,SHORAPUR,BAILAKUNTI,1274,185
Karnataka,YADGIR,SHORAPUR,BARADEVANAL,1000,166
Karnataka,YADGIR,SHORAPUR,DEVAPUR,1208,282
Karnataka,YADGIR,SHORAPUR,"DEVAR GONAL",844,207
Karnataka,YADGIR,SHORAPUR,DEVATKAL,1105,295
Karnataka,YADGIR,SHORAPUR,DEVIKERA,631,273
Karnataka,YADGIR,SHORAPUR,GEDDALAMARI,1002,210
Karnataka,YADGIR,SHORAPUR,HAGARATAGI,1193,253
Karnataka,YADGIR,SHORAPUR,"HEBBALA B.",452,192
Karnataka,YADGIR,SHORAPUR,HEMNUR,1401,102
Karnataka,YADGIR,SHORAPUR,HUNASAGI,2271,824
Karnataka,YADGIR,SHORAPUR,JOGANDABHAVI,1568,503
Karnataka,YADGIR,SHORAPUR,KACHAKANOOR,975,104
Karnataka,YADGIR,SHORAPUR,KAMANATAGI,1375,369
Karnataka,YADGIR,SHORAPUR,KARADKALL,645,112
Karnataka,YADGIR,SHORAPUR,KHANAPUR.S.H.,763,186
Karnataka,YADGIR,SHORAPUR,KODEKALL,1260,274
Karnataka,YADGIR,SHORAPUR,KOLIHAL,841,204
Karnataka,YADGIR,SHORAPUR,MALAGATTI,441,115
