,PI_CODE,category,dr_code,layer,Shape_Leng,status,stcode
0,,Stream,DRST,Drainage,1.7838064112566892,,28
1,,Stream,DRST,Drainage,0.2818014211601169,,28
2,,Stream,DRST,Drainage,2.15123998323488,,28
3,,Stream,DRST,Drainage,1.8695118335180312,,28
4,,Stream,DRST,Drainage,2.2445733228014495,,28
5,,Stream,DRST,Drainage,2.0877035847126466,,28
6,,Stream,DRST,Drainage,0.7690146956344448,,28
7,,Stream,DRST,Drainage,2.1177591867507206,,28
8,,Stream,DRST,Drainage,3.3101405502631205,,28
9,,Stream,DRST,Drainage,1.7970983839093044,,28
10,,Stream,DRST,Drainage,0.11776536504851652,,28
11,,Stream,DRST,Drainage,3.6950638231992436,,28
12,,Stream,DRST,Drainage,2.4347712889669517,,28
13,,Stream,DRST,Drainage,2.288286248242174,,28
14,,Stream,DRST,Drainage,2.1945057728743134,,28
15,,Stream,DRST,Drainage,4.007618872863888,,28
16,,Stream,DRST,Drainage,3.349534576691536,,28
17,,Stream,DRST,Drainage,3.977908603656054,,28
18,,Stream,DRST,Drainage,2.196427238546043,,28
19,,Stream,DRST,Drainage,0.4066601871188475,,28
20,,Stream,DRST,Drainage,1.7051429808751224,,28
21,,Stream,DRST,Drainage,1.8451321404213952,,28
22,,Stream,DRST,Drainage,1.8441554423359108,,28
23,,Stream,DRST,Drainage,2.198228430189234,,28
24,,Stream,DRST,Drainage,3.5876390517250485,,28
25,Banshadara Left Main Canal,Main canal,CANM,Canal,3.700580038217659,,28
26,,Stream,DRST,Drainage,0.044972598402844455,,28
27,,Stream,DRST,Drainage,1.109893037683784,,28
28,,Stream,DRST,Drainage,0.27724239697479913,,28
29,,Stream,DRST,Drainage,0.36882014028131255,,28
30,,Stream,DRST,Drainage,1.7451829873137104,,28
31,,Stream,DRST,Drainage,3.1520402393792852,,28
32,,Distributory canal,CAND,Canal,1.7924979096861726,,28
