lc_code,dscr1,dscr2,dscr3,Shape_Leng,Shape_Area,PI_Code,stcode
WBCN,Water bodies,Canal,Canal,2.392296007719738,0.11055198402359089,,28
BURH,Built up,Built up (Rural),Hamlets and dispersed household,8.46139195227521,0.0860732299692496,Ponnavanipeta,28
BURH,Built up,Built up (Rural),Hamlets and dispersed household,1.261056190321482,0.07122304382533598,Pakaivalasa,28
BURV,Built up,Built up (Rural),Village,9.613364514155489,0.07857483060336612,Manchalapeta,28
BURH,Built up,Built up (Rural),Hamlets and dispersed household,0.8281382297777994,0.07355421664967719,Pakaivalasa,28
BURH,Built up,Built up (Rural),Hamlets and dispersed household,9.42198355721717,0.06438051100164238,Manchalapeta,28
BURH,Built up,Built up (Rural),Hamlets and dispersed household,11.98812892509635,0.06420657774255023,Manchalapeta,28
BURH,Built up,Built up (Rural),Hamlets and dispersed household,7.9329081321800805,0.0561972688184925,Manchalapeta,28
BURV,Built up,Built up (Rural),Village,1.529619498464064,0.00917655803712093,Mandapeta,28
BURV,Built up,Built up (Rural),Village,6.109547874589625,0.10919822821938019,Ponnavanipeta,28
BURV,Built up,Built up (Rural),Village,1.829384748664709,0.06447573379599507,Pakaivalasa,28
BUTP,Built up,Transportation,Transportation,6.1941450987726085,0.059859977807790885,,28
BUMN,Built up,Mining / industrial,Mining / industrial,0.29866874900819984,0.059680938912914615,,28
BURV,Built up,Built up (Rural),Village,6.241473118562216,0.0061303450523480865,Balarampuram,28
BURV,Built up,Built up (Rural),Village,11.260803761941066,0.0236506177398983,Ramayyapeta,28
BURV,Built up,Built up (Rural),Village,3.9563599498503086,0.09311578836995006,Bavajipeta,28
BURV,Built up,Built up (Rural),Village,11.828752109913202,0.09829758650530418,Yerakayyapeta,28
BURV,Built up,Built up (Rural),Village,12.0169431552305,0.028956206006543077,Kurudu,28
BURV,Built up,Built up (Rural),Village,11.573074628910142,0.12462583463498979,Kurudu,28
BURV,Built up,Built up (Rural),Village,6.768153684642913,0.09829843750300603,Choudary Kotturu,28
BURV,Built up,Built up (Rural),Village,11.045197739858253,0.02846861124111383,Choudary Kotturu,28
WBLP,Water bodies,Lakes / Ponds,Lakes / Ponds,3.4076352486570722,0.07676336433885025,,28
WBLP,Water bodies,Lakes / Ponds,Lakes / Ponds,3.693706872416605,0.012623081916522337,,28
WBLP,Water bodies,Lakes / Ponds,Lakes / Ponds,3.1128900760527825,0.048124005604312285,,28
WBRS,Water bodies,River / Stream / Drain,River / Stream / Drain,12.3910373734875,0.06479620681106268,,28
BUMN,Built up,Mining / industrial,Mining / industrial,1.3259612284081757,0.033508428091155236,,28
BUMN,Built up,Mining / industrial,Mining / industrial,8.905258573751269,0.03672297077925755,,28
AGPL,Agricultural land,Agriculture plantation,Agriculture plantation,5.420927034153705,0.07403205753528233,,28
AGPL,Agricultural land,Agriculture plantation,Agriculture plantation,11.22576250264871,0.11471666288608454,,28
AGPL,Agricultural land,Agriculture plantation,Agriculture plantation,2.8694026869802394,0.062321337032245946,,28
AGPL,Agricultural land,Agriculture plantation,Agriculture plantation,9.589676233232746,0.047812612593952405,,28
