PI_Code,layer,type,status,tr_rdcode,category,Shape_Leng,stcode
,Transportation,Pucca Road,District Road,TPPD,Road,6.310542728603657,28
,Transportation,Kutchha Road,Village Road,TPKV,Road,0.9906135212611052,28
,Transportation,Kutchha Road,Village Road,TPKV,Road,3.160482906812354,28
,Transportation,Kutchha Road,Cart Track,TPKC,Road,0.21722115290792857,28
,Transportation,Kutchha Road,Village Road,TPKV,Road,1.815609469502689,28
,Transportation,Kutchha Road,Cart Track,TPKC,Road,0.8144469297509622,28
,Transportation,Kutchha Road,Village Road,TPKV,Road,0.984061931460873,28
,Transportation,Pucca Road,Village Road,TPPV,Road,0.6726817360846162,28
NH-5,Transportation,Pucca Road,National Highway,TPPN,Road,0.8518013793861503,28
,Transportation,Pucca Road,Village Road,TPPV,Road,0.35891035514013947,28
,Transportation,Kutchha Road,Village Road,TPKV,Road,0.5570121085591303,28
,Transportation,Kutchha Road,Cart Track,TPKC,Road,0.5347466198471347,28
,Transportation,Kutchha Road,Village Road,TPKV,Road,1.7362810517335485,28
