,PI_Code,layer,type,status,tr_rdcode,category,Shape_Leng,stcode
0,,Transportation,Pucca Road,District Road,TPPD,Road,1.1176407107284618,28
1,,Transportation,Kutchha Road,Village Road,TPKV,Road,4.54025867242055,28
2,,Transportation,Kutchha Road,Village Road,TPKV,Road,6.136713942482698,28
3,,Transportation,Kutchha Road,Cart Track,TPKC,Road,6.00906963331763,28
4,,Transportation,Kutchha Road,Village Road,TPKV,Road,4.288729002471285,28
5,,Transportation,Kutchha Road,Cart Track,TPKC,Road,4.530292920323829,28
6,,Transportation,Kutchha Road,Village Road,TPKV,Road,4.6340157977835155,28
7,,Transportation,Pucca Road,Village Road,TPPV,Road,5.093923712336491,28
8,NH-5,Transportation,Pucca Road,National Highway,TPPN,Road,5.149497510167869,28
9,,Transportation,Pucca Road,Village Road,TPPV,Road,5.125788220962176,28
10,,Transportation,Kutchha Road,Village Road,TPKV,Road,2.0579748072091637,28
11,,Transportation,Kutchha Road,Cart Track,TPKC,Road,0.9606807943262289,28
12,,Transportation,Kutchha Road,Village Road,TPKV,Road,2.103746457857308,28
