StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
"Andhra Pradesh",ANANTAPUR,AGALI,AGALI,1328,922
"Andhra Pradesh",ANANTAPUR,AGALI,HULLEKERADEVARAHALLI,351,111
"Andhra Pradesh",ANANTAPUR,AGALI,INGALORE,915,62
"Andhra Pradesh",ANANTAPUR,AGALI,KODIHALLI,324,211
"Andhra Pradesh",ANANTAPUR,AGALI,MADHUDI,745,13
"Andhra Pradesh",ANANTAPUR,AGALI,NARASAMBUDI,648,70
"Andhra Pradesh",ANANTAPUR,AGALI,P.BYADIGERA,467,0
"Andhra Pradesh",ANANTAPUR,AGALI,RAGELINGANAHALLI,407,33
"Andhra Pradesh",ANANTAPUR,AGALI,RAVUDI,713,36
"Andhra Pradesh",ANANTAPUR,AMADAGUR,AMADAGUR,1230,591
"Andhra Pradesh",ANANTAPUR,AMADAGUR,CHEEKIREVULAPALLI,101,73
"Andhra Pradesh",ANANTAPUR,AMADAGUR,CHINAGANIPALLI,686,473
"Andhra Pradesh",ANANTAPUR,AMADAGUR,GUNDUVARIPALLI,203,249
"Andhra Pradesh",ANANTAPUR,AMADAGUR,JOWKULAKOTHAPALLI,659,263
"Andhra Pradesh",ANANTAPUR,AMADAGUR,KASSAMUDRAM,325,208
"Andhra Pradesh",ANANTAPUR,AMADAGUR,MOHAMMADABAD,497,311
"Andhra Pradesh",ANANTAPUR,AMADAGUR,PULIKUNTAPALLI,629,213
"Andhra Pradesh",ANANTAPUR,AMADAGUR,THUMMALA,1244,228
"Andhra Pradesh",ANANTAPUR,AMARAPURAM,ALDAHALLI,682,3
"Andhra Pradesh",ANANTAPUR,AMARAPURAM,AMARAPURAM,1949,944
"Andhra Pradesh",ANANTAPUR,AMARAPURAM,BASAVANAHALLI,797,359
"Andhra Pradesh",ANANTAPUR,AMARAPURAM,HALUKURU,1004,67
"Andhra Pradesh",ANANTAPUR,AMARAPURAM,HEMAVATHI,1014,13
"Andhra Pradesh",ANANTAPUR,AMARAPURAM,NIDRAGATTA,754,0
"Andhra Pradesh",ANANTAPUR,AMARAPURAM,SIVARAM,1361,5
"Andhra Pradesh",ANANTAPUR,AMARAPURAM,THAMMEDAHALLI,1069,34
"Andhra Pradesh",ANANTAPUR,AMARAPURAM,VALASA,700,283
"Andhra Pradesh",ANANTAPUR,ANANTAPUR,A.NARAYANAPURAM,785,42
"Andhra Pradesh",ANANTAPUR,ANANTAPUR,AKKAMPALLI,274,51
"Andhra Pradesh",ANANTAPUR,ANANTAPUR,AKUTHOTAPALLI,543,492
"Andhra Pradesh",ANANTAPUR,ANANTAPUR,ALAMURU,243,83
"Andhra Pradesh",ANANTAPUR,ANANTAPUR,"ANANTAPUR (RURAL)",402,160
"Andhra Pradesh",ANANTAPUR,ANANTAPUR,CHINNAMPALLI,120,117
"Andhra Pradesh",ANANTAPUR,ANANTAPUR,CHIYYEDU,500,189
"Andhra Pradesh",ANANTAPUR,ANANTAPUR,ITIKALAPALLI,396,83
"Andhra Pradesh",ANANTAPUR,ANANTAPUR,"KAKKALAPALLI (RURAL)",463,194
"Andhra Pradesh",ANANTAPUR,ANANTAPUR,"KAKKALAPALLI COLONY",1345,676
"Andhra Pradesh",ANANTAPUR,ANANTAPUR,KAMARUPALLI,42,42
"Andhra Pradesh",ANANTAPUR,ANANTAPUR,KANDUKUR,1086,417
"Andhra Pradesh",ANANTAPUR,ANANTAPUR,KATIGANIKALVA,319,69
"Andhra Pradesh",ANANTAPUR,ANANTAPUR,KATTAKINDAPALLI,218,27
"Andhra Pradesh",ANANTAPUR,ANANTAPUR,KODIMI,321,71
"Andhra Pradesh",ANANTAPUR,ANANTAPUR,KURUGUNTA,178,5
"Andhra Pradesh",ANANTAPUR,ANANTAPUR,MANNILA,137,137
"Andhra Pradesh",ANANTAPUR,ANANTAPUR,N.N.KUNTA,122,122
"Andhra Pradesh",ANANTAPUR,ANANTAPUR,PULAKUNTA,549,16
"Andhra Pradesh",ANANTAPUR,ANANTAPUR,RACHANAPALLI,169,163
"Andhra Pradesh",ANANTAPUR,ANANTAPUR,"RAJIV COLONY",887,859
"Andhra Pradesh",ANANTAPUR,ANANTAPUR,RUDRAMPETA,918,208
"Andhra Pradesh",ANANTAPUR,ANANTAPUR,SOMALADODDI,496,225
"Andhra Pradesh",ANANTAPUR,ANANTAPUR,THATICHERLA,478,64
"Andhra Pradesh",ANANTAPUR,ANANTAPUR,UPPARAPALLI,245,20
"Andhra Pradesh",ANANTAPUR,ATMAKUR,ATMAKUR,1467,166
"Andhra Pradesh",ANANTAPUR,NALLACHERUVU,UBICHERLA,796,3
"Andhra Pradesh",ANANTAPUR,NALLAMADA,CHARUPALLI,449,22
"Andhra Pradesh",ANANTAPUR,NALLAMADA,DONNIKOTA,865,58
"Andhra Pradesh",ANANTAPUR,NALLAMADA,GOPEPALLI,300,124
"Andhra Pradesh",ANANTAPUR,NALLAMADA,KURUMALA,519,17
"Andhra Pradesh",ANANTAPUR,NALLAMADA,MASAKARANKAPALLI,423,79
"Andhra Pradesh",ANANTAPUR,NALLAMADA,NALLAMADA,1648,165
"Andhra Pradesh",ANANTAPUR,NALLAMADA,PATHABATHALAPALLI,429,36
"Andhra Pradesh",ANANTAPUR,NALLAMADA,PULAGAMPALLI,399,2
"Andhra Pradesh",ANANTAPUR,NALLAMADA,REDDIPALLI,737,16
"Andhra Pradesh",ANANTAPUR,NALLAMADA,VANKARAKUNTA,373,18
"Andhra Pradesh",ANANTAPUR,NALLAMADA,VELLAMADDI,410,0
"Andhra Pradesh",ANANTAPUR,NALLAMADA,YERRAVANKAPALLI,275,76
"Andhra Pradesh",ANANTAPUR,NAMBULAPULIKUNTA,"BALIJA PALLI",14,0
"Andhra Pradesh",ANANTAPUR,NAMBULAPULIKUNTA,DHANIYANICHERUVU,561,104
"Andhra Pradesh",ANANTAPUR,NAMBULAPULIKUNTA,EASTNADIMPALLI,642,38
"Andhra Pradesh",ANANTAPUR,NAMBULAPULIKUNTA,EDURUDONA,757,76
"Andhra Pradesh",ANANTAPUR,NAMBULAPULIKUNTA,GOWKANAPALLI,565,64
"Andhra Pradesh",ANANTAPUR,NAMBULAPULIKUNTA,MARRIKOMMADINNE,748,19
"Andhra Pradesh",ANANTAPUR,NAMBULAPULIKUNTA,MEKALACHERUVU,674,62
"Andhra Pradesh",ANANTAPUR,NAMBULAPULIKUNTA,NAMBULAPULIKUNTA,1413,80
"Andhra Pradesh",ANANTAPUR,NAMBULAPULIKUNTA,P.KOTHAPALLI,478,335
"Andhra Pradesh",ANANTAPUR,NAMBULAPULIKUNTA,PEDABALLI,457,146
"Andhra Pradesh",ANANTAPUR,NAMBULAPULIKUNTA,VANKAMADDI,269,0
"Andhra Pradesh",ANANTAPUR,NAMBULAPULIKUNTA,VELICHELIMALA,538,0
"Andhra Pradesh",ANANTAPUR,NAMBULAPULIKUNTA,"WEST NADIM PALLI",473,3
"Andhra Pradesh",ANANTAPUR,NARPALA,B.PAPPURU,826,5
"Andhra Pradesh",ANANTAPUR,NARPALA,BANDLAPALLI,419,74
