StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
"Andhra Pradesh",CUDDAPAH,RAJUPALEM,VELAVALLI,498,171
"Andhra Pradesh",CUDDAPAH,RAJUPALEM,VENGALAYAPALLI,262,71
"Andhra Pradesh",CUDDAPAH,RAMAPURAM,BANDAPALLI,297,137
"Andhra Pradesh",CUDDAPAH,RAMAPURAM,CHITLUR,739,220
"Andhra Pradesh",CUDDAPAH,RAMAPURAM,GOPAGUDIPALLI,278,9
"Andhra Pradesh",CUDDAPAH,RAMAPURAM,GUVVALACHERUVU,240,240
"Andhra Pradesh",CUDDAPAH,RAMAPURAM,HASANAPURAM,678,272
"Andhra Pradesh",CUDDAPAH,RAMAPURAM,"K.P. CHERUVU",286,93
"Andhra Pradesh",CUDDAPAH,RAMAPURAM,KASIREDDIGARIPALLI,627,348
"Andhra Pradesh",CUDDAPAH,RAMAPURAM,KUMMARAPALLI,344,59
"Andhra Pradesh",CUDDAPAH,RAMAPURAM,NALLAGUTTAPALLI,416,264
"Andhra Pradesh",CUDDAPAH,RAMAPURAM,"NEELAKANTHARAO PET",177,46
"Andhra Pradesh",CUDDAPAH,RAMAPURAM,RACHAPALLI,627,281
"Andhra Pradesh",CUDDAPAH,RAMAPURAM,SARASWATHIPALLI,328,173
"Andhra Pradesh",CUDDAPAH,RAMAPURAM,SUDDAMALLA,391,42
"Andhra Pradesh",CUDDAPAH,RAYACHOTY,CHENNAMUKKAPALLI,607,517
"Andhra Pradesh",CUDDAPAH,RAYACHOTY,"D. ABBAVARAM",657,380
"Andhra Pradesh",CUDDAPAH,RAYACHOTY,GORLAMUDIVEEDU,790,154
"Andhra Pradesh",CUDDAPAH,RAYACHOTY,KATMAYAKUNTA,491,219
"Andhra Pradesh",CUDDAPAH,RAYACHOTY,MADHAVARAM,1145,383
"Andhra Pradesh",CUDDAPAH,RAYACHOTY,PEMMADAPALLI,495,95
"Andhra Pradesh",CUDDAPAH,RAYACHOTY,SIBYALA,1088,117
"Andhra Pradesh",CUDDAPAH,RAYACHOTY,"VORIGA PAPIREDDIGARIPALLI",264,39
"Andhra Pradesh",CUDDAPAH,RAYACHOTY,YANDAPALLI,627,98
"Andhra Pradesh",CUDDAPAH,SAMBEPALLE,DEVAPATLA,477,470
"Andhra Pradesh",CUDDAPAH,SAMBEPALLE,DUDYALA,977,318
"Andhra Pradesh",CUDDAPAH,SAMBEPALLE,GUNNIKUNTLA,547,253
"Andhra Pradesh",CUDDAPAH,SAMBEPALLE,GURIGINJAKUNTA,518,186
"Andhra Pradesh",CUDDAPAH,SAMBEPALLE,GUTTAPALLE,432,115
"Andhra Pradesh",CUDDAPAH,SAMBEPALLE,MOTAKATLA,389,34
"Andhra Pradesh",CUDDAPAH,SAMBEPALLE,NAGIREDDIGARIPALLI,349,45
"Andhra Pradesh",CUDDAPAH,SAMBEPALLE,NARAYANAREDDIGARIPALLE,880,216
"Andhra Pradesh",CUDDAPAH,SAMBEPALLE,"PRAKASHNAGAR COLONY",523,70
"Andhra Pradesh",CUDDAPAH,SAMBEPALLE,REDDIVARIPALLI,234,5
"Andhra Pradesh",CUDDAPAH,SAMBEPALLE,ROUTHUKUNTA,551,112
"Andhra Pradesh",CUDDAPAH,SAMBEPALLE,SAMBEPALLE,791,514
"Andhra Pradesh",CUDDAPAH,SAMBEPALLE,SETTIPALLE,1367,231
"Andhra Pradesh",CUDDAPAH,SAMBEPALLE,SOMAVARAM,483,25
"Andhra Pradesh",CUDDAPAH,SIDHOUT,BOGGIDIVARIPALLI,369,82
"Andhra Pradesh",CUDDAPAH,SIDHOUT,JANGALAPALLI,277,138
"Andhra Pradesh",CUDDAPAH,SIDHOUT,JYOTHI,313,94
"Andhra Pradesh",CUDDAPAH,SIDHOUT,"K. MADHAVARAM",236,142
"Andhra Pradesh",CUDDAPAH,SIDHOUT,KADAPAYAPALLI,147,16
"Andhra Pradesh",CUDDAPAH,SIDHOUT,LINGAMPALLI,77,77
"Andhra Pradesh",CUDDAPAH,SIDHOUT,MACHUPALLI,614,614
"Andhra Pradesh",CUDDAPAH,SIDHOUT,"MADHAVARAM -I",237,215
"Andhra Pradesh",CUDDAPAH,SIDHOUT,MOOLAPALLI,165,3
"Andhra Pradesh",CUDDAPAH,SIDHOUT,NEKANAPURAM,165,108
"Andhra Pradesh",CUDDAPAH,SIDHOUT,PEDDAPALLI,622,24
"Andhra Pradesh",CUDDAPAH,SIDHOUT,PONNAVOLU,310,33
"Andhra Pradesh",CUDDAPAH,SIDHOUT,S.RAJAMPET,145,20
"Andhra Pradesh",CUDDAPAH,SIDHOUT,SHAKARAJUPALLI,301,8
"Andhra Pradesh",CUDDAPAH,SIDHOUT,SIDHOUT,842,476
"Andhra Pradesh",CUDDAPAH,CHAPADU,BADRIPALLI,352,69
"Andhra Pradesh",CUDDAPAH,CHAPADU,CHAPADU,418,161
"Andhra Pradesh",CUDDAPAH,CHAPADU,CHINNAGURUVALUR,321,15
"Andhra Pradesh",CUDDAPAH,CHAPADU,CHIYYAPADU,522,113
"Andhra Pradesh",CUDDAPAH,CHAPADU,KHADERPALLI,374,173
"Andhra Pradesh",CUDDAPAH,CHAPADU,KUTCHUPAPA,195,14
"Andhra Pradesh",CUDDAPAH,CHAPADU,LAKSHMIPETA,424,107
"Andhra Pradesh",CUDDAPAH,CHAPADU,MADUR,428,53
"Andhra Pradesh",CUDDAPAH,CHAPADU,N.OBAYAPALLI,557,33
"Andhra Pradesh",CUDDAPAH,CHAPADU,NAGULAPALLI,222,51
"Andhra Pradesh",CUDDAPAH,CHAPADU,PALLAVOLU,539,539
"Andhra Pradesh",CUDDAPAH,CHAPADU,PEDDAGURAVALUR,555,479
"Andhra Pradesh",CUDDAPAH,CHAPADU,RAJUVARIPETA,195,34
"Andhra Pradesh",CUDDAPAH,CHAPADU,"SEETHARAMA PURAM",253,253
"Andhra Pradesh",CUDDAPAH,CHAPADU,SIDDAREDDIPALLI,171,18
"Andhra Pradesh",CUDDAPAH,CHAPADU,SOMAPURAM,335,29
"Andhra Pradesh",CUDDAPAH,CHAPADU,T.OBAYAPALLI,194,3
"Andhra Pradesh",CUDDAPAH,CHAPADU,VEDURURU,774,90
"Andhra Pradesh",CUDDAPAH,CHAPADU,VISWANADHAPURAM,340,21
"Andhra Pradesh",CUDDAPAH,CHENNUR,BALASINGANAPALLI,436,245
"Andhra Pradesh",CUDDAPAH,CHENNUR,"BAYANA PALLI",754,330
"Andhra Pradesh",CUDDAPAH,CHENNUR,CHENNUR,2409,1096
"Andhra Pradesh",CUDDAPAH,CHENNUR,GURRAMPADU,459,406
"Andhra Pradesh",CUDDAPAH,CHENNUR,KOKKARAYAPALLI,209,9
"Andhra Pradesh",CUDDAPAH,CHENNUR,MUNDLAPALLI,254,103
"Andhra Pradesh",CUDDAPAH,CHENNUR,RACHINNAYAPALLI,148,28
"Andhra Pradesh",CUDDAPAH,CHENNUR,"RAMANA PALLI",544,173
"Andhra Pradesh",CUDDAPAH,CHENNUR,SIVALPALLE,222,222
"Andhra Pradesh",CUDDAPAH,CHENNUR,UPPARAPALLI,729,401
"Andhra Pradesh",CUDDAPAH,CHINNAMANDEM,BONAMALA,436,311
"Andhra Pradesh",CUDDAPAH,CHINNAMANDEM,C.POLIMERAPALLI,387,150
"Andhra Pradesh",CUDDAPAH,CHINNAMANDEM,CHINNAERUSUPALLI,182,78
"Andhra Pradesh",CUDDAPAH,CHINNAMANDEM,CHINNAMANDEM,707,346
"Andhra Pradesh",CUDDAPAH,CHINNAMANDEM,DEVAGUDIPALLI,555,278
"Andhra Pradesh",CUDDAPAH,CHINNAMANDEM,"DIGUVA GOTTI VEEDU",465,17
"Andhra Pradesh",CUDDAPAH,CHINNAMANDEM,KALIBANDA,342,49
"Andhra Pradesh",CUDDAPAH,CHINNAMANDEM,KESAPURAM,701,50
"Andhra Pradesh",CUDDAPAH,CHINNAMANDEM,KOTHAPALLI,609,58
"Andhra Pradesh",CUDDAPAH,CHINNAMANDEM,MALLUR,607,93
"Andhra Pradesh",CUDDAPAH,CHINNAMANDEM,PADAMATIKONA,913,98
"Andhra Pradesh",CUDDAPAH,CHINNAMANDEM,"T. SAKIBANDA",731,7
"Andhra Pradesh",CUDDAPAH,CHINNAMANDEM,VANDADI,338,92
"Andhra Pradesh",CUDDAPAH,"CHINTAKOMMA DINNE",BUGGALAPALLI,710,392
"Andhra Pradesh",CUDDAPAH,"CHINTAKOMMA DINNE","BUSIREDDI PALLI",309,202
"Andhra Pradesh",CUDDAPAH,"CHINTAKOMMA DINNE","CHINTA KOMMA DINNE",939,421
"Andhra Pradesh",CUDDAPAH,"CHINTAKOMMA DINNE","IPPA PENTA",1435,159
"Andhra Pradesh",CUDDAPAH,"CHINTAKOMMA DINNE","KAMMAVARI PALLI",372,49
"Andhra Pradesh",CUDDAPAH,"CHINTAKOMMA DINNE","KOLUMULA PALLI",633,193
"Andhra Pradesh",CUDDAPAH,"CHINTAKOMMA DINNE",KOPPARTHI,655,149
"Andhra Pradesh",CUDDAPAH,"CHINTAKOMMA DINNE","PABBA PURAM",339,320
"Andhra Pradesh",CUDDAPAH,"CHINTAKOMMA DINNE","PAPASAHEB PET",233,164
"Andhra Pradesh",CUDDAPAH,"CHINTAKOMMA DINNE",RASOOLPALLI,396,121
"Andhra Pradesh",CUDDAPAH,"CHINTAKOMMA DINNE",TADIGOTLA,538,208
"Andhra Pradesh",CUDDAPAH,SIDHOUT,TAKKOLU,441,22
"Andhra Pradesh",CUDDAPAH,SIDHOUT,UPPARAPALLI,192,131
"Andhra Pradesh",CUDDAPAH,SIDHOUT,VANTATIPALLE,292,4
"Andhra Pradesh",CUDDAPAH,SIMHADRIPURAM,"ANKALAMMA GUDUR",331,122
"Andhra Pradesh",CUDDAPAH,SIMHADRIPURAM,B.CHERLOPALLI,176,158
"Andhra Pradesh",CUDDAPAH,SIMHADRIPURAM,"BAJJAVARI PALLI",184,16
"Andhra Pradesh",CUDDAPAH,SIMHADRIPURAM,BALAPANUR,727,54
"Andhra Pradesh",CUDDAPAH,SIMHADRIPURAM,BIDINAMCHERLA,380,21
"Andhra Pradesh",CUDDAPAH,SIMHADRIPURAM,"CHAVVARI PALLI",101,101
"Andhra Pradesh",CUDDAPAH,SIMHADRIPURAM,DUDDEKUNTA,232,95
"Andhra Pradesh",CUDDAPAH,SIMHADRIPURAM,GURUJALA,512,368
"Andhra Pradesh",CUDDAPAH,SIMHADRIPURAM,HIMAKUNTHA,469,227
"Andhra Pradesh",CUDDAPAH,SIMHADRIPURAM,KAMBALLI,111,27
"Andhra Pradesh",CUDDAPAH,SIMHADRIPURAM,KASANUR,71,14
"Andhra Pradesh",CUDDAPAH,SIMHADRIPURAM,KOVARAMGUTTAPALLI,418,80
"Andhra Pradesh",CUDDAPAH,SIMHADRIPURAM,LOMADA,274,31
"Andhra Pradesh",CUDDAPAH,SIMHADRIPURAM,NANDYALAMPALLE,118,34
"Andhra Pradesh",CUDDAPAH,SIMHADRIPURAM,PAIDIPALEM,288,10
"Andhra Pradesh",CUDDAPAH,SIMHADRIPURAM,RAVULAKOLANU,280,28
"Andhra Pradesh",CUDDAPAH,SIMHADRIPURAM,SIMHADRIPURAM,1071,618
"Andhra Pradesh",CUDDAPAH,SIMHADRIPURAM,SUNKESULA,127,122
"Andhra Pradesh",CUDDAPAH,SIMHADRIPURAM,THELIKI,260,11
"Andhra Pradesh",CUDDAPAH,SIMHADRIPURAM,Y.KOTHAPALLE,205,101
"Andhra Pradesh",CUDDAPAH,"SRI AVADUTHA KASINAYANA","AKULA NARAYA PALLI",286,236
"Andhra Pradesh",CUDDAPAH,"SRI AVADUTHA KASINAYANA",AMAGAMPALLI,261,240
"Andhra Pradesh",CUDDAPAH,"SRI AVADUTHA KASINAYANA",BALAYAPALLI,312,301
"Andhra Pradesh",CUDDAPAH,"SRI AVADUTHA KASINAYANA",GANGANAPALLI,284,83
"Andhra Pradesh",CUDDAPAH,"SRI AVADUTHA KASINAYANA",GONTUVARIPALLI,283,95
"Andhra Pradesh",CUDDAPAH,"SRI AVADUTHA KASINAYANA",ITUGULLAPADU,483,67
"Andhra Pradesh",CUDDAPAH,"SRI AVADUTHA KASINAYANA",KATHERAGANDLA,654,181
"Andhra Pradesh",CUDDAPAH,"SRI AVADUTHA KASINAYANA",KODIGUDLAPADU,307,41
"Andhra Pradesh",CUDDAPAH,"SRI AVADUTHA KASINAYANA",KONDRAJUPALLI,366,124
"Andhra Pradesh",CUDDAPAH,"SRI AVADUTHA KASINAYANA",NARASAPURAM,367,249
"Andhra Pradesh",CUDDAPAH,"SRI AVADUTHA KASINAYANA",RAMPADU,288,114
"Andhra Pradesh",CUDDAPAH,"SRI AVADUTHA KASINAYANA",SAVISETTYPALLI,374,34
"Andhra Pradesh",CUDDAPAH,"SRI AVADUTHA KASINAYANA",UPPALUR,319,51
"Andhra Pradesh",CUDDAPAH,"SRI AVADUTHA KASINAYANA",VADDEMANU,364,133
"Andhra Pradesh",CUDDAPAH,"SRI AVADUTHA KASINAYANA",VARIKUNTA,414,40
"Andhra Pradesh",CUDDAPAH,T.SUNDUPALLE,BAGAMPALLI,103,103
"Andhra Pradesh",CUDDAPAH,T.SUNDUPALLE,"CHINNA GOLLA PALLI",414,159
"Andhra Pradesh",CUDDAPAH,T.SUNDUPALLE,"G. REDDYVARIPALLI",327,86
"Andhra Pradesh",CUDDAPAH,T.SUNDUPALLE,"GUNDLA PALLI",143,118
