StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
"Andhra Pradesh","EAST GODAVARI",ADDATEEGALA,ADDATEEGALA,1054,626
"Andhra Pradesh","EAST GODAVARI",ADDATEEGALA,BHEEMUDUPAKALU,331,191
"Andhra Pradesh","EAST GODAVARI",ADDATEEGALA,BODLANKA,25441,631
"Andhra Pradesh","EAST GODAVARI",ADDATEEGALA,D.BHEEMAVARAM,1275,210
"Andhra Pradesh","EAST GODAVARI",ADDATEEGALA,D.RAMAVARAM,638,275
"Andhra Pradesh","EAST GODAVARI",ADDATEEGALA,DAKODU,382,226
"Andhra Pradesh","EAST GODAVARI",ADDATEEGALA,DHANYAMPALEM,927,565
"Andhra Pradesh","EAST GODAVARI",ADDATEEGALA,DORAMAMIDI,498,442
"Andhra Pradesh","EAST GODAVARI",ADDATEEGALA,DUCHERTHI,357,264
"Andhra Pradesh","EAST GODAVARI",ADDATEEGALA,GONDOLU,399,342
"Andhra Pradesh","EAST GODAVARI",ADDATEEGALA,GONTUVANIPALEM,611,489
"Andhra Pradesh","EAST GODAVARI",ADDATEEGALA,KIMMURU,511,361
"Andhra Pradesh","EAST GODAVARI",ADDATEEGALA,KONALOVA,485,410
"Andhra Pradesh","EAST GODAVARI",ADDATEEGALA,MATLAPADU,262,202
"Andhra Pradesh","EAST GODAVARI",ADDATEEGALA,PULIGOGULAPADU,381,324
"Andhra Pradesh","EAST GODAVARI",ADDATEEGALA,RAYAPALLI,514,420
"Andhra Pradesh","EAST GODAVARI",ADDATEEGALA,SOMANNAPALEM,340,118
"Andhra Pradesh","EAST GODAVARI",ADDATEEGALA,THIMMAPURAM,539,350
"Andhra Pradesh","EAST GODAVARI",ADDATEEGALA,THUNGAMADUGULA,371,313
"Andhra Pradesh","EAST GODAVARI",ADDATEEGALA,VEERAVARAM,542,404
"Andhra Pradesh","EAST GODAVARI",ADDATEEGALA,VETAMAMIDI,400,400
"Andhra Pradesh","EAST GODAVARI",ADDATEEGALA,YELLAVARAM,596,365
"Andhra Pradesh","EAST GODAVARI",AINAVILLI,AINAVILLI,875,875
"Andhra Pradesh","EAST GODAVARI",AINAVILLI,AINAVILLILANKA,420,420
"Andhra Pradesh","EAST GODAVARI",AINAVILLI,"CHINTANA LANKA",278,278
"Andhra Pradesh","EAST GODAVARI",AINAVILLI,K.J.PURAM,497,497
"Andhra Pradesh","EAST GODAVARI",AINAVILLI,KONDUKUDURU,329,329
"Andhra Pradesh","EAST GODAVARI",AINAVILLI,KRAPA,244,244
