StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
"Andhra Pradesh",KRISHNA,A.KONDURU,A.KONDURU,1319,957
"Andhra Pradesh",KRISHNA,A.KONDURU,CHEEMALAPADU,1325,424
"Andhra Pradesh",KRISHNA,A.KONDURU,GOLLAMANDALA,938,938
"Andhra Pradesh",KRISHNA,A.KONDURU,REPUDI,1576,423
"Andhra Pradesh",KRISHNA,A.KONDURU,GOPALAPURAM,405,405
"Andhra Pradesh",KRISHNA,A.KONDURU,JEELAKUNTA,334,334
"Andhra Pradesh",KRISHNA,A.KONDURU,KAMBHAMPADU,1853,1571
"Andhra Pradesh",KRISHNA,A.KONDURU,KODURU,500,500
"Andhra Pradesh",KRISHNA,A.KONDURU,KRISHNARAOPALEM,602,131
"Andhra Pradesh",KRISHNA,A.KONDURU,KUMMARIKUNTLA,381,381
"Andhra Pradesh",KRISHNA,A.KONDURU,MADHAVARAM,1213,766
"Andhra Pradesh",KRISHNA,A.KONDURU,MAREPALLI,750,750
"Andhra Pradesh",KRISHNA,A.KONDURU,POLISETTIPADU,389,135
"Andhra Pradesh",KRISHNA,A.KONDURU,RAMACHANDRAPURAM,686,686
"Andhra Pradesh",KRISHNA,A.KONDURU,"REPUDI THANDA",348,348
"Andhra Pradesh",KRISHNA,A.KONDURU,VALLAMPATLA,322,322
"Andhra Pradesh",KRISHNA,AGIRIPALLI,ADAVINEKKALAM,364,364
"Andhra Pradesh",KRISHNA,AGIRIPALLI,AGIRIPALLI,1887,1887
"Andhra Pradesh",KRISHNA,AGIRIPALLI,AMMAVARIGUDEM,233,233
"Andhra Pradesh",KRISHNA,AGIRIPALLI,BODDANAPALLI,812,812
"Andhra Pradesh",KRISHNA,AGIRIPALLI,CHINNAGIRIPALLI,609,609
"Andhra Pradesh",KRISHNA,AGIRIPALLI,CHOPPARAMETLA,374,374
"Andhra Pradesh",KRISHNA,AGIRIPALLI,EDARA,264,264
"Andhra Pradesh",KRISHNA,AGIRIPALLI,EDULAGUDEM,817,817
"Andhra Pradesh",KRISHNA,AGIRIPALLI,GOLLAGUDEM,679,679
"Andhra Pradesh",KRISHNA,AGIRIPALLI,KALATURU,570,570
"Andhra Pradesh",KRISHNA,AGIRIPALLI,KANASANAPALLI,550,550
"Andhra Pradesh",KRISHNA,AGIRIPALLI,KOMMURU,317,317
"Andhra Pradesh",KRISHNA,AGIRIPALLI,"KOTHA EDARA",532,532
"Andhra Pradesh",KRISHNA,AGIRIPALLI,KRISHNAVARAM,373,353
"Andhra Pradesh",KRISHNA,AGIRIPALLI,NARASINGAPALEM,548,548
"Andhra Pradesh",KRISHNA,AGIRIPALLI,NUGONDAPALLI,607,607
"Andhra Pradesh",KRISHNA,AGIRIPALLI,PINNAMAREDDIPALLI,313,313
"Andhra Pradesh",KRISHNA,AGIRIPALLI,POTHAVARAPPADU,267,267
"Andhra Pradesh",KRISHNA,AGIRIPALLI,S.A.PETA,206,206
"Andhra Pradesh",KRISHNA,AGIRIPALLI,SAGGURU,409,409
"Andhra Pradesh",KRISHNA,AGIRIPALLI,SITHARAMPURAM,391,391
"Andhra Pradesh",KRISHNA,AGIRIPALLI,SURAVARAM,453,453
"Andhra Pradesh",KRISHNA,AGIRIPALLI,THOTAPALLI,492,492
"Andhra Pradesh",KRISHNA,AGIRIPALLI,VADLAMANU,603,603
"Andhra Pradesh",KRISHNA,AGIRIPALLI,VATTIGUDIPADU,1216,1216
"Andhra Pradesh",KRISHNA,AVANIGADDA,ASWARAOPALEM,411,411
"Andhra Pradesh",KRISHNA,AVANIGADDA,AVANIGADDA,5131,2568
"Andhra Pradesh",KRISHNA,AVANIGADDA,EDLANKA,134,134
"Andhra Pradesh",KRISHNA,AVANIGADDA,MODUMUDI,497,497
"Andhra Pradesh",KRISHNA,AVANIGADDA,PULIGADDA,621,621
"Andhra Pradesh",KRISHNA,AVANIGADDA,RAMACHANDRAPURAM,535,535
"Andhra Pradesh",KRISHNA,AVANIGADDA,RAMAKOTIPURAM,122,122
"Andhra Pradesh",KRISHNA,AVANIGADDA,"SOUTH CHIRUVOLULANKA",624,401
"Andhra Pradesh",KRISHNA,AVANIGADDA,TUNGALAVARIPALEM,296,296
"Andhra Pradesh",KRISHNA,AVANIGADDA,VEKANURU,1009,1009
"Andhra Pradesh",KRISHNA,BANTUMILLI,AMUDALAPALLI,292,189
"Andhra Pradesh",KRISHNA,BANTUMILLI,ARTHAMURU,1002,309
"Andhra Pradesh",KRISHNA,MOVVA,MOVVA,3613,3613
"Andhra Pradesh",KRISHNA,MOVVA,MOVVAPALEM,379,379
"Andhra Pradesh",KRISHNA,MOVVA,NIDUMOLU,549,352
"Andhra Pradesh",KRISHNA,MOVVA,PADDARAIDUTHOTA,320,320
"Andhra Pradesh",KRISHNA,MOVVA,PALANKIPADU,420,420
"Andhra Pradesh",KRISHNA,MOVVA,PEDAMUTHEVI,729,729
"Andhra Pradesh",KRISHNA,MOVVA,PEDAPUDI,1017,1017
"Andhra Pradesh",KRISHNA,MOVVA,PEDASANAGALLU,1492,626
"Andhra Pradesh",KRISHNA,MOVVA,VEMULAMADA,614,614
"Andhra Pradesh",KRISHNA,MOVVA,YEDDANAPUDI,468,468
"Andhra Pradesh",KRISHNA,MUDINEPALLE,ALLURU,261,261
"Andhra Pradesh",KRISHNA,MUDINEPALLE,BOMMINAMPADU,884,255
"Andhra Pradesh",KRISHNA,MUDINEPALLE,CHEVURU,123,123
"Andhra Pradesh",KRISHNA,MUDINEPALLE,CHIGURUKOTA,644,644
"Andhra Pradesh",KRISHNA,MUDINEPALLE,"CHINA PALAPARRU",332,332
"Andhra Pradesh",KRISHNA,MUDINEPALLE,CHINAKAMANAPUDI,209,100
"Andhra Pradesh",KRISHNA,MUDINEPALLE,DAKARAM,149,149
"Andhra Pradesh",KRISHNA,MUDINEPALLE,DEVAPUDI,184,184
"Andhra Pradesh",KRISHNA,MUDINEPALLE,EDEPALLI,123,123
"Andhra Pradesh",KRISHNA,MUDINEPALLE,GURAJA,794,561
"Andhra Pradesh",KRISHNA,MUDINEPALLE,KAKARAVADA,593,211
"Andhra Pradesh",KRISHNA,MUDINEPALLE,KODURU,415,415
"Andhra Pradesh",KRISHNA,MUDINEPALLE,KOMARRU,134,134
"Andhra Pradesh",KRISHNA,MUDINEPALLE,KORRAGUNTAPALEM,581,348
"Andhra Pradesh",KRISHNA,MUDINEPALLE,MUDINEPALLI,243,243
"Andhra Pradesh",KRISHNA,MUDINEPALLE,MULAKALAPALLI,153,153
"Andhra Pradesh",KRISHNA,MUDINEPALLE,PEDAGONNURU,864,487
"Andhra Pradesh",KRISHNA,MUDINEPALLE,PEDAKAMANAPUDI,212,212
"Andhra Pradesh",KRISHNA,MUDINEPALLE,PEDAPALAPARRU,665,237
"Andhra Pradesh",KRISHNA,MUDINEPALLE,PENUMALLI,242,242
"Andhra Pradesh",KRISHNA,MUDINEPALLE,PERURU,243,243
"Andhra Pradesh",KRISHNA,MUDINEPALLE,PEYYERU,317,317
