StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
"Andhra Pradesh",KURNOOL,BETHAMCHERLA,BETHAMCHERLA,3998,2749
"Andhra Pradesh",KURNOOL,BETHAMCHERLA,BUGGANIPALLE,692,197
"Andhra Pradesh",KURNOOL,BETHAMCHERLA,"CEEMENT NAGAR",763,518
"Andhra Pradesh",KURNOOL,BETHAMCHERLA,EMBOY,576,102
"Andhra Pradesh",KURNOOL,BETHAMCHERLA,GOLLAGUTTA,576,377
"Andhra Pradesh",KURNOOL,BETHAMCHERLA,GORUMANKONDA,380,215
"Andhra Pradesh",KURNOOL,BETHAMCHERLA,GUTUPALLE,490,33
"Andhra Pradesh",KURNOOL,BETHAMCHERLA,"H KOTTALA",401,401
"Andhra Pradesh",KURNOOL,BETHAMCHERLA,"K K KOTTALA",46,38
"Andhra Pradesh",KURNOOL,BETHAMCHERLA,KOLUMULAPALLE,1062,499
"Andhra Pradesh",KURNOOL,BETHAMCHERLA,KOTHAPALLE,364,211
"Andhra Pradesh",KURNOOL,BETHAMCHERLA,M.PENDAKAL,399,114
"Andhra Pradesh",KURNOOL,BETHAMCHERLA,MUDDAVARAM,402,183
"Andhra Pradesh",KURNOOL,BETHAMCHERLA,R.BUKKAPURAM,12,10
"Andhra Pradesh",KURNOOL,BETHAMCHERLA,R.S.RANGAPURAM,985,698
"Andhra Pradesh",KURNOOL,BETHAMCHERLA,RAHIMANPURAM,313,206
"Andhra Pradesh",KURNOOL,BETHAMCHERLA,SANKALAPURAM,298,206
"Andhra Pradesh",KURNOOL,BETHAMCHERLA,SEETHARAMAPURAM,107,63
"Andhra Pradesh",KURNOOL,BETHAMCHERLA,THAVISIKONDA,423,258
"Andhra Pradesh",KURNOOL,C.BELAGAL,BRAHMANADODDI,794,657
"Andhra Pradesh",KURNOOL,C.BELAGAL,BURANDODDI,1478,953
"Andhra Pradesh",KURNOOL,C.BELAGAL,C.BELAGAL,2538,1613
"Andhra Pradesh",KURNOOL,C.BELAGAL,GUNDREVULA,285,244
"Andhra Pradesh",KURNOOL,C.BELAGAL,KAMBADAHAL,599,231
"Andhra Pradesh",KURNOOL,C.BELAGAL,KONDAPURAM,841,249
"Andhra Pradesh",KURNOOL,C.BELAGAL,KOTHAKOTA,1526,1061
"Andhra Pradesh",KURNOOL,C.BELAGAL,MUDUMALA,788,640
"Andhra Pradesh",KURNOOL,C.BELAGAL,PALUKUDODDI,275,275
"Andhra Pradesh",KURNOOL,C.BELAGAL,POLAKAL,2611,1401
"Andhra Pradesh",KURNOOL,C.BELAGAL,SANGALA,616,553
"Andhra Pradesh",KURNOOL,CHAGALAMARRI,BRAHMANAPALLE,28,28
"Andhra Pradesh",KURNOOL,CHAGALAMARRI,CHAGALAMARRI,4426,2836
"Andhra Pradesh",KURNOOL,CHAGALAMARRI,"CHINNA BODHANAM",312,236
"Andhra Pradesh",KURNOOL,CHAGALAMARRI,"CHINNA VANGALI",546,410
"Andhra Pradesh",KURNOOL,CHAGALAMARRI,"CHINTALA CHERUVU",610,416
"Andhra Pradesh",KURNOOL,CHAGALAMARRI,"D. VANIPENTA",516,414
"Andhra Pradesh",KURNOOL,CHAGALAMARRI,GODIGANURU,581,367
"Andhra Pradesh",KURNOOL,CHAGALAMARRI,GOTLUR,176,92
"Andhra Pradesh",KURNOOL,CHAGALAMARRI,KALUGOTLAPALLE,151,97
"Andhra Pradesh",KURNOOL,CHAGALAMARRI,MADDURU,443,264
"Andhra Pradesh",KURNOOL,CHAGALAMARRI,MALLAVEMULA,181,162
"Andhra Pradesh",KURNOOL,CHAGALAMARRI,MUTHYALAPADU,1187,726
"Andhra Pradesh",KURNOOL,CHAGALAMARRI,NELAMPADU,319,237
"Andhra Pradesh",KURNOOL,CHAGALAMARRI,"PEDDA BODHANAM",395,255
"Andhra Pradesh",KURNOOL,CHAGALAMARRI,"PEDDA VANGALI",585,418
"Andhra Pradesh",KURNOOL,CHAGALAMARRI,RAMPALLE,108,108
"Andhra Pradesh",KURNOOL,CHAGALAMARRI,SETTIVEEDU,697,521
"Andhra Pradesh",KURNOOL,CHAGALAMARRI,THODENDLAPALLE,248,213
"Andhra Pradesh",KURNOOL,CHIPPAGIRI,BANTANAHAL,391,209
"Andhra Pradesh",KURNOOL,CHIPPAGIRI,BELDONA,597,412
"Andhra Pradesh",KURNOOL,CHIPPAGIRI,CHIPPAGIRI,551,220
"Andhra Pradesh",KURNOOL,CHIPPAGIRI,DEGALAHAL,289,213
"Andhra Pradesh",KURNOOL,CHIPPAGIRI,DOULATHAPURAM,869,613
"Andhra Pradesh",KURNOOL,MIDTHUR,TALAMUDIPI,692,369
"Andhra Pradesh",KURNOOL,MIDTHUR,THIMMAPURAM,294,212
"Andhra Pradesh",KURNOOL,MIDTHUR,VEEPANAGANDLA,371,186
"Andhra Pradesh",KURNOOL,NANDAVARAM,GURUJALA,557,257
"Andhra Pradesh",KURNOOL,NANDAVARAM,HALAHARVI,1843,1205
"Andhra Pradesh",KURNOOL,NANDAVARAM,IBRAHIMPURAM,839,563
"Andhra Pradesh",KURNOOL,NANDAVARAM,KANAKAVEEDU,1137,721
"Andhra Pradesh",KURNOOL,NANDAVARAM,MACHAPURAM,564,173
"Andhra Pradesh",KURNOOL,NANDAVARAM,MITTASOMPURAM,342,342
"Andhra Pradesh",KURNOOL,NANDAVARAM,MUGUTHI,1174,790
"Andhra Pradesh",KURNOOL,NANDAVARAM,NADIKHAIRAVADI,485,448
"Andhra Pradesh",KURNOOL,NANDAVARAM,NAGALADINNE,1406,1076
"Andhra Pradesh",KURNOOL,NANDAVARAM,NANDAVARAM,2881,1827
"Andhra Pradesh",KURNOOL,NANDAVARAM,PEDDAKOTHILIKI,1124,273
"Andhra Pradesh",KURNOOL,NANDAVARAM,PONAKALADINNE,226,226
"Andhra Pradesh",KURNOOL,NANDAVARAM,POOLACHINTA,454,454
"Andhra Pradesh",KURNOOL,NANDAVARAM,T.SOMALAGUDURU,936,567
"Andhra Pradesh",KURNOOL,NANDIKOTKUR,ALLUR,736,489
"Andhra Pradesh",KURNOOL,NANDIKOTKUR,BIJINAVEMULA,264,264
"Andhra Pradesh",KURNOOL,NANDIKOTKUR,BOLLAVARAM,460,460
"Andhra Pradesh",KURNOOL,NANDIKOTKUR,BRAHMANAKOTKUR,821,664
"Andhra Pradesh",KURNOOL,NANDIKOTKUR,DAMAGATLA,562,482
"Andhra Pradesh",KURNOOL,NANDIKOTKUR,KOLLABAVAPURAM,172,172
"Andhra Pradesh",KURNOOL,NANDIKOTKUR,KONETAMMAPALLI,212,212
"Andhra Pradesh",KURNOOL,NANDIKOTKUR,KONIDELA,807,804
"Andhra Pradesh",KURNOOL,NANDIKOTKUR,MALYALA,708,672
"Andhra Pradesh",KURNOOL,NANDIKOTKUR,NAGATOOR,509,500
"Andhra Pradesh",KURNOOL,NANDIKOTKUR,NANDIKOTKUR,0,0
"Andhra Pradesh",KURNOOL,NANDIKOTKUR,SATHANIKOTA,404,353
"Andhra Pradesh",KURNOOL,NANDIKOTKUR,VADDAMANU,697,329
"Andhra Pradesh",KURNOOL,NANDYAL,AYYALUR,386,270
"Andhra Pradesh",KURNOOL,NANDYAL,BHEEMAVARAM,605,398
"Andhra Pradesh",KURNOOL,NANDYAL,BILLALAPURAM,496,361
"Andhra Pradesh",KURNOOL,NANDYAL,BRAHMANAPALLE,122,122
"Andhra Pradesh",KURNOOL,NANDYAL,CHABOLU,1011,781
"Andhra Pradesh",KURNOOL,NANDYAL,CHAPIREVULA,940,371
"Andhra Pradesh",KURNOOL,NANDYAL,GUNTHANALA,373,296
"Andhra Pradesh",KURNOOL,NANDYAL,KANALA,1603,747
"Andhra Pradesh",KURNOOL,NANDYAL,KOTHAPALLI,534,339
"Andhra Pradesh",KURNOOL,NANDYAL,MITNALA,375,217
"Andhra Pradesh",KURNOOL,NANDYAL,MUNAGALA,257,181
"Andhra Pradesh",KURNOOL,NANDYAL,P.KOTTALA,416,258
"Andhra Pradesh",KURNOOL,NANDYAL,PANDURANGAPURAM,513,513
"Andhra Pradesh",KURNOOL,NANDYAL,POLUR,771,359
"Andhra Pradesh",KURNOOL,NANDYAL,PONNAPURAM,1173,522
"Andhra Pradesh",KURNOOL,NANDYAL,PULIMADDI,473,340
"Andhra Pradesh",KURNOOL,NANDYAL,PUSULUR,347,251
"Andhra Pradesh",KURNOOL,NANDYAL,RAYAMALPURAM,363,246
"Andhra Pradesh",KURNOOL,NANDYAL,RYOTHUNAGARAM,322,322
"Andhra Pradesh",KURNOOL,NANDYAL,UDUMALPURAM,489,307
"Andhra Pradesh",KURNOOL,ORVAKAL,BODDUVANIPALLE,89,24
"Andhra Pradesh",KURNOOL,ORVAKAL,BRAHMANAPALLE,515,510
"Andhra Pradesh",KURNOOL,ORVAKAL,GUTTAPADU,290,243
"Andhra Pradesh",KURNOOL,ADONI,AREKAL,668,291
"Andhra Pradesh",KURNOOL,ADONI,BALADUR,139,31
"Andhra Pradesh",KURNOOL,ADONI,BILLEKALLU,562,281
"Andhra Pradesh",KURNOOL,ADONI,BASAPURAM,344,180
"Andhra Pradesh",KURNOOL,ADONI,BASARAKODU,508,402
"Andhra Pradesh",KURNOOL,ADONI,BYCHIGERI,752,437
"Andhra Pradesh",KURNOOL,ADONI,"CHINNA HARIVANAM",815,261
"Andhra Pradesh",KURNOOL,ADONI,CHINNAPENDEKAL,751,293
"Andhra Pradesh",KURNOOL,ADONI,DHANAPURAM,318,318
"Andhra Pradesh",KURNOOL,ADONI,DIBBANAKAL,513,312
"Andhra Pradesh",KURNOOL,ADONI,DODDANAKERI,738,308
