StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
"Andhra Pradesh",NELLORE,CHEJERLA,YETURU,103,103
"Andhra Pradesh",NELLORE,CHILLAKUR,ANNAMBAKA,237,237
"Andhra Pradesh",NELLORE,CHILLAKUR,BALLAVOLU,525,527
"Andhra Pradesh",NELLORE,CHILLAKUR,BUDANAM,796,597
"Andhra Pradesh",NELLORE,CHILLAKUR,CHEDIMALA,405,405
"Andhra Pradesh",NELLORE,CHILLAKUR,CHILLAKUR,580,580
"Andhra Pradesh",NELLORE,CHILLAKUR,CHINTHAVARAM,1179,507
"Andhra Pradesh",NELLORE,CHILLAKUR,"EAST KANUPURU",160,160
"Andhra Pradesh",NELLORE,CHILLAKUR,EGUVARAJUPALEM,110,110
"Andhra Pradesh",NELLORE,CHILLAKUR,KADIVEDU,274,274
"Andhra Pradesh",NELLORE,CHILLAKUR,KALAVAKONDA,321,321
"Andhra Pradesh",NELLORE,CHILLAKUR,"KAMMAVARI PALEM",143,143
"Andhra Pradesh",NELLORE,CHILLAKUR,LINGAVARAM,377,377
"Andhra Pradesh",NELLORE,CHILLAKUR,"MANNE GUNTA",166,166
"Andhra Pradesh",NELLORE,CHILLAKUR,MOMIDI,283,283
"Andhra Pradesh",NELLORE,CHILLAKUR,MUTHYALAPADU,714,714
"Andhra Pradesh",NELLORE,CHILLAKUR,NELABALI,481,481
"Andhra Pradesh",NELLORE,CHILLAKUR,ODURU,229,229
"Andhra Pradesh",NELLORE,CHILLAKUR,PALICHERLAVARIPALEM,330,330
"Andhra Pradesh",NELLORE,CHILLAKUR,PALLAMALA,204,204
"Andhra Pradesh",NELLORE,CHILLAKUR,PONNAVOLU,174,174
"Andhra Pradesh",NELLORE,CHILLAKUR,"THAMMINA PATNAM",463,463
"Andhra Pradesh",NELLORE,CHILLAKUR,THEEPANURU,183,183
"Andhra Pradesh",NELLORE,CHILLAKUR,THIKKAVARAM,283,283
"Andhra Pradesh",NELLORE,CHILLAKUR,"THIMMANA GAARI PALEM",160,160
"Andhra Pradesh",NELLORE,CHILLAKUR,THIPPAGUNTAPALEM,325,325
"Andhra Pradesh",NELLORE,CHILLAKUR,THONUKUMALA,328,328
"Andhra Pradesh",NELLORE,CHILLAKUR,UDATHAVARIPALEM,655,655
"Andhra Pradesh",NELLORE,CHILLAKUR,VALLIPADU,191,191
"Andhra Pradesh",NELLORE,CHILLAKUR,VARAGALI,370,370
"Andhra Pradesh",NELLORE,CHILLAKUR,VELLAPALEM,492,492
"Andhra Pradesh",NELLORE,CHILLAKUR,YERURU,479,479
"Andhra Pradesh",NELLORE,CHITTAMUR,ARAVAPALEM,510,510
"Andhra Pradesh",NELLORE,CHITTAMUR,ARURU,510,510
"Andhra Pradesh",NELLORE,CHITTAMUR,BURADAGALIKOTHAPALEM,636,636
"Andhra Pradesh",NELLORE,CHITTAMUR,CHILLAMURU,475,475
"Andhra Pradesh",NELLORE,CHITTAMUR,CHITTAMUR,378,378
"Andhra Pradesh",NELLORE,CHITTAMUR,ESWARAWAKA,708,708
"Andhra Pradesh",NELLORE,CHITTAMUR,GUNAPADU,256,256
"Andhra Pradesh",NELLORE,CHITTAMUR,GUNAPATIPALEM,420,420
"Andhra Pradesh",NELLORE,CHITTAMUR,KOGILI,615,615
"Andhra Pradesh",NELLORE,CHITTAMUR,MALLAM,1205,1205
"Andhra Pradesh",NELLORE,CHITTAMUR,METTU,350,350
