StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
"Andhra Pradesh",PRAKASAM,INKOLLU,NAGANDLA,837,538
"Andhra Pradesh",PRAKASAM,INKOLLU,SUDIVARIPALEM,772,418
"Andhra Pradesh",PRAKASAM,INKOLLU,IDUPULAPADU,1358,1241
"Andhra Pradesh",PRAKASAM,INKOLLU,PUSAPADU,325,251
"Andhra Pradesh",PRAKASAM,INKOLLU,VANKAYALAPADU,944,627
"Andhra Pradesh",PRAKASAM,INKOLLU,SUBBAREDDYPALEM,426,426
"Andhra Pradesh",PRAKASAM,INKOLLU,PAVULUR,646,449
"Andhra Pradesh",PRAKASAM,INKOLLU,NAKKALAPALEM,394,394
"Andhra Pradesh",PRAKASAM,INKOLLU,INKOLLU,4215,3028
"Andhra Pradesh",PRAKASAM,INKOLLU,GANGAVARAM,638,600
"Andhra Pradesh",PRAKASAM,INKOLLU,KONIKI,728,582
"Andhra Pradesh",PRAKASAM,INKOLLU,DUDDUKURU,1004,537
"Andhra Pradesh",PRAKASAM,INKOLLU,BHEEMAVARAM,408,347
"Andhra Pradesh",PRAKASAM,"JANAKAVARAM PONGULURU",RAMAKURU,618,428
"Andhra Pradesh",PRAKASAM,"JANAKAVARAM PONGULURU",BYTAMANJULURU,414,294
"Andhra Pradesh",PRAKASAM,"JANAKAVARAM PONGULURU",KONDAMANJULURU,921,504
"Andhra Pradesh",PRAKASAM,"JANAKAVARAM PONGULURU",BHAGAVANRAJUPALEM,216,151
"Andhra Pradesh",PRAKASAM,"JANAKAVARAM PONGULURU",KALLAMVARIPALEM,285,238
"Andhra Pradesh",PRAKASAM,"JANAKAVARAM PONGULURU",RENANGIVARAM,467,155
"Andhra Pradesh",PRAKASAM,"JANAKAVARAM PONGULURU",ALAVALAPADU,616,616
"Andhra Pradesh",PRAKASAM,"JANAKAVARAM PONGULURU",KASYAPURAM,340,340
"Andhra Pradesh",PRAKASAM,"JANAKAVARAM PONGULURU",PANGULURU,1568,780
"Andhra Pradesh",PRAKASAM,"JANAKAVARAM PONGULURU",JANAKAVARAM,216,204
"Andhra Pradesh",PRAKASAM,"JANAKAVARAM PONGULURU",CHANDALURU,1241,959
"Andhra Pradesh",PRAKASAM,"JANAKAVARAM PONGULURU",ARIKATLAVARIPALEM,306,210
"Andhra Pradesh",PRAKASAM,"JANAKAVARAM PONGULURU",T.KOPPERAPADU,349,292
"Andhra Pradesh",PRAKASAM,"JANAKAVARAM PONGULURU",T.TAKKELLAPADU,452,101
"Andhra Pradesh",PRAKASAM,"JANAKAVARAM PONGULURU",NUJELLAPALLI,17,17
"Andhra Pradesh",PRAKASAM,"JANAKAVARAM PONGULURU",MUPPAVARAM,1186,657
"Andhra Pradesh",PRAKASAM,"JANAKAVARAM PONGULURU",JAGARLAMUDIVARIPALEM,169,169
"Andhra Pradesh",PRAKASAM,"JANAKAVARAM PONGULURU",KONDAMURU,452,405
"Andhra Pradesh",PRAKASAM,"JANAKAVARAM PONGULURU",BUDAWADA,656,371
"Andhra Pradesh",PRAKASAM,"JANAKAVARAM PONGULURU",CHINAMALLAVARAM,278,207
"Andhra Pradesh",PRAKASAM,"JANAKAVARAM PONGULURU",KOTAPADU,796,363
"Andhra Pradesh",PRAKASAM,KARAMCHEDU,KARAMCHEDU,3431,2850
"Andhra Pradesh",PRAKASAM,KARAMCHEDU,SWARNA,1251,1162
"Andhra Pradesh",PRAKASAM,KARAMCHEDU,SWARNAPALEM,297,188
"Andhra Pradesh",PRAKASAM,KARAMCHEDU,KUNKALAMARRU,1712,1173
"Andhra Pradesh",PRAKASAM,KARAMCHEDU,DAGGUBADU,1060,809
"Andhra Pradesh",PRAKASAM,KARAMCHEDU,POTINAVARIPALEM,279,199
"Andhra Pradesh",PRAKASAM,KARAMCHEDU,NAYUDUVARIPALEM,181,181
"Andhra Pradesh",PRAKASAM,KARAMCHEDU,AUDIPUDI,877,645
"Andhra Pradesh",PRAKASAM,KARAMCHEDU,TIMIDITHAPADU,291,290
"Andhra Pradesh",PRAKASAM,KARAMCHEDU,YARRAMVARIPALEM,219,219
"Andhra Pradesh",PRAKASAM,KARAMCHEDU,K.V.PALEM,285,285
"Andhra Pradesh",PRAKASAM,KARAMCHEDU,R.N.V.PALEM,192,148
"Andhra Pradesh",PRAKASAM,KARAMCHEDU,J.B.V.PALEM,243,243
"Andhra Pradesh",PRAKASAM,KARAMCHEDU,KESAVARAPPADU,397,215
"Andhra Pradesh",PRAKASAM,KORISAPADU,KORISAPADU,1152,548
"Andhra Pradesh",PRAKASAM,KORISAPADU,KURRAVANIPALEM,195,195
"Andhra Pradesh",PRAKASAM,KORISAPADU,P.GUDIPADU,442,331
"Andhra Pradesh",PRAKASAM,KORISAPADU,BODDUVANIPALEM,356,288
"Andhra Pradesh",PRAKASAM,KORISAPADU,RAVINUTHALA,1667,1209
"Andhra Pradesh",PRAKASAM,KORISAPADU,DYVALARAVURU,922,505
"Andhra Pradesh",PRAKASAM,KORISAPADU,BALLAVARAPPADU,84,84
"Andhra Pradesh",PRAKASAM,KORISAPADU,PAMIDIPADU,2112,1251
"Andhra Pradesh",PRAKASAM,KORISAPADU,RACHAPUDI,897,461
"Andhra Pradesh",PRAKASAM,KORISAPADU,PRASANGULAPADU,247,193
"Andhra Pradesh",PRAKASAM,KORISAPADU,MEDARAMETLA,1076,964
"Andhra Pradesh",PRAKASAM,KORISAPADU,TIMMANAPALEM,216,134
"Andhra Pradesh",PRAKASAM,KORISAPADU,YERRABALEM,422,82
"Andhra Pradesh",PRAKASAM,KORISAPADU,ANAMANAMURU,106,106
"Andhra Pradesh",PRAKASAM,KORISAPADU,THAMMAVARAM,117,117
"Andhra Pradesh",PRAKASAM,"KOTHA PATNAM",ALLURU,471,460
"Andhra Pradesh",PRAKASAM,"KOTHA PATNAM",KOTHAPATNAM,798,798
"Andhra Pradesh",PRAKASAM,"KOTHA PATNAM",K.PALLEPALEM,703,701
