StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
"Andhra Pradesh",SRIKAKULAM,SANTHAKAVATI,KAKARAPALLI,372,104
"Andhra Pradesh",SRIKAKULAM,SANTHAKAVATI,KAVILI,209,24
"Andhra Pradesh",SRIKAKULAM,SANTHAKAVATI,KONDAGUDAM,396,7
"Andhra Pradesh",SRIKAKULAM,SANTHAKAVATI,KRISHNAMVALASA,383,14
"Andhra Pradesh",SRIKAKULAM,SANTHAKAVATI,MAMIDIPALLI,890,161
"Andhra Pradesh",SRIKAKULAM,SANTHAKAVATI,MANDAKURTI,1127,176
"Andhra Pradesh",SRIKAKULAM,SANTHAKAVATI,MANDARADA,442,176
"Andhra Pradesh",SRIKAKULAM,SANTHAKAVATI,MANTINA,514,37
"Andhra Pradesh",SRIKAKULAM,SANTHAKAVATI,MIRTHIVALASA,256,15
"Andhra Pradesh",SRIKAKULAM,SANTHAKAVATI,MODUGULAPETA,378,35
"Andhra Pradesh",SRIKAKULAM,SANTHAKAVATI,PULLITA,287,31
"Andhra Pradesh",SRIKAKULAM,SANTHAKAVATI,RAMARAYAPURAM,452,70
"Andhra Pradesh",SRIKAKULAM,SANTHAKAVATI,S.RANGARAYAPURAM,212,20
"Andhra Pradesh",SRIKAKULAM,SANTHAKAVATI,SANTHAKAVITI,416,265
"Andhra Pradesh",SRIKAKULAM,SANTHAKAVATI,SIRIPURAMM,1371,236
"Andhra Pradesh",SRIKAKULAM,SANTHAKAVATI,SURAVARAM,273,135
"Andhra Pradesh",SRIKAKULAM,SANTHAKAVATI,TALADA,504,27
"Andhra Pradesh",SRIKAKULAM,SANTHAKAVATI,TALATAMPARA,223,38
"Andhra Pradesh",SRIKAKULAM,SANTHAKAVATI,TAMARAM,446,45
"Andhra Pradesh",SRIKAKULAM,SANTHAKAVATI,VASUDAVAPATNAM,519,85
"Andhra Pradesh",SRIKAKULAM,SANTHAKAVATI,WALTAIR,444,115
"Andhra Pradesh",SRIKAKULAM,SARAVAKOTA,ALDU,334,89
"Andhra Pradesh",SRIKAKULAM,SARAVAKOTA,ANGURU,155,24
"Andhra Pradesh",SRIKAKULAM,SARAVAKOTA,ANNUPURAM,257,4
"Andhra Pradesh",SRIKAKULAM,SARAVAKOTA,AVALANGI,318,230
"Andhra Pradesh",SRIKAKULAM,SARAVAKOTA,BHADRI,401,63
"Andhra Pradesh",SRIKAKULAM,SARAVAKOTA,BUDITHI,778,370
"Andhra Pradesh",SRIKAKULAM,SARAVAKOTA,BYDALAPURAM,79,57
"Andhra Pradesh",SRIKAKULAM,SARAVAKOTA,CHEEDIPUDI,507,264
"Andhra Pradesh",SRIKAKULAM,SARAVAKOTA,"CHINNA KITTLALAPADU",423,142
"Andhra Pradesh",SRIKAKULAM,SARAVAKOTA,CHINNAGUJJUVADA,222,21
"Andhra Pradesh",SRIKAKULAM,SARAVAKOTA,DHARMALAXIMIPURAM,292,63
"Andhra Pradesh",SRIKAKULAM,SARAVAKOTA,GORRIBANDA,373,43
"Andhra Pradesh",SRIKAKULAM,SARAVAKOTA,GOVARDHANAPURAM,173,24
"Andhra Pradesh",SRIKAKULAM,SARAVAKOTA,GUMMAPADU,329,76
"Andhra Pradesh",SRIKAKULAM,SARAVAKOTA,JAMMACHAKRAM,201,57
"Andhra Pradesh",SRIKAKULAM,SARAVAKOTA,KARADASINGI,44,30
"Andhra Pradesh",SRIKAKULAM,SARAVAKOTA,KELAAVALASA,421,23
"Andhra Pradesh",SRIKAKULAM,SARAVAKOTA,KIDIMI,407,159
"Andhra Pradesh",SRIKAKULAM,SARAVAKOTA,KINNARAWADA,232,153
"Andhra Pradesh",SRIKAKULAM,SARAVAKOTA,KODADDAPANASA,157,34
"Andhra Pradesh",SRIKAKULAM,SARAVAKOTA,KOMMUSARIPALLI,113,109
"Andhra Pradesh",SRIKAKULAM,SARAVAKOTA,KUMMARIGUNTA,509,150
"Andhra Pradesh",SRIKAKULAM,SARAVAKOTA,KURMANADHAPURAM,248,122
"Andhra Pradesh",SRIKAKULAM,SARAVAKOTA,LAXMIPURAM,295,186
"Andhra Pradesh",SRIKAKULAM,SARAVAKOTA,MADHANAPURAM,75,5
"Andhra Pradesh",SRIKAKULAM,SARAVAKOTA,MAHASINGI,291,29
"Andhra Pradesh",SRIKAKULAM,SARAVAKOTA,MALUVA,186,10
"Andhra Pradesh",SRIKAKULAM,SARAVAKOTA,NOWATALA,194,39
"Andhra Pradesh",SRIKAKULAM,SARAVAKOTA,PEDDALAMBA,309,33
"Andhra Pradesh",SRIKAKULAM,SARAVAKOTA,RAMALKRISHNAPURAM,194,65
"Andhra Pradesh",SRIKAKULAM,SARAVAKOTA,SARAVAKOTA,758,413
"Andhra Pradesh",SRIKAKULAM,SARAVAKOTA,THOGIRI,110,39
