StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
"Andhra Pradesh",VISAKHAPATNAM,DEVARAPALLE,TARUVA,293,293
"Andhra Pradesh",VISAKHAPATNAM,DEVARAPALLE,TENUGUPUDI,422,15
"Andhra Pradesh",VISAKHAPATNAM,DEVARAPALLE,THIMIRAM,410,88
"Andhra Pradesh",VISAKHAPATNAM,DEVARAPALLE,VAKAPALLE,514,514
"Andhra Pradesh",VISAKHAPATNAM,DEVARAPALLE,VALABU,133,20
"Andhra Pradesh",VISAKHAPATNAM,DEVARAPALLE,VECHALAM,227,3
"Andhra Pradesh",VISAKHAPATNAM,DEVARAPALLE,VENKATARJUPURAM,313,103
"Andhra Pradesh",VISAKHAPATNAM,DUMBRIGUDA,ARAKU,455,271
"Andhra Pradesh",VISAKHAPATNAM,DUMBRIGUDA,ARMA,543,209
"Andhra Pradesh",VISAKHAPATNAM,DUMBRIGUDA,GASABA,347,62
"Andhra Pradesh",VISAKHAPATNAM,DUMBRIGUDA,GUNTAGENNELA,557,469
"Andhra Pradesh",VISAKHAPATNAM,DUMBRIGUDA,GUNTASEEMA,428,113
"Andhra Pradesh",VISAKHAPATNAM,DUMBRIGUDA,KANDRUM,450,125
"Andhra Pradesh",VISAKHAPATNAM,DUMBRIGUDA,KINCHUMANDA,188,16
"Andhra Pradesh",VISAKHAPATNAM,DUMBRIGUDA,KITHALANGI,144,28
"Andhra Pradesh",VISAKHAPATNAM,DUMBRIGUDA,KOLLAPUTTU,275,99
"Andhra Pradesh",VISAKHAPATNAM,DUMBRIGUDA,KORRA,338,49
"Andhra Pradesh",VISAKHAPATNAM,DUMBRIGUDA,KORRAI,497,456
"Andhra Pradesh",VISAKHAPATNAM,DUMBRIGUDA,KURIDI,554,340
"Andhra Pradesh",VISAKHAPATNAM,DUMBRIGUDA,LYGONDA,318,275
"Andhra Pradesh",VISAKHAPATNAM,DUMBRIGUDA,POTHANGI,418,158
"Andhra Pradesh",VISAKHAPATNAM,DUMBRIGUDA,RANGILISINGI,415,363
"Andhra Pradesh",VISAKHAPATNAM,DUMBRIGUDA,SAGARA,624,149
"Andhra Pradesh",VISAKHAPATNAM,DUMBRIGUDA,SOVVA,400,27
"Andhra Pradesh",VISAKHAPATNAM,DUMBRIGUDA,THUTANGI,484,134
"Andhra Pradesh",VISAKHAPATNAM,G.MADUGULA,BHEERAM,196,10
"Andhra Pradesh",VISAKHAPATNAM,G.MADUGULA,BOITHALA,208,0
