StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
"Andhra Pradesh",VIZIANAGARAM,BADANGI,AKULAKATTA,329,191
"Andhra Pradesh",VIZIANAGARAM,BADANGI,ANAVARAM,379,379
"Andhra Pradesh",VIZIANAGARAM,BADANGI,BADANGI,864,188
"Andhra Pradesh",VIZIANAGARAM,BADANGI,BEEMAVARAM,532,57
"Andhra Pradesh",VIZIANAGARAM,BADANGI,BOTCHAVANIVALASA,641,39
"Andhra Pradesh",VIZIANAGARAM,BADANGI,DONKINIVALASA,286,247
"Andhra Pradesh",VIZIANAGARAM,BADANGI,GAJARAYUNIVALASA,535,115
"Andhra Pradesh",VIZIANAGARAM,BADANGI,GOLLADHI,878,199
"Andhra Pradesh",VIZIANAGARAM,BADANGI,GUDEPUVALASA,522,269
"Andhra Pradesh",VIZIANAGARAM,BADANGI,KODURU,1498,82
"Andhra Pradesh",VIZIANAGARAM,BADANGI,KOTIPALLI,450,128
"Andhra Pradesh",VIZIANAGARAM,BADANGI,LAKSHMIPURAM,309,26
"Andhra Pradesh",VIZIANAGARAM,BADANGI,MALLAMPETA,296,78
"Andhra Pradesh",VIZIANAGARAM,BADANGI,MUGADA,1049,728
"Andhra Pradesh",VIZIANAGARAM,BADANGI,P.VENKAMPETA,399,21
"Andhra Pradesh",VIZIANAGARAM,BADANGI,PALTHERU,531,167
"Andhra Pradesh",VIZIANAGARAM,BADANGI,PEDAPALLI,260,6
"Andhra Pradesh",VIZIANAGARAM,BADANGI,PINAPENKI,495,46
"Andhra Pradesh",VIZIANAGARAM,BADANGI,PINDRANGIVALASA,231,231
"Andhra Pradesh",VIZIANAGARAM,BADANGI,PINNAVALASA,344,344
"Andhra Pradesh",VIZIANAGARAM,BADANGI,PUDIVALASA,144,144
"Andhra Pradesh",VIZIANAGARAM,BADANGI,REJERU,490,95
"Andhra Pradesh",VIZIANAGARAM,BADANGI,THENTUVALASA,278,234
"Andhra Pradesh",VIZIANAGARAM,BADANGI,VADADA,814,236
"Andhra Pradesh",VIZIANAGARAM,BADANGI,VEERASAGARAM,425,19
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,AJJADA,804,145
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,AMPAVALLI,644,35
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,ARASADA,788,148
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,BALIJIPETA,1082,247
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,BARLI,410,203
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,CHAKARAPALLI,362,362
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,CHILAKALAPALLI,773,147
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,GALAVALLI,1209,66
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,GANGADA,802,46
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,MIRTHIVALASA,489,489
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,NARANNAIDUVALASA,506,51
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,NARAYANAPURAM,1008,207
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,NOOKALAWADA,381,206
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,PADAMAYAVALASA,232,232
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,PALAGARA,911,132
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,PANUKUVALASA,275,275
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,PEDAPENKI,1457,268
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,PEDDIMPETA,583,63
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,SIVARAMAPURAM,177,177
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,SUBHADRA,365,53
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,TUMARADA,601,288
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,VANTARAM,514,35
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,VENGALARAYAPURAM,304,21
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,VENGAPURAM,443,78
"Andhra Pradesh",VIZIANAGARAM,BHOGHAPURAM,A.RAVIVALASA,364,235
"Andhra Pradesh",VIZIANAGARAM,BHOGHAPURAM,BASAVAPALEM(THUDEM),405,390
"Andhra Pradesh",VIZIANAGARAM,BHOGHAPURAM,BHOGAPURAM,1588,1512
"Andhra Pradesh",VIZIANAGARAM,BHOGHAPURAM,BYREDDIPALEM,287,179
"Andhra Pradesh",VIZIANAGARAM,GUMMALAKSHMIPURAM,IRIDI,310,38
"Andhra Pradesh",VIZIANAGARAM,GUMMALAKSHMIPURAM,JARNA,259,22
