StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
"Andhra Pradesh","WEST GODAVARI",PALACOLE,VALAMARRU,242,242
"Andhra Pradesh","WEST GODAVARI",PALACOLE,VARIDHANAM,320,320
"Andhra Pradesh","WEST GODAVARI",PALACOLE,VELIVELA,260,260
"Andhra Pradesh","WEST GODAVARI",PALACOLE,VENKATAPURAM,132,132
"Andhra Pradesh","WEST GODAVARI",PALAKODERU,GARAGAPARRU,1182,1182
"Andhra Pradesh","WEST GODAVARI",PALAKODERU,GOLLALAKODERU,1241,1241
"Andhra Pradesh","WEST GODAVARI",PALAKODERU,GORAGANAMUDI,556,556
"Andhra Pradesh","WEST GODAVARI",PALAKODERU,KONDEPUDI,404,404
"Andhra Pradesh","WEST GODAVARI",PALAKODERU,KORUKOLLU,693,693
"Andhra Pradesh","WEST GODAVARI",PALAKODERU,KUMUDAVALLI,846,846
"Andhra Pradesh","WEST GODAVARI",PALAKODERU,MOGALLU,1877,1879
"Andhra Pradesh","WEST GODAVARI",PALAKODERU,MYPA,245,245
"Andhra Pradesh","WEST GODAVARI",PALAKODERU,PALAKODERU,2002,2002
"Andhra Pradesh","WEST GODAVARI",PALAKODERU,"PENNADA AGRAHARAM",1366,1366
"Andhra Pradesh","WEST GODAVARI",PALAKODERU,SRUNGAVRUKSHAM,1640,1640
"Andhra Pradesh","WEST GODAVARI",PALAKODERU,VENDRA,240,240
"Andhra Pradesh","WEST GODAVARI",PALAKODERU,"VENDRA AGRAHARAM",67,67
"Andhra Pradesh","WEST GODAVARI",PALAKODERU,VISSAKODERU,1193,1193
"Andhra Pradesh","WEST GODAVARI",PEDAPADU,APPANAVEEDU,1130,1130
"Andhra Pradesh","WEST GODAVARI",PEDAPADU,EPURU,419,419
"Andhra Pradesh","WEST GODAVARI",PEDAPADU,GOGUNTA,44,44
"Andhra Pradesh","WEST GODAVARI",PEDAPADU,GUDIPADU,353,353
"Andhra Pradesh","WEST GODAVARI",PEDAPADU,JAYAPURAM,150,150
"Andhra Pradesh","WEST GODAVARI",PEDAPADU,KALAPARRU,528,528
"Andhra Pradesh","WEST GODAVARI",PEDAPADU,KOKKIRAPADU,735,735
"Andhra Pradesh","WEST GODAVARI",PEDAPADU,KONIKI,135,135
